"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"44","Akure South","Owan East",NA,0.7,0.7,0.69,0,-1,2018,-1
"45","Akwanga","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"46","Albasu","Takali",NA,0.8,0.8,0.69,0,-1,2018,-1
"47","Aleiro","Birnin Kebbi",NA,0.62225568,0.62225568,0.69,0,-1,2018,-1
"48","Alimosho","Uzo-Uwani",NA,0.474949084,0.474949084,0.69,0,-1,2018,-1
"49","Alkaleri","Alkaleri",NA,0.422117546,0.422117546,0.69,0,-1,2018,-1
"50","Amuwo-Odofin","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"51","Anambra East","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"52","Anambra West","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"53","Anaocha","Oru West",NA,0.750802168,0.750802168,0.69,0,-1,2018,-1
"54","Andoni","Nsit Ubium",NA,0.366593506,0.366593506,0.69,0,-1,2018,-1
"55","Aninri","Oru West",NA,0.717961682,0.717961682,0.69,0,-1,2018,-1
"56","Aniocha North","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"57","Aniocha South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"58","Anka","Darazo",NA,0.281656815,0.281656815,0.69,0,-1,2018,-1
"59","Ankpa","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"60","Apa","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"61","Apapa","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"62","Ardo-Kola","Keana",NA,0.45,0.45,0.69,0,-1,2018,-1
"63","Arewa-Dandi","Birnin Kebbi",NA,0.8,0.8,0.69,0,-1,2018,-1
"64","Argungu","Birnin Kebbi",NA,0.791750026,0.791750026,0.69,0,-1,2018,-1
"65","Arochukwu","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"66","Asa","Oke-Ero",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"67","Asari-Toru","Ahoada West",NA,0.642896713,0.642896713,0.69,0,-1,2018,-1
"68","Askira-Uba","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"69","Atakumosa East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"70","Atakumosa West","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"71","Atiba","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"72","Atigbo","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"73","Augie","Birnin Kebbi",NA,0.738461538,0.738461538,0.69,0,-1,2018,-1
"74","Auyo","Taura",NA,0.8,0.8,0.69,0,-1,2018,-1
"75","Awe","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"76","Awgu","Oru West",NA,0.611077428,0.611077428,0.69,0,-1,2018,-1
"77","Awka North","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"78","Awka South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"79","Ayamelum","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"80","Babura","Babura",NA,0.695944351,0.695944351,0.69,0,-1,2018,-1
