"","X.1","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","mortality","llins_plan","kill_rate","block_initial","simday"
"5112",511,511,"Gombe","Alkaleri",2027,"Gombe",0.8,0.8,0.8,0.8,3,"july",0.497689178,"PBO(2021)",0.746452831,0.65,2741
"5113",511,511,"Gombe","Alkaleri",2030,"Gombe",0.8,0.8,0.8,0.8,4,"july",0.497689178,"PBO(2021)",0.746452831,0.65,3836
"39",39,39,"Gombi","Alkaleri",2020,"Gombi",0.8,0.8,0.8,0.8,1,"july",0.515567645,"PBO(2021)",0.747153033,0.673908406,186
"392",39,39,"Gombi","Alkaleri",2023,"Gombi",0.8,0.8,0.8,0.8,2,"july",0.515567645,"PBO(2021)",0.747153033,0.673908406,1281
"394",39,39,"Gombi","Alkaleri",2026,"Gombi",0.8,0.8,0.8,0.8,3,"july",0.515567645,"PBO(2021)",0.747153033,0.673908406,2376
"396",39,39,"Gombi","Alkaleri",2029,"Gombi",0.8,0.8,0.8,0.8,4,"july",0.515567645,"PBO(2021)",0.747153033,0.673908406,3471
"1285",1285,1285,"Goronyo","Gawabawa",2020,"Goronyo",0.8,0.8,0.8,0.8,1,"august",0.728302887,"PBO(2021)",0.751240681,0.889990409,223
"12851",1285,1285,"Goronyo","Gawabawa",2023,"Goronyo",0.8,0.8,0.8,0.8,2,"august",0.728302887,"PBO(2021)",0.751240681,0.889990409,1318
"12852",1285,1285,"Goronyo","Gawabawa",2026,"Goronyo",0.8,0.8,0.8,0.8,3,"august",0.728302887,"PBO(2021)",0.751240681,0.889990409,2413
"12853",1285,1285,"Goronyo","Gawabawa",2029,"Goronyo",0.8,0.8,0.8,0.8,4,"august",0.728302887,"PBO(2021)",0.751240681,0.889990409,3508
"263",263,263,"Gubio","Gawabawa",2020,"Gubio",0.8,0.8,0.8,0.8,1,"august",0.814426994,"PBO(2021)",0.751874138,0.92834284,223
"2631",263,263,"Gubio","Gawabawa",2023,"Gubio",0.8,0.8,0.8,0.8,2,"august",0.814426994,"PBO(2021)",0.751874138,0.92834284,1318
"2632",263,263,"Gubio","Gawabawa",2026,"Gubio",0.8,0.8,0.8,0.8,3,"august",0.814426994,"PBO(2021)",0.751874138,0.92834284,2413
"2633",263,263,"Gubio","Gawabawa",2029,"Gubio",0.8,0.8,0.8,0.8,4,"august",0.814426994,"PBO(2021)",0.751874138,0.92834284,3508
"1451",1451,1451,"Gudu","Gawabawa",2020,"Gudu",0.8,0.8,0.8,0.8,1,"august",0.818072663,"PBO(2021)",0.751895138,0.929618063,223
"14511",1451,1451,"Gudu","Gawabawa",2023,"Gudu",0.8,0.8,0.8,0.8,2,"august",0.818072663,"PBO(2021)",0.751895138,0.929618063,1318
"14512",1451,1451,"Gudu","Gawabawa",2026,"Gudu",0.8,0.8,0.8,0.8,3,"august",0.818072663,"PBO(2021)",0.751895138,0.929618063,2413
"14513",1451,1451,"Gudu","Gawabawa",2029,"Gudu",0.8,0.8,0.8,0.8,4,"august",0.818072663,"PBO(2021)",0.751895138,0.929618063,3508
"1353",1353,1353,"Gujba","Darazo",2022,"Gujba",0.8,0.8,0.8,0.8,1,"july",0.684790286,"PBO(2021)",0.750785416,0.862937108,916
"13531",1353,1353,"Gujba","Darazo",2025,"Gujba",0.8,0.8,0.8,0.8,2,"july",0.684790286,"PBO(2021)",0.750785416,0.862937108,2011
"13532",1353,1353,"Gujba","Darazo",2028,"Gujba",0.8,0.8,0.8,0.8,3,"july",0.684790286,"PBO(2021)",0.750785416,0.862937108,3106
"1357",1357,1357,"Gulani","Alkaleri",2022,"Gulani",0.8,0.8,0.8,0.8,1,"july",0.657079381,"PBO(2021)",0.750428256,0.842174727,916
"13571",1357,1357,"Gulani","Alkaleri",2025,"Gulani",0.8,0.8,0.8,0.8,2,"july",0.657079381,"PBO(2021)",0.750428256,0.842174727,2011
"13572",1357,1357,"Gulani","Alkaleri",2028,"Gulani",0.8,0.8,0.8,0.8,3,"july",0.657079381,"PBO(2021)",0.750428256,0.842174727,3106
"215",215,215,"Guma","Keana",2020,"Guma",0.8,0.8,0.8,0.8,1,"august",0.365014826,"Standard 2020",0.431083741,0.53,223
"2151",215,215,"Guma","Keana",2023,"Guma",0.8,0.8,0.8,0.8,2,"august",0.365014826,"Standard 2020",0.431083741,0.53,1318
"2152",215,215,"Guma","Keana",2026,"Guma",0.8,0.8,0.8,0.8,3,"august",0.365014826,"Standard 2020",0.431083741,0.53,2413
"2153",215,215,"Guma","Keana",2029,"Guma",0.8,0.8,0.8,0.8,4,"august",0.365014826,"Standard 2020",0.431083741,0.53,3508
"605",605,605,"Gumel","Babura",2021,"Gumel",0.813953488,0.814814815,0.9,0.983050847,1,"may",0.765232277,"PBO(2021)",0.751548364,0.908560313,496
"6051",605,605,"Gumel","Babura",2024,"Gumel",0.813953488,0.814814815,0.9,0.983050847,2,"may",0.765232277,"PBO(2021)",0.751548364,0.908560313,1591
"6052",605,605,"Gumel","Babura",2027,"Gumel",0.813953488,0.814814815,0.9,0.983050847,3,"may",0.765232277,"PBO(2021)",0.751548364,0.908560313,2686
"6053",605,605,"Gumel","Babura",2030,"Gumel",0.813953488,0.814814815,0.9,0.983050847,4,"may",0.765232277,"PBO(2021)",0.751548364,0.908560313,3781
"1379",1379,1379,"Gummi","Birnin Kebbi",2020,"Gummi",0.8,0.8,0.8,0.8,1,"august",0.733770917,"Standard 2020",0.682376452,0.854441885,223
"13791",1379,1379,"Gummi","Birnin Kebbi",2023,"Gummi",0.8,0.8,0.8,0.8,2,"august",0.733770917,"Standard 2020",0.682376452,0.854441885,1318
"13792",1379,1379,"Gummi","Birnin Kebbi",2026,"Gummi",0.8,0.8,0.8,0.8,3,"august",0.733770917,"Standard 2020",0.682376452,0.854441885,2413
"13793",1379,1379,"Gummi","Birnin Kebbi",2029,"Gummi",0.8,0.8,0.8,0.8,4,"august",0.733770917,"Standard 2020",0.682376452,0.854441885,3508
