"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"67","Asari-Toru","Ahoada West",NA,0.542896713,0.542896713,0.59,0,-1,2018,-1
"68","Askira-Uba","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"69","Atakumosa East","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"70","Atakumosa West","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"71","Atiba","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"72","Atigbo","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"73","Augie","Birnin Kebbi",NA,0.638461538,0.638461538,0.59,0,-1,2018,-1
"74","Auyo","Taura",NA,0.8,0.8,0.59,0,-1,2018,-1
"75","Awe","Keana",NA,0.277187213,0.277187213,0.59,0,-1,2018,-1
"76","Awgu","Oru West",NA,0.511077428,0.511077428,0.59,0,-1,2018,-1
"77","Awka North","Uzo-Uwani",NA,0.766666667,0.766666667,0.59,0,-1,2018,-1
"78","Awka South","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"79","Ayamelum","Uzo-Uwani",NA,0.8,0.8,0.59,0,-1,2018,-1
"80","Babura","Babura",NA,0.595944351,0.595944351,0.59,0,-1,2018,-1
"81","Badagry","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"82","Bade","Taura",NA,0.147619048,0.147619048,0.59,0,-1,2018,-1
"83","Bagudo","Birnin Kebbi",NA,0.445276873,0.445276873,0.59,0,-1,2018,-1
"84","Bagwai","Babura",NA,0.3,0.3,0.59,0,-1,2018,-1
"85","Bakassi","Obubra",NA,0.51009749,0.51009749,0.59,0,-1,2018,-1
"86","Bakori","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"87","Bakura","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"88","Balanga","Alkaleri",NA,0.314165347,0.314165347,0.59,0,-1,2018,-1
"89","Bali","Keana",NA,0.42893977,0.42893977,0.59,0,-1,2018,-1
"90","Bama","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"91","Barikin Ladi","Soba",NA,0.12049469,0.12049469,0.59,0,-1,2018,-1
"92","Baruten","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"93","Bassa1","Keana",NA,0.3,0.3,0.59,0,-1,2018,-1
"94","Bassa2","Soba",NA,0.12049469,0.12049469,0.59,0,-1,2018,-1
"95","Batagarawa","Rimi",NA,0.473076926,0.473076926,0.59,0,-1,2018,-1
"96","Batsari","Rimi",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"97","Bauchi","Alkaleri",NA,0.127077492,0.127077492,0.59,0,-1,2018,-1
"98","Baure","Babura",NA,0.457142857,0.457142857,0.59,0,-1,2018,-1
"99","Bayo","Alkaleri",NA,0.6,0.6,0.59,0,-1,2018,-1
"100","Bebeji","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"101","Bekwara","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"102","Bende","Ngor-Okpala",NA,0.275925804,0.275925804,0.59,0,-1,2018,-1
"103","Biase","Ngor-Okpala",NA,0.688028311,0.688028311,0.59,0,-1,2018,-1
"104","Bichi","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"105","Bida","Oke-Ero",NA,0.6,0.6,0.59,0,-1,2018,-1
"106","Billiri","Alkaleri",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"107","Bindawa","Rimi",NA,0.2,0.2,0.59,0,-1,2018,-1
"108","Binji","Gawabawa",NA,0.35,0.35,0.59,0,-1,2018,-1
"109","Biriniwa","Taura",NA,0.266666667,0.266666667,0.59,0,-1,2018,-1
"110","Birni Kudu","Takali",NA,0.323983083,0.323983083,0.59,0,-1,2018,-1
"111","Birnin Kebbi","Birnin Kebbi",NA,0.672939706,0.672939706,0.59,0,-1,2018,-1
"112","Birnin Magaji","Rimi",NA,0.309995572,0.309995572,0.59,0,-1,2018,-1
"113","Birnin-Gwari","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"114","Biu","Darazo",NA,0.6,0.6,0.59,0,-1,2018,-1
"115","Bodinga","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"116","Bogoro","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"117","Boki","Obubra",NA,0.35,0.35,0.59,0,-1,2018,-1
"118","Bokkos","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"119","Boluwaduro","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"120","Bomadi","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"121","Bonny","Nsit Ubium",NA,0.696547236,0.696547236,0.59,0,-1,2018,-1
"122","Borgu","Oke-Ero",NA,0.385714286,0.385714286,0.59,0,-1,2018,-1
"123","Boripe","Akinyele",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"124","Bosso","Keana",NA,0.316058677,0.316058677,0.59,0,-1,2018,-1
"125","Brass","Ahoada West",NA,0.614466613,0.614466613,0.59,0,-1,2018,-1
"126","Buji","Takali",NA,0.278754999,0.278754999,0.59,0,-1,2018,-1
"127","Bukkuyum","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"128","Bungudu","Takali",NA,0.397222393,0.397222393,0.59,0,-1,2018,-1
"129","Bunkure","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"130","Bunza","Birnin Kebbi",NA,0.52225568,0.52225568,0.59,0,-1,2018,-1
"131","Bursari","Taura",NA,0.225,0.225,0.59,0,-1,2018,-1
"132","Buruku","Keana",NA,0.300000038,0.300000038,0.59,0,-1,2018,-1
"133","Burutu","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"134","Bwari","Giwa",NA,0.254268943,0.254268943,0.59,0,-1,2018,-1
"135","Calabar South","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"136","Calabar-Municipal","Nsit Ubium",NA,0.399739676,0.399739676,0.59,0,-1,2018,-1
"137","Chanchaga","Keana",NA,0.488965514,0.488965514,0.59,0,-1,2018,-1
"138","Charanchi","Rimi",NA,0.205263158,0.205263158,0.59,0,-1,2018,-1
"139","Chibok","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"140","Chikun","Soba",NA,0.12049469,0.12049469,0.59,0,-1,2018,-1
"141","Dala","Alkaleri",NA,0.850046207,0.850046207,0.59,0,-1,2018,-1
"142","Damaturu","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"143","Damban","Darazo",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"144","Dambatta","Babura",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"145","Damboa","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"146","Dan Musa","Rimi",NA,0.309995572,0.309995572,0.59,0,-1,2018,-1
"147","Dandi","Birnin Kebbi",NA,0.44910543,0.44910543,0.59,0,-1,2018,-1
"148","Dandume","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"149","Dange-Shnsi","Gawabawa",NA,0.225,0.225,0.59,0,-1,2018,-1
"150","Danja","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"151","Darazo","Darazo",NA,0.261152612,0.261152612,0.59,0,-1,2018,-1
"152","Dass","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"153","Daura","Babura",NA,0.302230441,0.302230441,0.59,0,-1,2018,-1
"154","Dawakin Kudu","Gwarzo",NA,0.372727273,0.372727273,0.59,0,-1,2018,-1
"155","Dawakin Tofa","Taura",NA,0.281818182,0.281818182,0.59,0,-1,2018,-1
"156","Degema","Ahoada West",NA,0.35,0.35,0.59,0,-1,2018,-1
"157","Dekina","Owan East",NA,0.290297763,0.290297763,0.59,0,-1,2018,-1
"158","Demsa","Alkaleri",NA,0.8,0.8,0.59,0,-1,2018,-1
"159","Dikwa","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"160","Doguwa","Giwa",NA,0.230434783,0.230434783,0.59,0,-1,2018,-1
"161","Doma","Keana",NA,0.277187213,0.277187213,0.59,0,-1,2018,-1
"162","Donga","Keana",NA,0.384919607,0.384919607,0.59,0,-1,2018,-1
"163","Dukku","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"164","Dunukofia","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"165","Dutse","Takali",NA,0.248488039,0.248488039,0.59,0,-1,2018,-1
"166","Dutsi","Rimi",NA,0.330769231,0.330769231,0.59,0,-1,2018,-1
"167","Dutsin-Ma","Rimi",NA,0.309995572,0.309995572,0.59,0,-1,2018,-1
"168","Eastern Obolo","Nsit Ubium",NA,0.7,0.7,0.59,0,-1,2018,-1
"169","Ebonyi","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"170","Edati","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"171","Ede North","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"172","Ede South","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"173","Edu","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"174","Efon-Alayee","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"175","Egbado North","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"176","Egbado South","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"177","Egbeda","Akinyele",NA,0.207316809,0.207316809,0.59,0,-1,2018,-1
"178","Egbedore","Akinyele",NA,0.64187193,0.64187193,0.59,0,-1,2018,-1
"179","Egor","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"180","Ehime-Mbano","Ngor-Okpala",NA,0.691374486,0.691374486,0.59,0,-1,2018,-1
"181","Ejigbo","Akinyele",NA,0.315907256,0.315907256,0.59,0,-1,2018,-1
"182","Ekeremor","Ahoada West",NA,0.305928424,0.305928424,0.59,0,-1,2018,-1
"183","Eket","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"184","Ekiti","Oke-Ero",NA,0.8,0.8,0.59,0,-1,2018,-1
"185","Ekiti East","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"186","Ekiti South West","Oke-Ero",NA,0.562500057,0.562500057,0.59,0,-1,2018,-1
"187","Ekiti West","Oke-Ero",NA,0.262213602,0.262213602,0.59,0,-1,2018,-1
"188","Ekwusigo","Oru West",NA,0.8,0.8,0.59,0,-1,2018,-1
"189","Eleme","Ahoada West",NA,0.251693513,0.251693513,0.59,0,-1,2018,-1
"190","Emohua","Ahoada West",NA,0.266666667,0.266666667,0.59,0,-1,2018,-1
"191","Emure","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"192","Enugu East","Uzo-Uwani",NA,0.8,0.8,0.59,0,-1,2018,-1
"193","Enugu North","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"194","Enugu South","Uzo-Uwani",NA,0.614893508,0.614893508,0.59,0,-1,2018,-1
"195","Epe","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"196","Esan Central","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"197","Esan North East","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"198","Esan South East","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"199","Esan West","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"200","Ese-Odo","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"201","Esit Eket","Nsit Ubium",NA,0.171428571,0.171428571,0.59,0,-1,2018,-1
"202","Essien Udim","Ngor-Okpala",NA,0.319281699,0.319281699,0.59,0,-1,2018,-1
"203","Etche","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"204","Ethiope East","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"205","Ethiope West","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"206","Etim Ekpo","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"207","Etinan","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"208","Eti-Osa","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"209","Etsako Central","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"210","Etsako East","Owan East",NA,0.177954241,0.177954241,0.59,0,-1,2018,-1
"211","Etsako West","Owan East",NA,0.180351586,0.180351586,0.59,0,-1,2018,-1
"212","Etung","Obubra",NA,0.3,0.3,0.59,0,-1,2018,-1
"213","Ewekoro","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"214","Ezeagu","Uzo-Uwani",NA,0.534581511,0.534581511,0.59,0,-1,2018,-1
"215","Ezinihitte","Ngor-Okpala",NA,0.488958352,0.488958352,0.59,0,-1,2018,-1
"216","Ezza North","Owan East",NA,0.29047619,0.29047619,0.59,0,-1,2018,-1
"217","Ezza South","Obubra",NA,0.578845956,0.578845956,0.59,0,-1,2018,-1
"218","Fagge","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"219","Fakai","Birnin Kebbi",NA,0.766666667,0.766666667,0.59,0,-1,2018,-1
"220","Faskari","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"221","Fika","Darazo",NA,0.195238095,0.195238095,0.59,0,-1,2018,-1
"222","Fufore","Alkaleri",NA,0.239280114,0.239280114,0.59,0,-1,2018,-1
"223","Funakaye","Alkaleri",NA,0.145454545,0.145454545,0.59,0,-1,2018,-1
"224","Fune","Darazo",NA,0.13153893,0.13153893,0.59,0,-1,2018,-1
"225","Funtua","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"226","Gabasawa","Taura",NA,0.274928041,0.274928041,0.59,0,-1,2018,-1
"227","Gada","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"228","Gagarawa","Taura",NA,0.274928041,0.274928041,0.59,0,-1,2018,-1
"229","Gamawa","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"230","Ganaye","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"231","Ganjuwa","Darazo",NA,0.201826237,0.201826237,0.59,0,-1,2018,-1
"232","Garki","Babura",NA,0.766666667,0.766666667,0.59,0,-1,2018,-1
"233","Garko","Gwarzo",NA,0.272172547,0.272172547,0.59,0,-1,2018,-1
"234","Garum Mallam","Gwarzo",NA,0.253846154,0.253846154,0.59,0,-1,2018,-1
"235","Gashaka","Oru West",NA,0.511077428,0.511077428,0.59,0,-1,2018,-1
"236","Gassol","Keana",NA,0.186136445,0.186136445,0.59,0,-1,2018,-1
"237","Gawabawa","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"238","Gaya","Gwarzo",NA,0.266666667,0.266666667,0.59,0,-1,2018,-1
"239","Gbako","Oke-Ero",NA,0.561538462,0.561538462,0.59,0,-1,2018,-1
"240","Gboko","Keana",NA,0.240281332,0.240281332,0.59,0,-1,2018,-1
"241","Gboyin","Obubra",NA,0.538502596,0.538502596,0.59,0,-1,2018,-1
"242","Geidam","Babura",NA,0.449277359,0.449277359,0.59,0,-1,2018,-1
"243","Gezawa","Gwarzo",NA,0.35,0.35,0.59,0,-1,2018,-1
"244","Giade","Darazo",NA,0.242857143,0.242857143,0.59,0,-1,2018,-1
"245","Gireri","Darazo",NA,0.180992121,0.180992121,0.59,0,-1,2018,-1
"246","Giwa","Giwa",NA,0.230508332,0.230508332,0.59,0,-1,2018,-1
"247","Gokana","Nsit Ubium",NA,0.282111551,0.282111551,0.59,0,-1,2018,-1
"248","Gombe","Alkaleri",NA,0.216169555,0.216169555,0.59,0,-1,2018,-1
"249","Gombi","Alkaleri",NA,0.308835269,0.308835269,0.59,0,-1,2018,-1
"250","Goronyo","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"251","Gubio","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"252","Gudu","Gawabawa",NA,0.206631444,0.206631444,0.59,0,-1,2018,-1
"253","Gujba","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"254","Gulani","Alkaleri",NA,0.334127553,0.334127553,0.59,0,-1,2018,-1
"255","Guma","Keana",NA,0.415463952,0.415463952,0.59,0,-1,2018,-1
"256","Gumel","Babura",NA,0.35,0.35,0.59,0,-1,2018,-1
"257","Gummi","Birnin Kebbi",NA,0.52225568,0.52225568,0.59,0,-1,2018,-1
"258","Gurara","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"259","Guri","Taura",NA,0.274928041,0.274928041,0.59,0,-1,2018,-1
"260","Gusau","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"261","Guyuk","Alkaleri",NA,0.580706358,0.580706358,0.59,0,-1,2018,-1
"262","Guzamala","Babura",NA,0.449277359,0.449277359,0.59,0,-1,2018,-1
"263","Gwagwalada","Keana",NA,0.167621303,0.167621303,0.59,0,-1,2018,-1
"264","Gwale","Alkaleri",NA,0.55946767,0.55946767,0.59,0,-1,2018,-1
"265","Gwandu","Birnin Kebbi",NA,0.629411765,0.629411765,0.59,0,-1,2018,-1
"266","Gwaram","Takali",NA,0.323498732,0.323498732,0.59,0,-1,2018,-1
"267","Gwarzo","Gwarzo",NA,0.5,0.5,0.59,0,-1,2018,-1
"268","Gwer East","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"269","Gwer West","Keana",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"270","Gwiwa","Babura",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"271","Gwoza","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"272","Hadejia","Taura",NA,0.274928041,0.274928041,0.59,0,-1,2018,-1
"273","Hawul","Darazo",NA,0.321538462,0.321538462,0.59,0,-1,2018,-1
"274","Hong","Darazo",NA,0.214371076,0.214371076,0.59,0,-1,2018,-1
"275","Ibadan North","Owan East",NA,0.349042174,0.349042174,0.59,0,-1,2018,-1
"276","Ibadan North East","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"277","Ibadan North West","Owan East",NA,0.217739486,0.217739486,0.59,0,-1,2018,-1
"278","Ibadan South East","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"279","Ibadan South West","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"280","Ibaji","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"281","Ibarapa Central","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"282","Ibarapa East","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"283","Ibarapa North","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"284","Ibeju-Lekki","Uzo-Uwani",NA,0.6,0.6,0.59,0,-1,2018,-1
"285","Ibeno","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"286","Ibesikpo Asutan","Nsit Ubium",NA,0.334042549,0.334042549,0.59,0,-1,2018,-1
"287","Ibi","Keana",NA,0.277187213,0.277187213,0.59,0,-1,2018,-1
"288","Ibiono Ibom","Ngor-Okpala",NA,0.242335763,0.242335763,0.59,0,-1,2018,-1
"289","Idah","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"290","Idanre","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"291","Ideato North","Oru West",NA,0.8,0.8,0.59,0,-1,2018,-1
"292","Ideato South","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"293","Idemili North","Uzo-Uwani",NA,0.722180482,0.722180482,0.59,0,-1,2018,-1
"294","Idemili South","Oru West",NA,0.406003708,0.406003708,0.59,0,-1,2018,-1
"295","Ido","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"296","Idosi-Osi","Oke-Ero",NA,0.188017211,0.188017211,0.59,0,-1,2018,-1
"297","Ifako-Ijaye","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"298","Ife Central","Akinyele",NA,0.629411659,0.629411659,0.59,0,-1,2018,-1
"299","Ife East","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"300","Ife North","Akinyele",NA,0.6,0.6,0.59,0,-1,2018,-1
"301","Ife South","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"302","Ifedayo","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"303","Ifedore","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"304","Ifelodun1","Oke-Ero",NA,0.239769018,0.239769018,0.59,0,-1,2018,-1
"305","Ifelodun2","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"306","Ifo","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
