DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Ise-Orun,0.074904177,0.693502769,0.231593058,Ise-Orun
Moba,0.179498132,0.533262265,0.287239598,Moba
Oye,0.154686159,0.565015175,0.280298673,Oye
Ezeagu,0.071579862,0.605367266,0.323052874,Ezeagu
Igbo-Etiti,0.059292422,0.708984703,0.231722875,Igbo-Etiti
Igbo-Eze North,0.165521508,0.476377879,0.358100608,Igbo-Eze North
Igbo-Eze South,0.087089872,0.468177018,0.444733112,Igbo-Eze South
Isi-Uzo,0.043062974,0.72578503,0.231151997,Isi-Uzo
Nkanu East,0.091746333,0.629257641,0.278996027,Nkanu East
Nkanu West,0.091473152,0.550074463,0.358452383,Nkanu West
Nsukka,0.10598366,0.51246196,0.381554377,Nsukka
Oji-River,0.081111947,0.599597302,0.319290753,Oji-River
Udenu,0.129157409,0.519627707,0.351214886,Udenu
Udi,0.061589916,0.644582477,0.293827603,Udi
Uzo-Uwani,0.071394664,0.600413408,0.328191924,Uzo-Uwani
Ahiazu-Mbaise,0.275874944,0.509814468,0.214310578,Ahiazu-Mbaise
Abaji,0.097988493,0.633623857,0.268387649,Abaji
Bwari,0.329459695,0.320385073,0.350155226,Bwari
Gwagwalada,0.127294797,0.582852961,0.289852245,Gwagwalada
Kuje,0.133831077,0.556061404,0.31010752,Kuje
Kwali,0.101275835,0.628608005,0.270116165,Kwali
Bunkure,0.700331316,0.004239177,0.295429507,Bunkure
Abuja Municipal,0.241110675,0.408211103,0.350678221,Abuja Municipal
Akko,0.449244283,0.092167574,0.458588141,Akko
Balanga,0.401051054,0.162497747,0.436451201,Balanga
Billiri,0.351918834,0.158310617,0.489770555,Billiri
Dukku,0.545231924,0.021813198,0.432954878,Dukku
Funakaye,0.448750878,0.05515194,0.496097186,Funakaye
Gombe,0.333349904,0.041203154,0.625446944,Gombe
Kaltungo,0.435057124,0.112242236,0.452700649,Kaltungo
Kwami,0.484094647,0.051754596,0.464150759,Kwami
Dala,0.522560466,1.26e-10,0.477439554,Dala
Nafada,0.456202497,0.035899016,0.50789849,Nafada
Shomgom,0.335991031,0.178776273,0.485232698,Shomgom
Yamaltu-Deba,0.396675295,0.162058468,0.441266235,Yamaltu-Deba
Aboh-Mbaise,0.210891602,0.613205511,0.175902881,Aboh-Mbaise
Fagge,0.514958046,0,0.485042029,Fagge
Ehime-Mbano,0.196337588,0.553001637,0.250660769,Ehime-Mbano
Ezinihitte,0.270350258,0.557348148,0.172301583,Ezinihitte
Ideato North,0.187467171,0.56816777,0.244365067,Ideato North
Ideato South,0.195657698,0.541029306,0.263313011,Ideato South
Ihitte-Uboma,0.172829325,0.56503801,0.262132677,Ihitte-Uboma
Ikeduru,0.365509561,0.443637398,0.190853053,Ikeduru
Isiala Mbano,0.380725482,0.444548334,0.17472619,Isiala Mbano
Isu,0.383277546,0.324652416,0.29207007,Isu
Mbaitoli,0.307840146,0.460802213,0.231357632,Mbaitoli
Obowo,0.281939859,0.523406899,0.194653245,Obowo
Ngor-Okpala,0.18055225,0.542964082,0.276483672,Ngor-Okpala
