,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
89,Atakumosa East,18-Oct,10,2018,0.285714286,0.285714286,0.285714286,6,0.25,0.25,0.25,4
90,Atakumosa West,18-Oct,10,2018,0.857142857,0.857142857,0.857142857,11,0.2,0.2,0.2,8
91,Atiba,18-Nov,11,2018,0.5,0.5,0.5,2,0,0,0,2
92,Atigbo,18-Dec,12,2018,0.333333333,0.333333333,0.333333333,3,0.5,0.5,0.5,2
93,Augie,18-Oct,10,2018,0.285714286,0.285714286,0.285714286,9,0.2,0.2,0.2,6
94,Auyo,18-Dec,12,2018,0,0,0,2,0,0,0,2
95,Awe,18-Oct,10,2018,0.499699675,0.449165799,0.550233552,18,0.235119033,0.205550406,0.264687661,11
96,Awgu,18-Oct,10,2018,0.272727273,-0.159733347,0.705187892,5,0.285714286,-0.0702567,0.641685272,3
97,Awka North,18-Nov,11,2018,0.375,0.375,0.375,7,0.25,0.25,0.25,4
98,Awka South,18-Nov,11,2018,0.1,0.1,0.1,27,0,0,0,22
99,Ayamelum,18-Dec,12,2018,0.193103455,-0.009418918,0.395625828,24,0.247787618,0.025476665,0.470098572,19
100,Babura,18-Oct,10,2018,0.489402676,0.385526586,0.593278767,18,0.369713469,0.185442547,0.55398439,13
101,Badagry,18-Nov,11,2018,0,0,0,10,0,0,0,8
102,Bade,18-Dec,12,2018,0.090909091,0.090909091,0.090909091,8,0,0,0,7
103,Bagudo,18-Dec,12,2018,0.831099175,0.651232432,1.010965918,32,0.657952017,0.299944674,1.015959359,20
104,Bagwai,18-Dec,12,2018,0.733333333,0.733333333,0.733333333,14,0.5,0.5,0.5,12
105,Bakori,18-Dec,12,2018,0.545454545,0.545454545,0.545454545,44,0.142857143,0.142857143,0.142857143,28
106,Bakura,18-Oct,10,2018,0.706521747,0.68024252,0.732800975,20,0.337036999,0.214991789,0.459082208,14
107,Balanga,18-Dec,12,2018,0.685327695,0.510511723,0.860143667,15,0.33444376,0.224602769,0.444284751,11
108,Bali,18-Nov,11,2018,0.531506843,0.372729445,0.69028424,15,0.325650608,0.186878276,0.46442294,11
109,Baruten,18-Dec,12,2018,0.680701759,0.51657572,0.844827798,15,0.071823203,-0.030627449,0.174273854,10
110,Bassa1,18-Oct,10,2018,0.428571429,0.312893745,0.544249112,4,0.4,0.286518577,0.513481423,3
111,Bassa2,18-Nov,11,2018,0.293598167,0.119551646,0.467644688,15,0.134796189,-0.039442946,0.309035325,11
112,Batagarawa,18-Sep,9,2018,0.646033143,0.556133578,0.735932708,34,0.343565545,0.206181481,0.480949609,25
113,Batsari,18-Sep,9,2018,1,1,1,14,0.2,0.2,0.2,8
114,Bauchi,18-Nov,11,2018,0,0,0,2,0.445744319,-0.239048281,1.130536919,19
115,Bauchi,18-Aug,8,2018,0.449735674,0.064379269,0.83509208,50,,,,
116,Baure,18-Oct,10,2018,0.928571429,0.928571429,0.928571429,23,0.4,0.4,0.4,16
117,Bayo,18-Oct,10,2018,0.75,0.75,0.75,2,0.333333333,0.333333333,0.333333333,2
118,Bebeji,18-Sep,9,2018,0.5,0.5,0.5,16,0.142857143,0.142857143,0.142857143,9
119,Bende,18-Sep,9,2018,0.330275222,0.224876416,0.435674029,4,0.369863001,0.193351342,0.546374661,3
120,Biase,18-Oct,10,2018,0.136222837,-0.073313113,0.345758786,4,0,0,0,4
121,Bida,18-Nov,11,2018,0.166666667,0.166666667,0.166666667,6,0,0,0,3
122,Billiri,18-Nov,11,2018,0,0,0,5,0,0,0,3
123,Bindawa,18-Sep,9,2018,0.666666667,0.666666667,0.666666667,8,0.6,0.6,0.6,7
124,Binji,18-Oct,10,2018,0.25,0.25,0.25,4,0.5,0.5,0.5,2
125,Biriniwa,18-Nov,11,2018,0.5,0.5,0.5,8,0.5,0.5,0.5,5
126,Biriniwa,18-Dec,12,2018,0.333333333,0.333333333,0.333333333,4,0.333333333,0.333333333,0.333333333,4
127,Birni Kudu,18-Sep,9,2018,0.627893516,0.474276473,0.78151056,29,0.705390334,0.494060272,0.916720396,18
128,Birnin Kebbi,18-Aug,8,2018,0.456211223,0.409244663,0.503177783,9,0.402049377,0.343298068,0.460800685,8
129,Birnin Kebbi,18-Sep,9,2018,0.850499054,0.751693152,0.949304955,29,0.586993435,0.434486717,0.739500153,19
130,Biu,18-Dec,12,2018,0,0,0,4,0,0,0,3
131,Bodinga,18-Sep,9,2018,0.688817594,0.491592735,0.886042453,19,0.716573093,0.457715465,0.97543072,12
132,Boki,18-Sep,9,2018,0.25,0.25,0.25,5,0,0,0,2
133,Bokkos,18-Oct,10,2018,0.098797719,-0.048417063,0.246012501,21,0.10370372,-0.031813514,0.239220955,13
134,Boluwaduro,18-Sep,9,2018,0.444544048,0.374769642,0.514318453,8,0.333333333,0.333333333,0.333333333,5
135,Bomadi,18-Nov,11,2018,0.25,0.25,0.25,5,0.25,0.25,0.25,5
136,Bonny,18-Dec,12,2018,0.178860924,0.08212376,0.275598088,11,0,0,0,8
137,Borgu,18-Nov,11,2018,0.75,0.75,0.75,8,0.5,0.5,0.5,4
138,Boripe,18-Sep,9,2018,0.272727273,0.272727273,0.272727273,13,0.111111111,0.111111111,0.111111111,11
139,Bosso,18-Sep,9,2018,0.378650446,0.346717183,0.41058371,35,0.231793425,0.207549168,0.256037682,27
140,Brass,18-Oct,10,2018,0.329715435,0.171022769,0.488408102,9,0.101212004,-0.052639482,0.25506349,7
141,Brass,18-Nov,11,2018,0.5,0.5,0.5,1,0,0,0,1
142,Buji,18-Oct,10,2018,0.5,0.5,0.5,14,0.333333333,0.333333333,0.333333333,5
143,Buji,18-Dec,12,2018,0.571428571,0.571428571,0.571428571,6,0,0,0,4
144,Bukkuyum,18-Oct,10,2018,0.389959721,0.205386541,0.5745329,20,0.397465483,0.060785132,0.734145834,17
145,Bungudu,18-Sep,9,2018,0.326840703,0.176279544,0.477401863,29,0.218721127,0.033199003,0.404243251,20
146,Bunkure,18-Nov,11,2018,0.846153846,0.846153846,0.846153846,25,0.8,0.8,0.8,19
147,Bursari,18-Dec,12,2018,0.166666667,0.166666667,0.166666667,5,0,0,0,3
148,Buruku,18-Sep,9,2018,0.125,0.081019,0.168981,34,0.095238095,-0.083478348,0.273954538,22
149,Burutu,18-Oct,10,2018,0.428571429,0.428571429,0.428571429,3,0.333333333,0.333333333,0.333333333,3
150,Burutu,18-Nov,11,2018,0.166666667,0.166666667,0.166666667,7,0,0,0,5
151,Bwari,18-Oct,10,2018,0.272260259,0.060640492,0.483880027,6,0.09981167,0.014390684,0.185232657,5
152,Bwari,18-Nov,11,2018,0.28426512,0.202997592,0.365532647,11,0.185994362,0.047514569,0.324474155,8
153,Calabar South,18-Aug,8,2018,0,0,0,3,0,0,0,3
154,Calabar-Municipal,18-Nov,11,2018,0,0,0,11,0,0,0,8
155,Calabar-Municipal,18-Dec,12,2018,0.303116228,-0.338275347,0.944507803,3,0.303116228,-0.338275347,0.944507803,3
156,Calabar-Municipal,18-Sep,9,2018,0,0,0,1,0.5,0.5,0.5,1
157,Chanchaga,18-Aug,8,2018,0.19942077,0.063303625,0.335537914,29,0,0,0,23
158,Charanchi,18-Sep,9,2018,0.7,0.7,0.7,23,0.8,0.8,0.8,11
159,Chikun,18-Dec,12,2018,0,0,0,24,0,0,0,24
160,Dala,18-Oct,10,2018,0.059534893,-0.069145321,0.188215106,33,0,0,0,29
161,Dala,18-Nov,11,2018,0.166666667,0.166666667,0.166666667,6,0.2,0.2,0.2,5
162,Damaturu,18-Nov,11,2018,0.285714286,0.285714286,0.285714286,2,0,0,0,1
163,Damban,18-Dec,12,2018,0.333333333,0.333333333,0.333333333,11,0.2,0.2,0.2,6
164,Dambatta,18-Dec,12,2018,0,0,0,26,0,0,0,17
165,Dan Musa,18-Dec,12,2018,0.166666667,0.166666667,0.166666667,8,0,0,0,5
166,Dandi,18-Oct,10,2018,0.508911412,0.330323697,0.687499126,9,0.15637374,0.105789399,0.206958082,8
167,Dange-Shnsi,18-Nov,11,2018,0.727272727,0.727272727,0.727272727,11,0.666666667,0.666666667,0.666666667,6
168,Danja,18-Dec,12,2018,0.176470588,0.176470588,0.176470588,30,0,0,0,23
169,Darazo,18-Nov,11,2018,0.769230769,0.769230769,0.769230769,7,0,0,0,3
170,Darazo,18-Dec,12,2018,0,0,0,13,0,0,0,10
171,Dass,18-Sep,9,2018,0.142857143,0.142857143,0.142857143,6,0.166666667,0.166666667,0.166666667,5
172,Daura,18-Oct,10,2018,0.810553224,0.694647558,0.926458891,40,0.394473194,0.262612468,0.52633392,28
173,Dawakin Kudu,18-Nov,11,2018,0.5,0.5,0.5,16,0.5,0.5,0.5,16
174,Dawakin Tofa,18-Dec,12,2018,0.571428571,0.571428571,0.571428571,20,0.7,0.7,0.7,14
175,Degema,18-Oct,10,2018,0,0,0,4,0,0,0,3
176,Dekina,18-Oct,10,2018,0.788613114,0.660829924,0.916396305,21,0.281633019,0.094708414,0.468557624,16
177,Demsa,18-Nov,11,2018,0,0,0,7,0,0,0,3
178,Demsa,18-Dec,12,2018,0.2,0.2,0.2,4,0,0,0,3
179,Doguwa,18-Aug,8,2018,0.578947368,0.578947368,0.578947368,30,0.555555556,0.555555556,0.555555556,14
180,Doma,18-Nov,11,2018,0.177946246,-0.095864222,0.451756714,5,0,0,0,4
181,Donga,18-Oct,10,2018,0.207709537,0.103214612,0.312204462,11,0.254517952,0.087711153,0.42132475,7
182,Dukku,18-Oct,10,2018,0.5,0.5,0.5,4,0.222222222,0.222222222,0.222222222,4
183,Dukku,18-Sep,9,2018,0.506770994,0.124232624,0.889309365,19,0.179025387,0.092315092,0.265735683,10
184,Dutse,18-Aug,8,2018,0.134976488,0.062171296,0.207781679,25,0.203701509,0.060798956,0.346604062,20
185,Dutse,18-Sep,9,2018,0.18043782,0.131518782,0.229356858,14,0.282320362,0.162561635,0.402079088,9
186,Dutsi,18-Oct,10,2018,0.666666667,0.666666667,0.666666667,8,0.375,0.375,0.375,7
187,Eastern Obolo,18-Dec,12,2018,0.222222222,0.222222222,0.222222222,12,0.25,0.25,0.25,5
188,Edati,18-Nov,11,2018,0.25,0.25,0.25,3,0,0,0,1
189,Edu,18-Nov,11,2018,0.497665752,0.083825274,0.91150623,14,0.126488827,-0.048946591,0.301924245,9
190,Efon-Alayee,18-Oct,10,2018,0.304347826,-0.059008729,0.667704381,9,0.263157895,0.020227439,0.50608835,7
191,Egbado North,18-Oct,10,2018,0.545454545,0.545454545,0.545454545,6,0.285714286,0.285714286,0.285714286,4
192,Egbado South,18-Oct,10,2018,0.437596034,0.23899444,0.636197628,18,0.274992482,-0.277627291,0.827612255,11
193,Egbeda,18-Sep,9,2018,0.463562901,0.183673394,0.743452409,90,0.361923732,0.039600399,0.684247065,68
194,Egbedore,18-Aug,8,2018,0.25,0.25,0.25,5,0.5,0.5,0.5,2
195,Egbedore,18-Sep,9,2018,0.290076357,-0.067973111,0.648125825,6,0.339285743,-0.150549005,0.82912049,5
196,Egor,18-Dec,12,2018,0.088888877,0.015521,0.162256755,8,0,0,0,6
197,Ehime-Mbano,18-Sep,9,2018,0.401866452,0.236631306,0.567101598,8,0.252914065,-0.004864752,0.510692881,6
198,Ejigbo,18-Nov,11,2018,0.833333333,0.833333333,0.833333333,12,0.75,0.75,0.75,8
199,Ejigbo,18-Sep,9,2018,1,1,1,5,1,1,1,3
