,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
130,Ila,15-Oct,10,2015,0,0,0,2,0.857142857,0.857142857,0.857142857,7
131,Ilesha East,15-Oct,10,2015,0.272727273,0.272727273,0.272727273,15,0.5,0.5,0.5,16
132,Ilorin East,15-Oct,10,2015,0,0,0,28,0.066841033,-0.061501643,0.195183709,30
133,Ilorin West,15-Oct,10,2015,0,0,0,10,0,0,0,8
134,Ipokia,15-Oct,10,2015,0.352941176,0.352941176,0.352941176,14,0.526315789,0.526315789,0.526315789,15
135,Irele,15-Oct,10,2015,0.299417951,0.096098386,0.502737515,35,0.594111222,0.449475818,0.738746626,46
136,Irepodun-Ifelodun,15-Oct,10,2015,0.181818182,0.181818182,0.181818182,6,0.166666667,0.166666667,0.166666667,7
137,Iseyin,15-Oct,10,2015,0.5,0.5,0.5,6,0.5,0.5,0.5,6
138,Isiala Mbano,15-Oct,10,2015,0.076923077,0.076923077,0.076923077,28,0.307692308,0.307692308,0.307692308,28
139,Isiala-Ngwa South,15-Oct,10,2015,0,0,0,1,0.428571429,0.428571429,0.428571429,5
140,Isoko North,15-Oct,10,2015,0.277777778,0.277777778,0.277777778,16,0.5,0.5,0.5,16
141,Ivo,15-Nov,11,2015,0.2,0.2,0.2,9,0.4,0.4,0.4,9
142,Izzi,15-Oct,10,2015,0.4375,0.301059498,0.573940502,37,0.66,0.631258613,0.688741387,39
143,Jakusko,15-Oct,10,2015,0.405405405,0.287311688,0.523499123,22,0.473684211,0.378310842,0.569057579,22
144,Jalingo,15-Oct,10,2015,0.166666667,0.166666667,0.166666667,6,0.263157895,0.263157895,0.263157895,7
145,Jama'are,15-Nov,11,2015,0,0,0,15,0.16,0.16,0.16,15
146,Jere,15-Oct,10,2015,0,0,0,8,0.1,0.1,0.1,8
147,Jos North,15-Nov,11,2015,0,0,0,5,0,0,0,5
148,Kaduna North,15-Nov,11,2015,0.071428571,0.071428571,0.071428571,14,0.142857143,0.142857143,0.142857143,14
149,Kagarko,15-Oct,10,2015,0.076923077,0.076923077,0.076923077,22,0.384615385,0.384615385,0.384615385,22
150,Kaiama,15-Oct,10,2015,0.5625,0.396740371,0.728259629,30,0.833333333,0.581869837,1.08479683,33
151,Kanam,15-Nov,11,2015,0.475,0.475,0.475,29,0.8,0.8,0.8,29
152,Kano Municipal,15-Nov,11,2015,0,0,0,45,0,0,0,45
153,Karaye,15-Oct,10,2015,0.153846154,0.153846154,0.153846154,48,0.296296296,0.296296296,0.296296296,49
154,Karin-Lamido,15-Nov,11,2015,0.233333333,0.233333333,0.233333333,18,0.5,0.5,0.5,18
155,Karu,15-Oct,10,2015,0.206896552,0.206896552,0.206896552,15,0.580645161,0.580645161,0.580645161,16
156,Karu,15-Nov,11,2015,0,0,0,6,0.090909091,0.090909091,0.090909091,6
157,Katsina,15-Oct,10,2015,0.2,0.2,0.2,31,0.238095238,0.238095238,0.238095238,33
158,Kazaure,15-Nov,11,2015,0.097560976,0.097560976,0.097560976,20,0.365853659,0.365853659,0.365853659,20
159,Keana,15-Oct,10,2015,0.5625,0.5625,0.5625,12,0.676470588,0.676470588,0.676470588,13
160,Keffi,15-Oct,10,2015,0,0,0,2,0.2,0.2,0.2,2
161,Khana,15-Oct,10,2015,0.307611235,0.045105187,0.570117283,23,0.505398955,0.196016827,0.814781084,23
162,Kolokuma-Opokuma,15-Oct,10,2015,0.045454545,0.045454545,0.045454545,9,0.2,0.2,0.2,10
163,Kwali,15-Oct,10,2015,0.364015898,0.122245713,0.605786084,12,0.591525834,0.380475293,0.802576376,12
164,Kwami,15-Nov,11,2015,0.428571429,0.428571429,0.428571429,14,0.428571429,0.428571429,0.428571429,14
165,Lafia,15-Oct,10,2015,0.5625,0.5625,0.5625,25,0.729166667,0.729166667,0.729166667,25
166,Lagos Island,15-Oct,10,2015,0,0,0,21,0.055555556,0.055555556,0.055555556,21
167,Langtang South,15-Oct,10,2015,0.217391304,0.217391304,0.217391304,29,0.608695652,0.608695652,0.608695652,29
168,Lavun,15-Oct,10,2015,0.210526316,0.210526316,0.210526316,20,0.35,0.35,0.35,21
169,Mai'Adua,15-Nov,11,2015,0.171052632,0.106743753,0.23536151,139,0.423076923,0.261554155,0.584599691,142
170,Maiduguri,15-Oct,10,2015,0,0,0,12,0.027272727,-0.009760988,0.064306442,12
171,Maigatari,15-Oct,10,2015,0.545454545,0.545454545,0.545454545,14,1,1,1,16
172,Maigatari,15-Nov,11,2015,0.25,0.25,0.25,5,0.75,0.75,0.75,5
173,Makurdi,15-Oct,10,2015,0,0,0,4,0,0,0,4
174,Malam Madori,15-Oct,10,2015,0.357142857,0.357142857,0.357142857,30,0.555555556,0.555555556,0.555555556,39
175,Maradun,15-Nov,11,2015,0.833333333,0.833333333,0.833333333,19,0.833333333,0.833333333,0.833333333,19
176,Markafi,15-Oct,10,2015,0.333333333,0.333333333,0.333333333,24,0.466666667,0.466666667,0.466666667,24
177,Maru,15-Nov,11,2015,0.888888889,0.888888889,0.888888889,27,0.888888889,0.888888889,0.888888889,27
178,Mashegu,15-Oct,10,2015,0.541666667,0.419519932,0.663813402,81,0.775510204,0.695706271,0.855314137,82
179,Mbo,15-Nov,11,2015,0.55,0.55,0.55,24,0.454545455,0.454545455,0.454545455,26
180,Mubi North,15-Oct,10,2015,0.124069918,-0.015024557,0.263164393,33,0.279899235,-0.041879715,0.601678184,32
181,Muya,15-Nov,11,2015,0.166666667,0.166666667,0.166666667,10,0.285714286,0.285714286,0.285714286,12
182,Nafada,15-Oct,10,2015,0.181818182,0.181818182,0.181818182,5,0.545454545,0.545454545,0.545454545,5
183,Nangere,15-Oct,10,2015,0.138888889,0.097307022,0.180470756,30,0.520547945,0.203124346,0.837971544,31
184,Nasarawa-Eggon,15-Nov,11,2015,0.555555556,0.555555556,0.555555556,10,0.722222222,0.722222222,0.722222222,10
185,Nasarawa1,15-Nov,11,2015,0,0,0,15,0,0,0,15
186,Nembe,15-Oct,10,2015,0.4375,0.4375,0.4375,7,0.653846154,0.653846154,0.653846154,11
187,Nguru,15-Oct,10,2015,0.090909091,0.090909091,0.090909091,21,0.090909091,0.090909091,0.090909091,21
188,Nkanu West,15-Oct,10,2015,0.166666667,0.166666667,0.166666667,5,0,0,0,5
189,Nsit Ibom,15-Oct,10,2015,0,0,0,11,0.1,0.1,0.1,12
190,Nsit Ubium,15-Oct,10,2015,0.25,0.25,0.25,19,0.25,0.25,0.25,19
191,Nsukka,15-Oct,10,2015,0.04,-0.037730897,0.117730897,22,0.269230769,0.188380863,0.350080676,23
192,Numan,15-Oct,10,2015,0.333333333,0.333333333,0.333333333,13,0.705882353,0.705882353,0.705882353,15
193,Nwangele,15-Oct,10,2015,0,0,0,3,0,0,0,3
194,Obafemi-Owode,15-Oct,10,2015,0,0,0,20,0.200787406,0.180036627,0.221538185,21
195,Obi1,15-Oct,10,2015,0.714285714,0.714285714,0.714285714,28,0.857142857,0.857142857,0.857142857,28
196,Obubra,15-Oct,10,2015,0.625,0.625,0.625,9,0.75,0.75,0.75,9
197,Odeda,15-Nov,11,2015,0.214285714,0.214285714,0.214285714,10,0.357142857,0.357142857,0.357142857,10
198,Ogbadibo,15-Oct,10,2015,0.285714286,0.285714286,0.285714286,27,0.714285714,0.714285714,0.714285714,27
199,Ogbia,15-Oct,10,2015,0.555555556,0.555555556,0.555555556,20,0.444444444,0.444444444,0.444444444,20
200,Oguta,15-Nov,11,2015,0.071428571,0.071428571,0.071428571,10,0.214285714,0.214285714,0.214285714,10
201,Ohaozara,15-Nov,11,2015,0.3125,0.160466298,0.464533702,10,0.4375,0.262076498,0.612923502,10
202,Ohaukwu,15-Oct,10,2015,0.454545455,0.454545455,0.454545455,23,0.75,0.75,0.75,25
203,Okehi,15-Oct,10,2015,0.095238095,0.095238095,0.095238095,14,0.363636364,0.363636364,0.363636364,14
204,Okene,15-Oct,10,2015,0,0,0,13,0,0,0,13
205,Okitipupa,15-Oct,10,2015,0,0,0,8,0.5,0.5,0.5,9
206,Okpokwu,15-Oct,10,2015,0.55,0.55,0.55,38,0.95,0.95,0.95,38
207,Oluyole,15-Nov,11,2015,0.5,0.5,0.5,17,0.875,0.875,0.875,17
208,Omala,15-Nov,11,2015,0.058823529,0.058823529,0.058823529,12,0,0,0,12
209,Ondo West,15-Oct,10,2015,0.1,0.1,0.1,14,0.416666667,0.416666667,0.416666667,17
210,Onitsha South,15-Nov,11,2015,0,0,0,21,0.142857143,0.142857143,0.142857143,21
211,Onna,15-Oct,10,2015,0,0,0,9,0.1,0.1,0.1,9
212,Oredo,15-Nov,11,2015,0.142857143,0.142857143,0.142857143,5,0.142857143,0.142857143,0.142857143,5
213,Orelope,15-Oct,10,2015,0.4,0.4,0.4,32,0.85,0.85,0.85,42
214,Oriade,15-Nov,11,2015,0.501828675,0.42491744,0.57873991,25,0.555555556,0.555555556,0.555555556,25
215,Orlu,15-Oct,10,2015,0,0,0,9,0.090909091,0.090909091,0.090909091,9
216,Oru East,15-Nov,11,2015,0.333333333,0.333333333,0.333333333,7,0.692307692,0.692307692,0.692307692,10
217,Oshodi-Isolo,15-Oct,10,2015,0,0,0,27,0,0,0,27
218,Osisioma Ngwa,15-Oct,10,2015,0,0,0,4,0,0,0,4
219,Osisioma Ngwa,15-Nov,11,2015,0.133333333,0.133333333,0.133333333,13,0.333333333,0.333333333,0.333333333,13
220,Osogbo,15-Oct,10,2015,0,0,0,9,0.375,0.375,0.375,12
221,Owan East,15-Oct,10,2015,0.090909091,0.090909091,0.090909091,5,0.090909091,0.090909091,0.090909091,5
222,Owan West,15-Oct,10,2015,0.444444444,0.444444444,0.444444444,5,0.666666667,0.666666667,0.666666667,5
223,Owerri North,15-Oct,10,2015,0,0,0,22,0,0,0,22
224,Owo,15-Oct,10,2015,0.35,0.35,0.35,20,0.7,0.7,0.7,20
225,Oye,15-Oct,10,2015,0.25,0.25,0.25,7,0.166666667,0.166666667,0.166666667,7
226,Oyo West,15-Oct,10,2015,0,0,0,20,0.1,0.1,0.1,20
227,Pankshin,15-Oct,10,2015,0.592592593,0.592592593,0.592592593,35,0.740740741,0.740740741,0.740740741,35
228,Pategi,15-Nov,11,2015,0.2,0.2,0.2,4,0.2,0.2,0.2,4
229,Port-Harcourt,15-Oct,10,2015,0,0,0,17,0,0,0,17
230,Qua'an Pan,15-Oct,10,2015,0.320155816,0.100749685,0.539561948,56,0.488797182,0.117269467,0.860324898,56
231,Rijau,15-Oct,10,2015,0.352941176,0.352941176,0.352941176,30,0.588235294,0.588235294,0.588235294,30
232,Roni,15-Nov,11,2015,0.333333333,0.333333333,0.333333333,56,0.78125,0.78125,0.78125,60
233,Sabon Birni,15-Oct,10,2015,0.315789474,0.315789474,0.315789474,43,0.55,0.55,0.55,45
234,Safana,15-Oct,10,2015,0.315789474,0.315789474,0.315789474,33,0.892857143,0.892857143,0.892857143,48
235,Sagbama,15-Oct,10,2015,0.1,0.1,0.1,10,0.142857143,0.142857143,0.142857143,10
236,Saki East,15-Oct,10,2015,0.666666667,0.666666667,0.666666667,6,1,1,1,13
237,Sardauna,15-Oct,10,2015,0.375,0.375,0.375,16,0.416666667,0.416666667,0.416666667,16
238,Shagamu,15-Nov,11,2015,0,0,0,13,0.153846154,0.153846154,0.153846154,13
239,Shelleng,15-Oct,10,2015,0.631578947,0.631578947,0.631578947,14,0.9,0.9,0.9,14
240,Shira,15-Oct,10,2015,0.423076923,0.423076923,0.423076923,28,0.923076923,0.923076923,0.923076923,28
241,Shiroro,15-Nov,11,2015,0.260869565,0.260869565,0.260869565,26,0.423076923,0.423076923,0.423076923,30
242,Shomolu,15-Oct,10,2015,0,0,0,13,0.076923077,0.076923077,0.076923077,13
243,Silame,15-Nov,11,2015,0.8,0.8,0.8,12,0.956521739,0.956521739,0.956521739,14
244,Soba,15-Nov,11,2015,0.290322581,0.290322581,0.290322581,32,0.5,0.5,0.5,33
245,Sokoto North,15-Oct,10,2015,0.176470588,0.176470588,0.176470588,10,0.352941176,0.352941176,0.352941176,10
246,Southern Ijaw,15-Oct,10,2015,0.35,0.301349215,0.398650785,22,0.512195122,0.458764525,0.565625719,23
247,Suleja,15-Nov,11,2015,0,0,0,8,0,0,0,8
248,Surulere1,15-Oct,10,2015,0,0,0,17,0,0,0,14
249,Takum,15-Oct,10,2015,0.321428571,0.321428571,0.321428571,17,0.517241379,0.517241379,0.517241379,18
250,Talata Mafara,15-Nov,11,2015,0.176470588,0.176470588,0.176470588,17,0.5,0.5,0.5,18
251,Tambuwal,15-Nov,11,2015,0.487169863,0.144748203,0.829591523,23,0.552716758,0.153653921,0.951779595,23
252,Toro,15-Oct,10,2015,0,0,0,44,0.315789474,0.315789474,0.315789474,47
253,Toto,15-Oct,10,2015,0.272727273,0.272727273,0.272727273,13,0.393939394,0.393939394,0.393939394,13
254,Tureta,15-Nov,11,2015,0.764705882,0.764705882,0.764705882,11,0.952380952,0.952380952,0.952380952,14
255,Udu,15-Nov,11,2015,0,0,0,18,0.043478261,0.043478261,0.043478261,17
256,Uhunmwonde,15-Oct,10,2015,0.333333333,0.333333333,0.333333333,7,0.777777778,0.777777778,0.777777778,7
257,Umu-Neochi,15-Oct,10,2015,0,0,0,5,0,0,0,6
258,Umuahia North,15-Oct,10,2015,0,0,0,7,0.166666667,0.166666667,0.166666667,7
259,Uvwie,15-Oct,10,2015,0.052631579,0.052631579,0.052631579,14,0,0,0,14
260,Uyo,15-Oct,10,2015,0,0,0,2,0,0,0,2
261,Wamba,15-Nov,11,2015,0.347826087,0.347826087,0.347826087,10,0.739130435,0.739130435,0.739130435,10
262,Warri North,15-Nov,11,2015,0,0,0,13,0.066666667,0.066666667,0.066666667,13
263,Wasagu-Danko,15-Nov,11,2015,0.5,0.5,0.5,22,0.5,0.5,0.5,22
264,Wukari,15-Oct,10,2015,0.264883733,0.187045041,0.342722425,19,0.231773266,0.163664411,0.299882122,19
265,Wurno,15-Oct,10,2015,0.473684211,0.473684211,0.473684211,11,0.65,0.65,0.65,11
266,Wushishi,15-Oct,10,2015,0.315789474,0.315789474,0.315789474,59,0.58974359,0.58974359,0.58974359,60
267,Yabo,15-Oct,10,2015,0.84,0.84,0.84,13,0.896551724,0.896551724,0.896551724,15
