,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
77,Gamawa,10-Nov,11,2010,0.689655172,0.689655172,0.689655172,16,0.7,0.7,0.7,17
78,Ganaye,10-Dec,12,2010,0.1875,0.1875,0.1875,11,0.125,0.125,0.125,11
79,Garko,10-Oct,10,2010,0.617647059,0.617647059,0.617647059,43,0.588235294,0.588235294,0.588235294,43
80,Gassol,10-Oct,10,2010,0,0,0,1,0,0,0,1
81,Gassol,10-Nov,11,2010,0.434782609,0.434782609,0.434782609,14,0.608695652,0.608695652,0.608695652,14
82,Gassol,10-Dec,12,2010,0.428571429,0.428571429,0.428571429,4,0.571428571,0.571428571,0.571428571,4
83,Gboko,10-Oct,10,2010,0.48,0.48,0.48,23,0.44,0.44,0.44,23
84,Giade,10-Oct,10,2010,0.052631579,0.052631579,0.052631579,19,0.052631579,0.052631579,0.052631579,19
85,Gokana,10-Nov,11,2010,0.3125,0.3125,0.3125,12,0.611111111,0.611111111,0.611111111,14
86,Gombe,10-Dec,12,2010,0.12,0.12,0.12,10,0.04,0.04,0.04,10
87,Gujba,10-Oct,10,2010,0.5,0.5,0.5,14,0.615384615,0.615384615,0.615384615,14
88,Guzamala,10-Oct,10,2010,0.125,0.125,0.125,44,0.833333333,0.833333333,0.833333333,44
89,Guzamala,10-Nov,11,2010,0.428571429,0.428571429,0.428571429,9,1,1,1,9
90,Gwagwalada,10-Nov,11,2010,0.517241379,0.517241379,0.517241379,17,0.310344828,0.310344828,0.310344828,17
91,Gwandu,10-Nov,11,2010,0.794117647,0.794117647,0.794117647,58,0.676470588,0.676470588,0.676470588,58
92,Gwaram,10-Oct,10,2010,0.793103448,0.793103448,0.793103448,34,0.517241379,0.517241379,0.517241379,34
93,Gwer East,10-Oct,10,2010,0.722222222,0.722222222,0.722222222,18,0.722222222,0.722222222,0.722222222,18
94,Ibadan North,10-Dec,12,2010,0,0,0,15,0.0625,0.0625,0.0625,15
95,Ibadan North West,10-Nov,11,2010,0.466666667,0.466666667,0.466666667,14,0.333333333,0.333333333,0.333333333,14
96,Ibeju-Lekki,10-Nov,11,2010,0.333333333,0.333333333,0.333333333,18,0.777777778,0.777777778,0.777777778,18
97,Ibesikpo Asutan,10-Nov,11,2010,0.45,0.45,0.45,13,0.75,0.75,0.75,13
98,Ibi,10-Nov,11,2010,0,0,0,1,0,0,0,1
99,Ibi,10-Dec,12,2010,0.058823529,0.058823529,0.058823529,20,0.058823529,0.058823529,0.058823529,20
100,Ideato North,10-Oct,10,2010,0.1,0.1,0.1,4,0.3,0.3,0.3,4
101,Ido,10-Nov,11,2010,0.5,0.5,0.5,32,0.6,0.6,0.6,32
102,Igbo-Eze North,10-Nov,11,2010,0.444444444,0.444444444,0.444444444,10,0.555555556,0.555555556,0.555555556,10
103,Ihiala,10-Oct,10,2010,0.168845786,-0.012710457,0.35040203,6,0.140795346,0.087153729,0.194436963,6
104,Ihitte-Uboma,10-Oct,10,2010,0.142857143,0.142857143,0.142857143,4,0.428571429,0.428571429,0.428571429,4
