"","LGA","measles","ci_l","ci_u","Number of Participants"
"135","Dass",0.647058823529412,0.647058823529412,0.647058823529412,14
"136","Daura",0.230865016878962,0.0630857783636553,0.39864425539427,84
"137","Dawakin Kudu",0.444444444444444,0.444444444444444,0.444444444444444,47
"138","Dawakin Tofa",0.470588235294118,0.470588235294118,0.470588235294118,23
"139","Degema",0.6,0.6,0.6,7
"140","Dekina",0.312186200424438,0.218540922496975,0.405831478351902,30
"141","Demsa",0.612648254712126,0.491329252017834,0.733967257406419,16
"142","Doguwa",0.323529411764706,0.323529411764706,0.323529411764706,53
"143","Doma",0.572917341471659,0.498529768107298,0.647304914836019,10
"144","Donga",0.268834027746269,0.135496947082229,0.402171108410308,12
"145","Dukku",0.0130903311828525,-0.0107406659564588,0.0369213283221638,38
"146","Dutse",0.349642012369011,0.323819781452708,0.375464243285314,81
"147","Dutsi",0.285714285714286,0.285714285714286,0.285714285714286,18
"148","Eastern Obolo",0.444444444444444,0.444444444444444,0.444444444444444,12
"149","Edati",0.666666666666667,0.666666666666667,0.666666666666667,4
"150","Edu",0.527660718241545,0.182947846239582,0.872373590243509,22
"151","Efon-Alayee",0.611111111111111,0.567489193553569,0.654733028668653,7
"152","Egbado North",0.5,0.5,0.5,3
"153","Egbado South",0.454963880578555,0.147675382345985,0.762252378811125,12
"154","Egbeda",0.745997618084291,0.696057618021615,0.795937618146967,106
"155","Egbedore",0.558784681770215,0.376503105333242,0.741066258207187,17
"156","Egor",0.771739134505657,0.736796230946277,0.806682038065037,8
"157","Ehime-Mbano",0.804359763664883,0.580356322242092,1.02836320508767,4
"158","Ejigbo",0.515249013339955,0.0988905534313447,0.931607473248565,27
"159","Ekeremor",0.628766721959512,0.375314883511418,0.882218560407607,17
"160","Eket",0.571428571428571,0.571428571428571,0.571428571428571,6
"161","Ekiti",0.451327794165004,0.164730229657603,0.737925358672405,10
"162","Ekiti East",0.5,0.5,0.5,2
"163","Ekiti South West",0.625461282161476,0.48436871918207,0.766553845140882,7
"164","Ekiti West",0.443656326920617,0.215768454992075,0.671544198849159,10
"165","Ekwusigo",0.571428571428572,0.571428571428571,0.571428571428572,22
"166","Eleme",0.539784979021585,0.531420528920839,0.548149429122332,37
"167","Emohua",0.444444444444444,0.444444444444444,0.444444444444445,9
"168","Emure",0.545454545454545,0.545454545454545,0.545454545454546,9
"169","Enugu East",0.704568530954562,0.640781330310678,0.768355731598445,40
"170","Enugu North",0.62275451745395,0.494944389859348,0.750564645048552,14
"171","Enugu South",0.633882363778034,0.602368612846313,0.665396114709755,13
"172","Epe",0.75,0.75,0.75,7
"173","Esan Central",0.625,0.625,0.625,5
"174","Esan North East",0.666666666666667,0.666666666666667,0.666666666666667,6
"175","Esan South East",0.213574944653515,0.115362568341308,0.311787320965723,12
"176","Esan West",0.75,0.75,0.75,2
"177","Ese-Odo",0.333333333333333,0.333333333333333,0.333333333333333,11
"178","Esit Eket",0.411764705882353,0.411764705882353,0.411764705882353,20
"179","Essien Udim",0.741144361307278,0.38989922921413,1.09238949340043,22
"180","Etche",0.595779799187655,0.482864173205089,0.708695425170221,13
"181","Ethiope East",0.61741405961791,0.431666639092172,0.803161480143649,19
"182","Ethiope West",0,0,0,1
"183","Eti-Osa",1,1,1,4
"184","Etinan",0.333333333333333,0.333333333333333,0.333333333333333,3
"185","Etsako Central",0.666666666666667,0.666666666666667,0.666666666666667,2
"186","Etsako East",0.453842082191497,0.391231081016184,0.51645308336681,14
"187","Etsako West",0.715863561646032,0.61420334168159,0.817523781610475,33
"188","Etung",0.666666666666667,0.666666666666667,0.666666666666667,4
"189","Ewekoro",0.229159911374989,0.121353134605522,0.336966688144456,38
"190","Ezeagu",0.583097814905237,0.327255936039551,0.838939693770924,18
"191","Ezinihitte",0.571390292482373,0.514777357829863,0.628003227134884,17
"192","Ezza North",0.586206896551724,0.586206896551724,0.586206896551724,21
"193","Ezza South",0.483008290447978,0.419306179201499,0.546710401694456,56
"194","Fakai",0.266666666666667,0.266666666666667,0.266666666666667,9
"195","Faskari",0,0,0,49
"196","Fika",0.476190476190476,0.476190476190476,0.476190476190476,25
"197","Fufore",0.0823204306388491,-0.0385500094761455,0.203190870753844,26
"198","Funakaye",0.257142857142857,0.257142857142857,0.257142857142857,27
"199","Fune",0.389588922795855,0.206122395617543,0.573055449974167,46
"200","Funtua",0.31345453377418,0.293198843590476,0.333710223957884,85
"201","Gabasawa",0.333333333333333,0.333333333333333,0.333333333333333,18
"202","Gada",0.274698800822071,0.239370176418822,0.31002742522532,28
"203","Gagarawa",0.647058823529412,0.647058823529412,0.647058823529412,22
"204","Gamawa",0,0,0,23
"205","Ganaye",0.272727272727273,0.272727272727273,0.272727272727273,8
"206","Ganjuwa",0.151822774809158,-0.0345381992107339,0.33818374882905,41
"207","Garki",0.6,0.6,0.6,14
"208","Garko",0.733333333333333,0.733333333333333,0.733333333333333,26
"209","Garum Mallam",0.428571428571429,0.428571428571429,0.428571428571429,31
"210","Gashaka",0.352941176470588,0.352941176470588,0.352941176470588,11
"211","Gassol",0.174418599856579,0.142272616198196,0.206564583514961,70
"212","Gawabawa",0.116940718989114,0.0202325484683201,0.213648889509907,18
"213","Gaya",0.65,0.65,0.65,26
"214","Gbako",0.473684210526316,0.473684210526315,0.473684210526316,28
"215","Gboko",0.514146879504361,0.458601536930619,0.569692222078103,52
"216","Gboyin",0.580398159155009,0.563003451132432,0.597792867177586,9
"217","Gezawa",0.461538461538462,0.461538461538462,0.461538461538462,29
"218","Giade",0.2,0.2,0.2,19
"219","Gireri",0.45034221388576,0.391659349326273,0.509025078445247,15
"220","Giwa",0.0469274692523743,-0.026175410847943,0.120030349352692,79
"221","Gokana",0.61901541371842,0.593870129509087,0.644160697927754,17
"222","Gombe",0.519024439889849,0.444515949322098,0.5935329304576,41
"223","Gombi",0.641863231531212,0.590596317073521,0.693130145988902,38
"224","Goronyo",0.214285714285714,0.214285714285714,0.214285714285714,4
"225","Gubio",0.2,0.2,0.2,6
"226","Guma",0.390284766584564,0.325840166804465,0.454729366364662,23
"227","Gumel",0.5,0.5,0.5,19
"228","Gummi",0,0,0,67
"229","Gusau",0.171323869090265,0.144568178795606,0.198079559384925,81
"230","Guyuk",0.486146088019052,0.238782894071132,0.733509281966971,48
"231","Gwagwalada",0.510673772137543,0.38094042263682,0.640407121638267,19
"232","Gwale",0.562167465488541,0.393379329535871,0.730955601441211,36
"233","Gwandu",0.0909090909090909,0.0909090909090909,0.0909090909090909,21
"234","Gwaram",0.408229572387443,0.263219523541262,0.553239621233624,60
"235","Gwarzo",0.206896551724138,0.206896551724138,0.206896551724138,55
"236","Gwer East",0.363636363636364,0.363636363636364,0.363636363636364,11
"237","Gwer West",0.5,0.5,0.5,16
"238","Gwiwa",0.56,0.56,0.56,26
"239","Hawul",0.264069264069264,0.169913594960773,0.358224933177755,9
"240","Hong",0.785714285714286,0.785714285714286,0.785714285714286,11
"241","Ibadan North",0.767723951652003,0.573047670786542,0.962400232517464,25
"242","Ibadan North East",0.25,0.25,0.25,6
"243","Ibadan North West",0.375325919916214,0.208994685456146,0.541657154376283,77
"244","Ibadan South West",0.661249631565689,0.340699925612456,0.981799337518922,15
"245","Ibaji",0.333035726322646,0.270339314167707,0.395732138477585,14
"246","Ibarapa Central",0.220543770292839,0.0474022018333373,0.393685338752341,36
"247","Ibeju/Lekki",0.529411764705882,0.529411764705882,0.529411764705882,30
"248","Ibesikpo Asutan",0.621621556021578,0.485982176848836,0.75726093519432,9
"249","Ibiono Ibom",0.320707068954843,0.166420399253501,0.474993738656185,13
"250","Ideato North",0.559251856916613,0.387879870935642,0.730623842897583,28
"251","Ideato South",0.6,0.6,0.6,2
"252","Idemili North",0.576701255005997,0.475606912893289,0.677795597118705,102
"253","Idemili South",0.696887003355841,0.572619617304266,0.821154389407415,68
"254","Ido",0.686825550661613,0.633219494896947,0.740431606426279,16
"255","Idosi-Osi",0.640638267856812,0.573080777400705,0.708195758312919,19
"256","Ifako-Ijaye",0.694713328670463,0.372229897166575,1.01719676017435,30
"257","Ife Central",0.5434782680613,0.495422547403861,0.591533988718739,9
"258","Ife East",1,1,1,7
"259","Ife North",0.726638184297042,0.703814974100239,0.749461394493846,9
"260","Ifedayo",0.2,0.2,0.2,5
"261","Ifedore",0.662796612222159,0.373018268651203,0.952574955793116,7
"262","Ifelodun1",0.313596572325622,0.0145750823642331,0.61261806228701,52
"263","Ifelodun2",0.8,0.8,0.8,6
"264","Ifo",0.629896721471385,0.517930124440908,0.741863318501862,26
"265","Igabi",0.187388457082694,0.107435900001458,0.267341014163929,335
"266","Igalamela-Odolu",0.293853401816612,0.140391798313438,0.447315005319786,23
