State,LGA,pen3_DS,ci_lDS,ci_uDS,Num_DS,pen3_state,ci_l_state,ci_u_state,Num_state
Niger,Bida,0.357142857142857,0.357142857142857,0.357142857142857,14,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Bosso,0.546453460776586,0.433643670350802,0.65926325120237,49,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Edati,0.666666666666667,0.666666666666667,0.666666666666667,4,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Gbako,0.736842105263158,0.736842105263158,0.736842105263158,28,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Gurara,0.295556243392324,0.213912262823438,0.377200223961211,,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Katcha,0,0,0,25,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Kontagora,0.135272118376406,-0.0428555956679923,0.313399832420805,35,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Lapai,0.295556243392324,0.213912262823438,0.377200223961211,,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Lavun,0.245474723291591,-0.076252698857672,0.567202145440854,60,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Magama,0.0309278311498328,0.0126863724207295,0.0491692898789362,61,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Mariga,0,0,0,23,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Mashegu,0.295556243392324,0.213912262823438,0.377200223961211,,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Pailoro,0.264659825999757,0.0460671074825795,0.483252544516935,84,0.295556243392324,0.213912262823438,0.377200223961211,705
Oyo,Lagelu,0.370883203412699,0.306309225336754,0.435457181488644,,0.370883203412699,0.306309225336754,0.435457181488644,538
Niger,Mokwa,0.193191527096865,0.0460300476037452,0.340353006589984,64,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Muya,0.36,0.36,0.36,32,0.295556243392324,0.213912262823438,0.377200223961211,705
Ogun,Abeokuta South,0.817006544194558,0.551064461642,1.08294862674712,24,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ijebu North,0.356744908939826,0.00288365197857365,0.710606165901079,15,0.484094648743716,0.38650654418658,0.581682753300853,350
Niger,Rafi,0.413795630566786,0.255755628100405,0.571835633033168,50,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Rijau,0,0,0,27,0.295556243392324,0.213912262823438,0.377200223961211,705
Ogun,Ado-Odo/Ota,0.530215112766718,0.361769588888202,0.698660636645233,73,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ijebu North East,0.428571428571429,0.428571428571428,0.428571428571429,3,0.484094648743716,0.38650654418658,0.581682753300853,350
Niger,Shiroro,0.353995497574461,0.0915403821134875,0.616450613035434,51,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Suleja,0.706806280098539,0.628574941615959,0.785037618581119,32,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Tafa,0.375,0.375,0.375,19,0.295556243392324,0.213912262823438,0.377200223961211,705
Niger,Wushishi,0.295556243392324,0.213912262823438,0.377200223961211,,0.295556243392324,0.213912262823438,0.377200223961211,705
Ogun,Abeokuta North,0.421233994111429,0.216856941579179,0.625611046643679,54,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Egbado South,0.227481940289278,0.0738376911729927,0.381126189405562,12,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ewekoro,0.186895883521414,0.0452069769101145,0.328584790132713,38,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ifo,0.58346445360695,0.244665375221629,0.922263531992272,26,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ijebu East,0.285714285714286,0.285714285714286,0.285714285714286,10,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ijebu ode,0.540540519947578,0.453037997376756,0.6280430425184,17,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ikenne,0.333333333333333,0.333333333333333,0.333333333333333,2,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Obafemi-Owode,0.552713299074172,0.194904969244849,0.910521628903495,19,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Odeda,0.8,0.8,0.8,9,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Odogbolu,0.8,0.8,0.8,10,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Ogun waterside,0.484094648743716,0.38650654418658,0.581682753300853,,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Remo North,1,1,1,6,0.484094648743716,0.38650654418658,0.581682753300853,350
Ogun,Shagamu,0.592508522831281,0.54569270267766,0.639324342984903,15,0.484094648743716,0.38650654418658,0.581682753300853,350
Ondo,Akoko North East,0.586820165984944,0.235025305885741,0.938615026084148,25,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Akoko North West,0.777564929287585,0.706005913151972,0.849123945423197,13,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Akoko South East,1,1,1,3,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Akoko South West,0.613485930224041,0.315058616701575,0.911913243746508,12,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Akure North,0.9,0.9,0.9,25,0.693975779831143,0.607508432061205,0.780443127601081,220
Osun,Ifedayo,0.4,0.4,0.4,5,0.70770288933561,0.64565057457591,0.769755204095309,309
Ondo,Akure South,0.5,0.5,0.5,6,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ese-Odo,0.5,0.5,0.5,11,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Idanre,0.693975779831143,0.607508432061205,0.780443127601081,,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ifedore,0.89619480529966,0.822430606278946,0.969959004320374,7,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ile-Oluji-Okeigbo,1,1,1,13,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Irele,0.625,0.625,0.625,6,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Odigbo,0.363994341890339,0.29488141028587,0.433107273494807,17,0.693975779831143,0.607508432061205,0.780443127601081,220
Osun,Ifelodun2,0.8,0.8,0.8,6,0.70770288933561,0.64565057457591,0.769755204095309,309
Ondo,Okitipupa,0.795708813414804,0.698653825496617,0.892763801332991,10,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ondo East,0.833333333333333,0.833333333333333,0.833333333333334,6,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ondo West,0.656910277836331,0.492459721944207,0.821360833728455,14,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Ose,0.863982570495001,0.7886411869049,0.939323954085103,15,0.693975779831143,0.607508432061205,0.780443127601081,220
Ondo,Owo,0.741406074608753,0.704688218865231,0.778123930352274,26,0.693975779831143,0.607508432061205,0.780443127601081,220
Osun,Aiyedade,0.571428571428571,0.571428571428571,0.571428571428571,10,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Aiyedire,0.70770288933561,0.64565057457591,0.769755204095309,,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Atakumosa East,0.666666666666667,0.666666666666667,0.666666666666667,5,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Orolu,0.804597626136086,0.612160569370229,0.997034682901942,20,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Atakumosa West,0.25,0.25,0.25,6,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Boluwaduro,0.749873873238194,0.661516122762074,0.838231623714315,7,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Boripe,0.75,0.75,0.75,14,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ede North,0.70770288933561,0.64565057457591,0.769755204095309,,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ede South,0.70770288933561,0.64565057457591,0.769755204095309,,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Egbedore,0.653896973160454,0.267888928940983,1.03990501737993,17,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ejigbo,0.65253829167184,0.327258244868238,0.977818338475441,27,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ife Central,0.6304348041839,0.486267642211582,0.774601966156218,9,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ife East,1,1,1,7,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ife North,0.913532709920705,0.75377023854308,1.07329518129833,9,0.70770288933561,0.64565057457591,0.769755204095309,309
Osun,Ife South,0.70770288933561,0.64565057457591,0.769755204095309,,0.70770288933561,0.64565057457591,0.769755204095309,309
