"","LGA","pen1","ci_l","ci_u","Number of Participants"
"189","Ewekoro",0.348199810089262,0.117185288440404,0.579214331738119,38
"190","Ezeagu",0.810621596505248,0.656050461357229,0.965192731653266,18
"191","Ezinihitte",0.928609707517627,0.871996772865116,0.985222642170137,17
"192","Ezza North",0.896551724137931,0.896551724137931,0.896551724137931,21
"193","Ezza South",0.80148751153688,0.75998015822443,0.84299486484933,56
"194","Fakai",0.466666666666667,0.466666666666667,0.466666666666667,9
"195","Faskari",0,0,0,49
"196","Fika",0.523809523809524,0.523809523809524,0.523809523809524,25
"197","Fufore",0.279005498833451,-0.112088528189748,0.67009952585665,26
"198","Funakaye",0.371428571428571,0.371428571428571,0.371428571428571,27
"199","Fune",0.344790427550915,0.191875324838001,0.497705530263828,46
"200","Funtua",0.48299107179204,0.412781586665663,0.553200556918418,85
"201","Gabasawa",0.533333333333333,0.533333333333333,0.533333333333333,18
"202","Gada",0.298795203288285,0.157480705675288,0.440109700901282,28
"203","Gagarawa",0.882352941176471,0.88235294117647,0.882352941176471,22
"204","Gamawa",0,0,0,23
"205","Ganaye",0.454545454545455,0.454545454545455,0.454545454545455,8
"206","Ganjuwa",0.498846260087233,-0.113482654549555,1.11117517472402,41
"207","Garki",0.666666666666667,0.666666666666667,0.666666666666667,14
"208","Garko",0.933333333333333,0.933333333333333,0.933333333333333,26
"209","Garum Mallam",0.666666666666667,0.666666666666667,0.666666666666667,31
"210","Gashaka",0.470588235294118,0.470588235294118,0.470588235294118,11
"211","Gassol",0.412144707416521,0.259773644839844,0.564515769993198,70
"212","Gawabawa",0.350822156967341,0.0606976454049601,0.640946668529721,18
"213","Gaya",0.65,0.65,0.65,26
"214","Gbako",0.789473684210526,0.789473684210526,0.789473684210526,28
"215","Gboko",0.762246558178507,0.705605759120906,0.818887357236109,52
"216","Gboyin",0.901990795775043,0.815017255662158,0.988964335887929,9
"217","Gezawa",0.461538461538462,0.461538461538462,0.461538461538462,29
"218","Giade",0,0,0,19
"219","Gireri",0.67551332082864,0.587489023989409,0.763537617667871,15
"220","Giwa",0.196568489434903,0.0016274758340567,0.391509503035749,79
"221","Gokana",0.714092482310521,0.563220777054519,0.864964187566524,17
"222","Gombe",0.715609828205214,0.586462282975492,0.844757373434936,41
"223","Gombi",0.795197561756438,0.78435152615897,0.806043597353907,38
"224","Goronyo",0.214285714285714,0.214285714285714,0.214285714285714,4
"225","Gubio",0,0,0,6
"226","Guma",0.491624828009026,0.237068658877638,0.746180997140415,23
"227","Gumel",0.636363636363636,0.636363636363636,0.636363636363636,19
"228","Gummi",0,0,0,67
"229","Gusau",0.265231335064475,0.246120127711147,0.284342542417803,81
"230","Guyuk",0.782430725346034,0.617521929380754,0.947339521311314,48
"231","Gwagwalada",0.832887588038975,0.75418510503682,0.911590071041129,19
"232","Gwale",0.822830678853141,0.787561516116762,0.85809984158952,36
"233","Gwandu",0.272727272727273,0.272727272727273,0.272727272727273,21
"234","Gwaram",0.358419118954605,0.114878077697663,0.601960160211547,60
"235","Gwarzo",0.482758620689655,0.482758620689655,0.482758620689655,55
"236","Gwer East",0.363636363636364,0.363636363636364,0.363636363636364,11
"237","Gwer West",0.8,0.8,0.8,16
"238","Gwiwa",0.88,0.88,0.88,26
"239","Hawul",0.581529581529582,0.31475518572219,0.848303977336973,9
"240","Hong",0.928571428571428,0.928571428571428,0.928571428571429,11
"241","Ibadan North",0.922574650550668,0.857682556928847,0.987466744172488,25
"242","Ibadan North East",0.5,0.5,0.5,6
"243","Ibadan North West",0.636682019141509,0.494969905462569,0.77839413282045,77
"244","Ibadan South West",0.825331834920821,0.547829416183694,1.10283425365795,15
"245","Ibaji",0.766964273677354,0.704267861522415,0.829660685832293,14
"246","Ibarapa Central",0.606495368305308,0.130356055041678,1.08263468156894,36
"247","Ibeju/Lekki",0.882352941176471,0.882352941176471,0.882352941176471,30
"248","Ibesikpo Asutan",0.918918889100717,0.85726462584038,0.980573152361055,9
"249","Ibiono Ibom",0.654040402288177,0.499753732586834,0.808327071989519,13
"250","Ideato North",0.920338843897564,0.804434079295225,1.0362436084999,28
"251","Ideato South",0.8,0.8,0.8,2
"252","Idemili North",0.884083038458851,0.810416480176494,0.957749596741209,102
"253","Idemili South",0.941899486520771,0.886714790705293,0.997084182336249,68
"254","Ido",0.824190660793936,0.759863393876337,0.888517927711535,16
"255","Idosi-Osi",0.847649449451241,0.721242611550009,0.974056287352472,19
"256","Ifako-Ijaye",0.787043928911861,0.543604867470617,1.03048299035311,30
"257","Ife Central",0.7173913403065,0.477112737019303,0.957669943593697,9
"258","Ife East",1,1,1,7
"259","Ife North",0.913532709920705,0.75377023854308,1.07329518129833,9
"260","Ifedayo",0.6,0.6,0.6,5
"261","Ifedore",0.837522303947294,0.684893836229408,0.99015077166518,7
"262","Ifelodun1",0.510662075969197,0.0562495881369949,0.965074563801399,52
"263","Ifelodun2",0.8,0.8,0.8,6
"264","Ifo",0.727213386061653,0.619009953844847,0.835416818278459,26
"265","Igabi",0.292380464748888,0.199793042132066,0.384967887365709,335
"266","Igalamela-Odolu",0.666763455791184,0.642762571676347,0.69076433990602,23
"267","Igbo-Etiti",1,1,1,22
"268","Igbo-Eze North",0.675852216003979,0.359854468486196,0.991849963521763,14
"269","Igbo-Eze South",0.667204032183662,0.605517972789451,0.728890091577874,9
"270","Igueben",0.891676055531155,0.754045938852026,1.02930617221028,6
"271","Ihiala",1,1,1,21
"272","Ijebu East",0.571428571428571,0.571428571428571,0.571428571428572,10
"273","Ijebu North",0.336518664853049,0.144422553931226,0.528614775774871,15
"274","Ijebu North East",0.571428571428571,0.571428571428571,0.571428571428572,3
"275","Ijebu ode",0.833333333333333,0.833333333333333,0.833333333333333,17
"276","Ijero",0.909679733628222,0.817611335429875,1.00174813182657,6
"277","Ijumu",1,1,1,9
"278","Ika North East",0.888888888888889,0.888888888888889,0.888888888888889,9
"279","Ika South",1,1,1,3
"280","Ikara",0.508529275581831,0.492999805783751,0.524058745379911,70
"281","Ikeduru",1,1,1,10
"282","Ikeja",0.909090909090909,0.909090909090909,0.909090909090909,35
"283","Ikenne",0.666666666666667,0.666666666666667,0.666666666666667,2
"284","Ikere",1,1,1,1
"285","Ikole",0.915915955896363,0.885439719142732,0.946392192649995,45
"286","Ikom",1,1,1,10
"287","Ikono",0.875,0.875,0.875,9
"288","Ikorodu",0.814404996192393,0.69880345555531,0.930006536829476,61
"289","Ikot Abasi",0.9375,0.9375,0.9375,13
"290","Ikot Ekpene",0.938681338446592,0.831249422256796,1.04611325463639,11
"291","Ikpoba-Okha",0.818295871338339,0.619082375709678,1.017509366967,28
"292","Ikwerre",0.632530667707856,0.570390868317364,0.694670467098348,55
"293","Ikwo",0.906124489549544,0.872888810968496,0.939360168130591,53
"294","Ikwuano",1,1,1,7
"295","Ila",0.836811147432692,0.80210474608383,0.871517548781553,17
"296","Ilaje",0.363636363636364,0.363636363636364,0.363636363636364,11
"297","Ile-Oluji-Okeigbo",1,1,1,13
"298","Ilemeji",1,1,1,1
"299","Ilesha East",1,1,1,2
"300","Ilesha West",1,1,1,23
"301","Illela",0.357622297748059,0.283294908391121,0.431949687104997,48
"302","Ilorin East",0.949942540228775,0.879170367579553,1.020714712878,20
"303","Ilorin West",0.842038217612322,0.834125993741665,0.849950441482978,34
"304","Imeko-Afon",0.571428571428571,0.571428571428571,0.571428571428571,2
"305","Ingawa",0.0869565217391304,0.0869565217391304,0.0869565217391304,31
"306","Ini",0.727272727272727,0.727272727272727,0.727272727272727,9
"307","Ipokia",0.6,0.6,0.6,12
"308","Irele",0.875,0.875,0.875,6
"309","Irepodun/Ifelodun",1,1,1,1
"310","Irepodun1",0.665127908224907,0.585322638157185,0.744933178292628,7
"311","Irepodun2",0.7,0.7,0.7,17
"312","Irewole",0.700712548957994,0.470891597158609,0.930533500757379,21
"313","Isa",0.285714285714286,0.285714285714286,0.285714285714286,12
"314","Ise/Orun",0.888888888888889,0.888888888888889,0.888888888888889,11
"315","Iseyin",0.621810871110377,0.535691071859013,0.70793067036174,38
"316","Ishielu",0.932301782346272,0.906545162349184,0.958058402343359,33
"317","Isiala-Ngwa North",0.905972051107485,0.777819848251611,1.03412425396336,13
