LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.8,0.676951712,0.41733333,0.621642197,2,june,1622,PBO,0.383194312,0.738470498,0.65
Ika,Ngor-Okpala,2021,Ika,0.365309446,0.31976846,0.263166845,0.320293091,1,june,527,PBO,0.281330517,0.718884411,0.65
Ika,Ngor-Okpala,2024,Ika,0.365309446,0.31976846,0.263166845,0.320293091,2,june,1622,PBO,0.281330517,0.718884411,0.65
Ikono,Ngor-Okpala,2021,Ikono,0.2,0.141176471,0.35,0.223728814,1,june,527,PBO,0.3504186,0.734212445,0.65
Ikono,Ngor-Okpala,2024,Ikono,0.2,0.141176471,0.35,0.223728814,2,june,1622,PBO,0.3504186,0.734212445,0.65
Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,1,june,527,PBO,0.194063012,0.671004892,0.65
Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,2,june,1622,PBO,0.194063012,0.671004892,0.65
Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,1,june,527,PBO,0.356519334,0.735110776,0.65
Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,2,june,1622,PBO,0.356519334,0.735110776,0.65
Ini,Ngor-Okpala,2021,Ini,0.8,0.428571428,0.64,0.612244898,1,june,527,PBO,0.395911217,0.739797918,0.65
Ini,Ngor-Okpala,2024,Ini,0.8,0.428571428,0.64,0.612244898,2,june,1622,PBO,0.395911217,0.739797918,0.65
Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,1,june,527,PBO,0.225930858,0.694424558,0.65
Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,2,june,1622,PBO,0.225930858,0.694424558,0.65
Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,1,june,527,PBO,0.243345201,0.703887208,0.65
Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,2,june,1622,PBO,0.243345201,0.703887208,0.65
Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,1,june,527,PBO,0.357951303,0.735313932,0.65
Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,2,june,1622,PBO,0.357951303,0.735313932,0.65
Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,1,june,527,PBO,0.247213687,0.705735631,0.65
Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,2,june,1622,PBO,0.247213687,0.705735631,0.65
Awka South,Uzo-Uwani,2020,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,1,june,162,PBO,0.431794981,0.74281757,0.65
Awka South,Uzo-Uwani,2023,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,2,june,1257,PBO,0.431794981,0.74281757,0.65
Obot Akara,Ngor-Okpala,2021,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,1,june,527,PBO,0.376065149,0.737654581,0.65
Obot Akara,Ngor-Okpala,2024,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,2,june,1622,PBO,0.376065149,0.737654581,0.65
Okobo,Nsit Ubium,2021,Okobo,0.36,0.266666666,0.545454546,0.349090909,1,june,527,PBO,0.269257198,0.714808808,0.65
Okobo,Nsit Ubium,2024,Okobo,0.36,0.266666666,0.545454546,0.349090909,2,june,1622,PBO,0.269257198,0.714808808,0.65
Onna,Nsit Ubium,2021,Onna,0.498435284,0.494188372,0.263743315,0.492723245,1,june,527,PBO,0.191877243,0.66904259,0.65
Onna,Nsit Ubium,2024,Onna,0.498435284,0.494188372,0.263743315,0.492723245,2,june,1622,PBO,0.191877243,0.66904259,0.65
Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,1,june,527,PBO,0.312496984,0.727192018,0.65
Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,2,june,1622,PBO,0.312496984,0.727192018,0.65
Ukanafun,Nsit Ubium,2021,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,1,june,527,PBO,0.340679142,0.732660403,0.65
Ukanafun,Nsit Ubium,2024,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,2,june,1622,PBO,0.340679142,0.732660403,0.65
Uruan,Nsit Ubium,2021,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,1,june,527,PBO,0.401030149,0.74029001,0.65
Uruan,Nsit Ubium,2024,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,2,june,1622,PBO,0.401030149,0.74029001,0.65
Urue-Offong/Oruko,Nsit Ubium,2021,Urue-Offong-Oruko,0.505263158,0.36923077,0.25,0.385714285,1,june,527,PBO,0.204236897,0.679485559,0.65
