LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Batsari,Rimi,0.366666666,0.366666666,0.539,0,-1,2018,-1
Bauchi,Alkaleri,0.029785241,0.029785241,0.539,0,-1,2018,-1
Baure,Babura,0.392857143,0.392857143,0.539,0,-1,2018,-1
Bayo,Alkaleri,0.55,0.55,0.539,0,-1,2018,-1
Bebeji,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Bekwara,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Bende,Ngor-Okpala,0.193518384,0.193518384,0.539,0,-1,2018,-1
Biase,Ngor-Okpala,0.646831142,0.646831142,0.539,0,-1,2018,-1
Bichi,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Bida,Oke-Ero,0.55,0.55,0.539,0,-1,2018,-1
Billiri,Alkaleri,0.366666666,0.366666666,0.539,0,-1,2018,-1
Bindawa,Rimi,0.11,0.11,0.539,0,-1,2018,-1
Binji,Gawabawa,0.275,0.275,0.539,0,-1,2018,-1
Biriniwa,Taura,0.183333334,0.183333334,0.539,0,-1,2018,-1
Birni Kudu,Takali,0.246381391,0.246381391,0.539,0,-1,2018,-1
Birnin Kebbi,Birnin Kebbi,0.630233677,0.630233677,0.539,0,-1,2018,-1
Birnin Magaji,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Birnin-Gwari,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Biu,Darazo,0.55,0.55,0.539,0,-1,2018,-1
Bodinga,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Bogoro,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Boki,Obubra,0.275,0.275,0.539,0,-1,2018,-1
Bokkos,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Boluwaduro,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Bomadi,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Bonny,Nsit Ubium,0.65620196,0.65620196,0.539,0,-1,2018,-1
Borgu,Oke-Ero,0.314285715,0.314285715,0.539,0,-1,2018,-1
Boripe,Akinyele,0.366666666,0.366666666,0.539,0,-1,2018,-1
Bosso,Keana,0.237664545,0.237664545,0.539,0,-1,2018,-1
Brass,Ahoada West,0.565913274,0.565913274,0.539,0,-1,2018,-1
Buji,Takali,0.196630499,0.196630499,0.539,0,-1,2018,-1
Bukkuyum,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Bungudu,Takali,0.326944632,0.326944632,0.539,0,-1,2018,-1
Bunkure,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Bunza,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018,-1
Bursari,Taura,0.1375,0.1375,0.539,0,-1,2018,-1
Buruku,Keana,0.220000042,0.220000042,0.539,0,-1,2018,-1
Burutu,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Bwari,Giwa,0.169695837,0.169695837,0.539,0,-1,2018,-1
Calabar South,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Calabar-Municipal,Nsit Ubium,0.329713644,0.329713644,0.539,0,-1,2018,-1
Chanchaga,Keana,0.427862065,0.427862065,0.539,0,-1,2018,-1
Charanchi,Rimi,0.115789474,0.115789474,0.539,0,-1,2018,-1
Chibok,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Chikun,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Dala,Alkaleri,0.935050828,0.935050828,0.539,0,-1,2018,-1
Damaturu,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Damban,Darazo,0.366666666,0.366666666,0.539,0,-1,2018,-1
Dambatta,Babura,0.366666666,0.366666666,0.539,0,-1,2018,-1
Damboa,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Dan Musa,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Dandi,Birnin Kebbi,0.384015973,0.384015973,0.539,0,-1,2018,-1
Dandume,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Dange-Shnsi,Gawabawa,0.1375,0.1375,0.539,0,-1,2018,-1
Danja,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Darazo,Darazo,0.177267873,0.177267873,0.539,0,-1,2018,-1
Dass,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Daura,Babura,0.222453485,0.222453485,0.539,0,-1,2018,-1
Dawakin Kudu,Gwarzo,0.3,0.3,0.539,0,-1,2018,-1
Dawakin Tofa,Taura,0.2,0.2,0.539,0,-1,2018,-1
Degema,Ahoada West,0.275,0.275,0.539,0,-1,2018,-1
Dekina,Owan East,0.209327539,0.209327539,0.539,0,-1,2018,-1
Demsa,Alkaleri,0.772185534,0.772185534,0.539,0,-1,2018,-1
Dikwa,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Doguwa,Giwa,0.143478261,0.143478261,0.539,0,-1,2018,-1
Doma,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Donga,Keana,0.313411568,0.313411568,0.539,0,-1,2018,-1
Dukku,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Dunukofia,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Dutse,Takali,0.163336843,0.163336843,0.539,0,-1,2018,-1
Dutsi,Rimi,0.253846154,0.253846154,0.539,0,-1,2018,-1
Dutsin-Ma,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Eastern Obolo,Nsit Ubium,0.66,0.66,0.539,0,-1,2018,-1
Ebonyi,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Edati,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ede North,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ede South,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Edu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Efon-Alayee,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Egbado North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Egbado South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Egbeda,Akinyele,0.11804849,0.11804849,0.539,0,-1,2018,-1
Egbedore,Akinyele,0.596059123,0.596059123,0.539,0,-1,2018,-1
Egor,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ehime-Mbano,Ngor-Okpala,0.650511935,0.650511935,0.539,0,-1,2018,-1
Ejigbo,Akinyele,0.237497982,0.237497982,0.539,0,-1,2018,-1
Ekeremor,Ahoada West,0.226521266,0.226521266,0.539,0,-1,2018,-1
Eket,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Ekiti,Oke-Ero,0.818833351,0.818833351,0.539,0,-1,2018,-1
Ekiti East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ekiti South West,Oke-Ero,0.508750063,0.508750063,0.539,0,-1,2018,-1
Ekiti West,Oke-Ero,0.178434962,0.178434962,0.539,0,-1,2018,-1
Ekwusigo,Oru West,0.825,0.825,0.539,0,-1,2018,-1
Eleme,Ahoada West,0.166862864,0.166862864,0.539,0,-1,2018,-1
Emohua,Ahoada West,0.183333334,0.183333334,0.539,0,-1,2018,-1
Emure,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Enugu East,Uzo-Uwani,0.843835596,0.843835596,0.539,0,-1,2018,-1
Enugu North,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Enugu South,Uzo-Uwani,0.566382859,0.566382859,0.539,0,-1,2018,-1
Epe,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Esan Central,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Esan North East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Esan South East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Esan West,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ese-Odo,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Esit Eket,Nsit Ubium,0.078571428,0.078571428,0.539,0,-1,2018,-1
Essien Udim,Ngor-Okpala,0.241209869,0.241209869,0.539,0,-1,2018,-1
Etche,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ethiope East,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Ethiope West,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Etim Ekpo,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Etinan,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Eti-Osa,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Etsako Central,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Etsako East,Owan East,0.085749665,0.085749665,0.539,0,-1,2018,-1
Etsako West,Owan East,0.088386745,0.088386745,0.539,0,-1,2018,-1
Etung,Obubra,0.22,0.22,0.539,0,-1,2018,-1
