LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Ewekoro,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ezeagu,Uzo-Uwani,0.478039662,0.478039662,0.539,0,-1,2018,-1
Ezinihitte,Ngor-Okpala,0.427854187,0.427854187,0.539,0,-1,2018,-1
Ezza North,Owan East,0.209523809,0.209523809,0.539,0,-1,2018,-1
Ezza South,Obubra,0.526730552,0.526730552,0.539,0,-1,2018,-1
Fagge,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Fakai,Birnin Kebbi,0.733333334,0.733333334,0.539,0,-1,2018,-1
Faskari,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Fika,Darazo,0.104761905,0.104761905,0.539,0,-1,2018,-1
Fufore,Alkaleri,0.153208125,0.153208125,0.539,0,-1,2018,-1
Funakaye,Alkaleri,0.05,0.05,0.539,0,-1,2018,-1
Fune,Darazo,0.034692823,0.034692823,0.539,0,-1,2018,-1
Funtua,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Gabasawa,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Gada,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Gagarawa,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Gamawa,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Ganaye,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Ganjuwa,Darazo,0.112008861,0.112008861,0.539,0,-1,2018,-1
Garki,Babura,0.733333334,0.733333334,0.539,0,-1,2018,-1
Garko,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Garum Mallam,Gwarzo,0.169230769,0.169230769,0.539,0,-1,2018,-1
Gashaka,Oru West,0.452185171,0.452185171,0.539,0,-1,2018,-1
Gassol,Keana,0.09475009,0.09475009,0.539,0,-1,2018,-1
Gawabawa,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Gaya,Gwarzo,0.183333334,0.183333334,0.539,0,-1,2018,-1
Gbako,Oke-Ero,0.507692308,0.507692308,0.539,0,-1,2018,-1
Gboko,Keana,0.154309465,0.154309465,0.539,0,-1,2018,-1
Gboyin,Obubra,0.482352856,0.482352856,0.539,0,-1,2018,-1
Geidam,Babura,0.384205095,0.384205095,0.539,0,-1,2018,-1
Gezawa,Gwarzo,0.275,0.275,0.539,0,-1,2018,-1
Giade,Darazo,0.157142857,0.157142857,0.539,0,-1,2018,-1
Gireri,Darazo,0.089091333,0.089091333,0.539,0,-1,2018,-1
Giwa,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Gokana,Nsit Ubium,0.200322706,0.200322706,0.539,0,-1,2018,-1
Gombe,Alkaleri,0.127786511,0.127786511,0.539,0,-1,2018,-1
Gombi,Alkaleri,0.229718796,0.229718796,0.539,0,-1,2018,-1
Goronyo,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Gubio,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Gudu,Gawabawa,0.117294588,0.117294588,0.539,0,-1,2018,-1
Gujba,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Gulani,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Guma,Keana,0.347010347,0.347010347,0.539,0,-1,2018,-1
Gumel,Babura,0.275,0.275,0.539,0,-1,2018,-1
Gummi,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018,-1
Gurara,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Guri,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Gusau,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Guyuk,Alkaleri,0.528776994,0.528776994,0.539,0,-1,2018,-1
Guzamala,Babura,0.384205095,0.384205095,0.539,0,-1,2018,-1
Gwagwalada,Keana,0.074383433,0.074383433,0.539,0,-1,2018,-1
Gwale,Alkaleri,0.505414437,0.505414437,0.539,0,-1,2018,-1
Gwandu,Birnin Kebbi,0.582352942,0.582352942,0.539,0,-1,2018,-1
Gwaram,Takali,0.245848605,0.245848605,0.539,0,-1,2018,-1
Gwarzo,Gwarzo,0.44,0.44,0.539,0,-1,2018,-1
Gwer East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Gwer West,Keana,0.366666666,0.366666666,0.539,0,-1,2018,-1
Gwiwa,Babura,0.366666666,0.366666666,0.539,0,-1,2018,-1
Gwoza,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Hadejia,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Hawul,Darazo,0.243692308,0.243692308,0.539,0,-1,2018,-1
Hong,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Ibadan North,Owan East,0.273946391,0.273946391,0.539,0,-1,2018,-1
Ibadan North East,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ibadan North West,Owan East,0.129513435,0.129513435,0.539,0,-1,2018,-1
Ibadan South East,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ibadan South West,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ibaji,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ibarapa Central,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ibarapa East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ibarapa North,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ibeju-Lekki,Uzo-Uwani,0.55,0.55,0.539,0,-1,2018,-1
Ibeno,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018,-1
Ibesikpo Asutan,Nsit Ubium,0.257446804,0.257446804,0.539,0,-1,2018,-1
Ibi,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Ibiono Ibom,Ngor-Okpala,0.156569339,0.156569339,0.539,0,-1,2018,-1
Idah,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Idanre,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ideato North,Oru West,0.837771757,0.837771757,0.539,0,-1,2018,-1
Ideato South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Idemili North,Uzo-Uwani,0.68439853,0.68439853,0.539,0,-1,2018,-1
Idemili South,Oru West,0.336604079,0.336604079,0.539,0,-1,2018,-1
Ido,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Idosi-Osi,Oke-Ero,0.096818932,0.096818932,0.539,0,-1,2018,-1
Ifako-Ijaye,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ife Central,Akinyele,0.582352825,0.582352825,0.539,0,-1,2018,-1
Ife East,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ife North,Akinyele,0.55,0.55,0.539,0,-1,2018,-1
Ife South,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ifedayo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ifedore,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ifelodun1,Oke-Ero,0.15374592,0.15374592,0.539,0,-1,2018,-1
Ifelodun2,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Ifo,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Igabi,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Igalamela-Odolu,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Igbo-Etiti,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Igbo-Eze North,Uzo-Uwani,0.093916503,0.093916503,0.539,0,-1,2018,-1
Igbo-Eze South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Igueben,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ihiala,Oru West,0.318999971,0.318999971,0.539,0,-1,2018,-1
Ihitte-Uboma,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ijebu East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ijebu North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ijebu North East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ijebu ode,Owan East,0.306837057,0.306837057,0.539,0,-1,2018,-1
Ijero,Oke-Ero,0.217658681,0.217658681,0.539,0,-1,2018,-1
Ijumu,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Ika,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018,-1
Ika North East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ika South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
