LGA,adm1,year,round,simday,max_age,coverage_high_access,coverage_low_access
Wurno,Sokoto,2015,3,2099,5,0.6,0
Wurno,Sokoto,2015,4,2130,5,0.6,0
Bakura,Zamfara,2015,1,2038,5,0.8,0.4
Bakura,Zamfara,2015,2,2069,5,0.8,0.4
Bakura,Zamfara,2015,3,2099,5,0.8,0.4
Bakura,Zamfara,2015,4,2130,5,0.8,0.4
Birnin Magaji,Zamfara,2015,1,2038,5,0.8,0.4
Birnin Magaji,Zamfara,2015,2,2069,5,0.8,0.4
Birnin Magaji,Zamfara,2015,3,2099,5,0.8,0.4
Birnin Magaji,Zamfara,2015,4,2130,5,0.8,0.4
Bungudu,Zamfara,2015,1,2038,5,0.8,0.4
Bungudu,Zamfara,2015,2,2069,5,0.8,0.4
Bungudu,Zamfara,2015,3,2099,5,0.8,0.4
Bungudu,Zamfara,2015,4,2130,5,0.8,0.4
Kaura Namoda,Zamfara,2015,1,2038,5,0.8,0.4
Kaura Namoda,Zamfara,2015,2,2069,5,0.8,0.4
Kaura Namoda,Zamfara,2015,3,2099,5,0.8,0.4
Kaura Namoda,Zamfara,2015,4,2130,5,0.8,0.4
Shinkafi,Zamfara,2015,1,2038,5,0.8,0.4
Shinkafi,Zamfara,2015,2,2069,5,0.8,0.4
Shinkafi,Zamfara,2015,3,2099,5,0.8,0.4
Shinkafi,Zamfara,2015,4,2130,5,0.8,0.4
Talata Mafara,Zamfara,2015,1,2038,5,0.8,0.4
Talata Mafara,Zamfara,2015,2,2069,5,0.8,0.4
Talata Mafara,Zamfara,2015,3,2099,5,0.8,0.4
Talata Mafara,Zamfara,2015,4,2130,5,0.8,0.4
Zurmi,Zamfara,2015,1,2038,5,0.8,0.4
Zurmi,Zamfara,2015,2,2069,5,0.8,0.4
Zurmi,Zamfara,2015,3,2099,5,0.8,0.4
Zurmi,Zamfara,2015,4,2130,5,0.8,0.4
Binji,Sokoto,2016,1,2404,5,0.6,0
Binji,Sokoto,2016,2,2435,5,0.6,0
Binji,Sokoto,2016,3,2465,5,0.6,0
Binji,Sokoto,2016,4,2496,5,0.6,0
Bodinga,Sokoto,2016,1,2404,5,0.6,0
Bodinga,Sokoto,2016,2,2435,5,0.6,0
Bodinga,Sokoto,2016,3,2465,5,0.6,0
Bodinga,Sokoto,2016,4,2496,5,0.6,0
Dange-Shnsi,Sokoto,2016,1,2404,5,0.6,0
Dange-Shnsi,Sokoto,2016,2,2435,5,0.6,0
Dange-Shnsi,Sokoto,2016,3,2465,5,0.6,0
Dange-Shnsi,Sokoto,2016,4,2496,5,0.6,0
Gada,Sokoto,2016,1,2404,5,0.6,0
Gada,Sokoto,2016,2,2435,5,0.6,0
Gada,Sokoto,2016,3,2465,5,0.6,0
Gada,Sokoto,2016,4,2496,5,0.6,0
Gawabawa,Sokoto,2016,1,2404,5,0.6,0
Gawabawa,Sokoto,2016,2,2435,5,0.6,0
Gawabawa,Sokoto,2016,3,2465,5,0.6,0
Gawabawa,Sokoto,2016,4,2496,5,0.6,0
Goronyo,Sokoto,2016,1,2404,5,0.6,0
Goronyo,Sokoto,2016,2,2435,5,0.6,0
Goronyo,Sokoto,2016,3,2465,5,0.6,0
Goronyo,Sokoto,2016,4,2496,5,0.6,0
Gudu,Sokoto,2016,1,2404,5,0.6,0
Gudu,Sokoto,2016,2,2435,5,0.6,0
Gudu,Sokoto,2016,3,2465,5,0.6,0
Gudu,Sokoto,2016,4,2496,5,0.6,0
Illela,Sokoto,2016,1,2404,5,0.6,0
Illela,Sokoto,2016,2,2435,5,0.6,0
Illela,Sokoto,2016,3,2465,5,0.6,0
Illela,Sokoto,2016,4,2496,5,0.6,0
Isa,Sokoto,2016,1,2404,5,0.6,0
Isa,Sokoto,2016,2,2435,5,0.6,0
Isa,Sokoto,2016,3,2465,5,0.6,0
Isa,Sokoto,2016,4,2496,5,0.6,0
Kebbe,Sokoto,2016,1,2404,5,0.6,0
Kebbe,Sokoto,2016,2,2435,5,0.6,0
Kebbe,Sokoto,2016,3,2465,5,0.6,0
Kebbe,Sokoto,2016,4,2496,5,0.6,0
Kware,Sokoto,2016,1,2404,5,0.6,0
Kware,Sokoto,2016,2,2435,5,0.6,0
Kware,Sokoto,2016,3,2465,5,0.6,0
Kware,Sokoto,2016,4,2496,5,0.6,0
Rabah,Sokoto,2016,1,2404,5,0.6,0
Rabah,Sokoto,2016,2,2435,5,0.6,0
Rabah,Sokoto,2016,3,2465,5,0.6,0
Rabah,Sokoto,2016,4,2496,5,0.6,0
Sabon Birni,Sokoto,2016,1,2404,5,0.6,0
Sabon Birni,Sokoto,2016,2,2435,5,0.6,0
Sabon Birni,Sokoto,2016,3,2465,5,0.6,0
Sabon Birni,Sokoto,2016,4,2496,5,0.6,0
Shagari,Sokoto,2016,1,2404,5,0.6,0
Shagari,Sokoto,2016,2,2435,5,0.6,0
Shagari,Sokoto,2016,3,2465,5,0.6,0
Shagari,Sokoto,2016,4,2496,5,0.6,0
Silame,Sokoto,2016,1,2404,5,0.6,0
Silame,Sokoto,2016,2,2435,5,0.6,0
Silame,Sokoto,2016,3,2465,5,0.6,0
Silame,Sokoto,2016,4,2496,5,0.6,0
Sokoto North,Sokoto,2016,1,2404,5,0.6,0
Sokoto North,Sokoto,2016,2,2435,5,0.6,0
Sokoto North,Sokoto,2016,3,2465,5,0.6,0
Sokoto North,Sokoto,2016,4,2496,5,0.6,0
Sokoto South,Sokoto,2016,1,2404,5,0.6,0
Sokoto South,Sokoto,2016,2,2435,5,0.6,0
Sokoto South,Sokoto,2016,3,2465,5,0.6,0
Sokoto South,Sokoto,2016,4,2496,5,0.6,0
Tambuwal,Sokoto,2016,1,2404,5,0.6,0
Tambuwal,Sokoto,2016,2,2435,5,0.6,0
Tambuwal,Sokoto,2016,3,2465,5,0.6,0
Tambuwal,Sokoto,2016,4,2496,5,0.6,0
Tangaza,Sokoto,2016,1,2404,5,0.6,0
Tangaza,Sokoto,2016,2,2435,5,0.6,0
Tangaza,Sokoto,2016,3,2465,5,0.6,0
Tangaza,Sokoto,2016,4,2496,5,0.6,0
Tureta,Sokoto,2016,1,2404,5,0.6,0
Tureta,Sokoto,2016,2,2435,5,0.6,0
Tureta,Sokoto,2016,3,2465,5,0.6,0
Tureta,Sokoto,2016,4,2496,5,0.6,0
Wamako,Sokoto,2016,1,2404,5,0.6,0
Wamako,Sokoto,2016,2,2435,5,0.6,0
Wamako,Sokoto,2016,3,2465,5,0.6,0
Wamako,Sokoto,2016,4,2496,5,0.6,0
Wurno,Sokoto,2016,1,2404,5,0.6,0
Wurno,Sokoto,2016,2,2435,5,0.6,0
Wurno,Sokoto,2016,3,2465,5,0.6,0
Wurno,Sokoto,2016,4,2496,5,0.6,0
Yabo,Sokoto,2016,1,2404,5,0.6,0
Yabo,Sokoto,2016,2,2435,5,0.6,0
Yabo,Sokoto,2016,3,2465,5,0.6,0
Yabo,Sokoto,2016,4,2496,5,0.6,0
Damaturu,Yobe,2016,1,2404,5,0.6,0
Damaturu,Yobe,2016,2,2435,5,0.6,0
Damaturu,Yobe,2016,3,2465,5,0.6,0
Damaturu,Yobe,2016,4,2496,5,0.6,0
Anka,Zamfara,2016,1,2435,5,0.8,0.4
Anka,Zamfara,2016,2,2465,5,0.8,0.4
Anka,Zamfara,2016,3,2497,5,0.8,0.4
Bakura,Zamfara,2016,1,2404,5,0.8,0.4
Bakura,Zamfara,2016,2,2435,5,0.8,0.4
Bakura,Zamfara,2016,3,2465,5,0.8,0.4
Bakura,Zamfara,2016,4,2496,5,0.8,0.4
Birnin Magaji,Zamfara,2016,1,2404,5,0.8,0.4
Birnin Magaji,Zamfara,2016,2,2435,5,0.8,0.4
Birnin Magaji,Zamfara,2016,3,2465,5,0.8,0.4
Birnin Magaji,Zamfara,2016,4,2496,5,0.8,0.4
Bukkuyum,Zamfara,2016,1,2435,5,0.8,0.4
Bukkuyum,Zamfara,2016,2,2465,5,0.8,0.4
Bukkuyum,Zamfara,2016,3,2496,5,0.8,0.4
Bungudu,Zamfara,2016,1,2404,5,0.8,0.4
Bungudu,Zamfara,2016,2,2435,5,0.8,0.4
Bungudu,Zamfara,2016,3,2465,5,0.8,0.4
Bungudu,Zamfara,2016,4,2496,5,0.8,0.4
Gummi,Zamfara,2016,1,2435,5,0.8,0.4
Gummi,Zamfara,2016,2,2465,5,0.8,0.4
Gummi,Zamfara,2016,3,2496,5,0.8,0.4
Gusau,Zamfara,2016,1,2435,5,0.8,0.4
Gusau,Zamfara,2016,2,2465,5,0.8,0.4
Gusau,Zamfara,2016,3,2496,5,0.8,0.4
Kaura Namoda,Zamfara,2016,1,2404,5,0.8,0.4
Kaura Namoda,Zamfara,2016,2,2435,5,0.8,0.4
Kaura Namoda,Zamfara,2016,3,2465,5,0.8,0.4
Kaura Namoda,Zamfara,2016,4,2496,5,0.8,0.4
Maradun,Zamfara,2016,1,2435,5,0.8,0.4
Maradun,Zamfara,2016,2,2465,5,0.8,0.4
Maradun,Zamfara,2016,3,2496,5,0.8,0.4
Maru,Zamfara,2016,1,2435,5,0.8,0.4
Maru,Zamfara,2016,2,2465,5,0.8,0.4
Maru,Zamfara,2016,3,2496,5,0.8,0.4
Shinkafi,Zamfara,2016,1,2404,5,0.8,0.4
Shinkafi,Zamfara,2016,2,2435,5,0.8,0.4
Shinkafi,Zamfara,2016,3,2465,5,0.8,0.4
Shinkafi,Zamfara,2016,4,2496,5,0.8,0.4
Talata Mafara,Zamfara,2016,1,2404,5,0.8,0.4
Talata Mafara,Zamfara,2016,2,2435,5,0.8,0.4
Talata Mafara,Zamfara,2016,3,2465,5,0.8,0.4
Talata Mafara,Zamfara,2016,4,2496,5,0.8,0.4
Tsafe,Zamfara,2016,1,2435,5,0.8,0.4
Tsafe,Zamfara,2016,2,2465,5,0.8,0.4
Tsafe,Zamfara,2016,3,2496,5,0.8,0.4
Zurmi,Zamfara,2016,1,2404,5,0.8,0.4
Zurmi,Zamfara,2016,2,2435,5,0.8,0.4
Zurmi,Zamfara,2016,3,2465,5,0.8,0.4
Zurmi,Zamfara,2016,4,2496,5,0.8,0.4
Jere,Borno,2017,1,2745,5,0.6,0
Jere,Borno,2017,2,2791,5,0.6,0
Jere,Borno,2017,3,2843,5,0.6,0
Jere,Borno,2017,4,2859,5,0.6,0
Konduga,Borno,2017,1,2745,5,0.6,0
Konduga,Borno,2017,2,2791,5,0.6,0
Konduga,Borno,2017,3,2843,5,0.6,0
Konduga,Borno,2017,4,2859,5,0.6,0
Mafa,Borno,2017,1,2791,5,0.6,0
Mafa,Borno,2017,2,2843,5,0.6,0
Monguno,Borno,2017,1,2745,5,0.6,0
Monguno,Borno,2017,2,2791,5,0.6,0
Monguno,Borno,2017,3,2843,5,0.6,0
Mmc,Borno,2017,1,2745,5,0.6,0
Mmc,Borno,2017,2,2791,5,0.6,0
Mmc,Borno,2017,3,2843,5,0.6,0
Kazaure,Jigawa,2017,1,2767,5,0.6,0
Kazaure,Jigawa,2017,2,2795,5,0.6,0
Kazaure,Jigawa,2017,3,2827,5,0.6,0
Roni,Jigawa,2017,1,2767,5,0.6,0
Roni,Jigawa,2017,2,2795,5,0.6,0
Roni,Jigawa,2017,3,2827,5,0.6,0
Baure,Katsina,2017,1,2768,5,0.8,0.4
Baure,Katsina,2017,2,2796,5,0.8,0.4
Baure,Katsina,2017,3,2828,5,0.8,0.4
Dutsi,Katsina,2017,1,2768,5,0.8,0.4
Dutsi,Katsina,2017,2,2796,5,0.8,0.4
Dutsi,Katsina,2017,3,2828,5,0.8,0.4
Mai'Adua,Katsina,2017,1,2768,5,0.8,0.4
Mai'Adua,Katsina,2017,2,2796,5,0.8,0.4
Mai'Adua,Katsina,2017,3,2828,5,0.8,0.4
Mashi,Katsina,2017,1,2768,5,0.8,0.4
Mashi,Katsina,2017,2,2796,5,0.8,0.4
Mashi,Katsina,2017,3,2828,5,0.8,0.4
Binji,Sokoto,2017,1,2768,5,0.6,0
Binji,Sokoto,2017,2,2796,5,0.6,0
Binji,Sokoto,2017,3,2828,5,0.6,0
Bodinga,Sokoto,2017,1,2768,5,0.6,0
Bodinga,Sokoto,2017,2,2796,5,0.6,0
Bodinga,Sokoto,2017,3,2828,5,0.6,0
Dange-Shnsi,Sokoto,2017,1,2768,5,0.6,0
Dange-Shnsi,Sokoto,2017,2,2796,5,0.6,0
Dange-Shnsi,Sokoto,2017,3,2828,5,0.6,0
Gada,Sokoto,2017,1,2768,5,0.6,0
Gada,Sokoto,2017,2,2796,5,0.6,0
Gada,Sokoto,2017,3,2828,5,0.6,0
Gawabawa,Sokoto,2017,1,2768,5,0.6,0
Gawabawa,Sokoto,2017,2,2796,5,0.6,0
Gawabawa,Sokoto,2017,3,2828,5,0.6,0
Goronyo,Sokoto,2017,1,2768,5,0.6,0
Goronyo,Sokoto,2017,2,2796,5,0.6,0
Goronyo,Sokoto,2017,3,2828,5,0.6,0
Gudu,Sokoto,2017,1,2768,5,0.6,0
Gudu,Sokoto,2017,2,2796,5,0.6,0
Gudu,Sokoto,2017,3,2828,5,0.6,0
Illela,Sokoto,2017,1,2768,5,0.6,0
Illela,Sokoto,2017,2,2796,5,0.6,0
Illela,Sokoto,2017,3,2828,5,0.6,0
Isa,Sokoto,2017,1,2768,5,0.6,0
Isa,Sokoto,2017,2,2796,5,0.6,0
Isa,Sokoto,2017,3,2828,5,0.6,0
Kebbe,Sokoto,2017,1,2768,5,0.6,0
Kebbe,Sokoto,2017,2,2796,5,0.6,0
Kebbe,Sokoto,2017,3,2828,5,0.6,0
Kware,Sokoto,2017,1,2768,5,0.6,0
Kware,Sokoto,2017,2,2796,5,0.6,0
Kware,Sokoto,2017,3,2828,5,0.6,0
Rabah,Sokoto,2017,1,2768,5,0.6,0
Rabah,Sokoto,2017,2,2796,5,0.6,0
Rabah,Sokoto,2017,3,2828,5,0.6,0
Sabon Birni,Sokoto,2017,1,2768,5,0.6,0
Sabon Birni,Sokoto,2017,2,2796,5,0.6,0
Sabon Birni,Sokoto,2017,3,2828,5,0.6,0
Shagari,Sokoto,2017,1,2768,5,0.6,0
Shagari,Sokoto,2017,2,2796,5,0.6,0
Shagari,Sokoto,2017,3,2828,5,0.6,0
Silame,Sokoto,2017,1,2768,5,0.6,0
Silame,Sokoto,2017,2,2796,5,0.6,0
Silame,Sokoto,2017,3,2828,5,0.6,0
Sokoto North,Sokoto,2017,1,2768,5,0.6,0
Sokoto North,Sokoto,2017,2,2796,5,0.6,0
Sokoto North,Sokoto,2017,3,2828,5,0.6,0
Sokoto South,Sokoto,2017,1,2768,5,0.6,0
Sokoto South,Sokoto,2017,2,2796,5,0.6,0
Sokoto South,Sokoto,2017,3,2828,5,0.6,0
Tambuwal,Sokoto,2017,1,2768,5,0.6,0
Tambuwal,Sokoto,2017,2,2796,5,0.6,0
Tambuwal,Sokoto,2017,3,2828,5,0.6,0
Tangaza,Sokoto,2017,1,2768,5,0.6,0
Tangaza,Sokoto,2017,2,2796,5,0.6,0
Tangaza,Sokoto,2017,3,2828,5,0.6,0
Tureta,Sokoto,2017,1,2768,5,0.6,0
Tureta,Sokoto,2017,2,2796,5,0.6,0
Wamako,Sokoto,2017,1,2768,5,0.6,0
Wamako,Sokoto,2017,2,2796,5,0.6,0
Wurno,Sokoto,2017,1,2768,5,0.6,0
Wurno,Sokoto,2017,2,2796,5,0.6,0
Wurno,Sokoto,2017,3,2828,5,0.6,0
Yabo,Sokoto,2017,1,2768,5,0.6,0
Yabo,Sokoto,2017,2,2796,5,0.6,0
Yabo,Sokoto,2017,3,2828,5,0.6,0
Anka,Zamfara,2017,1,2764,5,0.8,0.4
Anka,Zamfara,2017,2,2797,5,0.8,0.4
Anka,Zamfara,2017,3,2828,5,0.8,0.4
Bakura,Zamfara,2017,1,2764,5,0.8,0.4
Bakura,Zamfara,2017,2,2797,5,0.8,0.4
Bakura,Zamfara,2017,3,2828,5,0.8,0.4
Birnin Magaji,Zamfara,2017,1,2764,5,0.8,0.4
Birnin Magaji,Zamfara,2017,2,2797,5,0.8,0.4
Birnin Magaji,Zamfara,2017,3,2828,5,0.8,0.4
Bukkuyum,Zamfara,2017,1,2764,5,0.8,0.4
Bukkuyum,Zamfara,2017,2,2797,5,0.8,0.4
Bukkuyum,Zamfara,2017,3,2828,5,0.8,0.4
Bungudu,Zamfara,2017,1,2764,5,0.8,0.4
Bungudu,Zamfara,2017,2,2797,5,0.8,0.4
Bungudu,Zamfara,2017,3,2828,5,0.8,0.4
Gummi,Zamfara,2017,1,2764,5,0.8,0.4
Gummi,Zamfara,2017,2,2797,5,0.8,0.4
Gummi,Zamfara,2017,3,2828,5,0.8,0.4
Gusau,Zamfara,2017,1,2764,5,0.8,0.4
Gusau,Zamfara,2017,2,2797,5,0.8,0.4
Gusau,Zamfara,2017,3,2828,5,0.8,0.4
Kaura Namoda,Zamfara,2017,1,2764,5,0.8,0.4
Kaura Namoda,Zamfara,2017,2,2797,5,0.8,0.4
Kaura Namoda,Zamfara,2017,3,2828,5,0.8,0.4
Maradun,Zamfara,2017,1,2764,5,0.8,0.4
Maradun,Zamfara,2017,2,2797,5,0.8,0.4
Maradun,Zamfara,2017,3,2828,5,0.8,0.4
Maru,Zamfara,2017,1,2764,5,0.8,0.4
Maru,Zamfara,2017,2,2797,5,0.8,0.4
Maru,Zamfara,2017,3,2828,5,0.8,0.4
Shinkafi,Zamfara,2017,1,2764,5,0.8,0.4
Shinkafi,Zamfara,2017,2,2797,5,0.8,0.4
Shinkafi,Zamfara,2017,3,2828,5,0.8,0.4
Talata Mafara,Zamfara,2017,1,2764,5,0.8,0.4
Talata Mafara,Zamfara,2017,2,2797,5,0.8,0.4
Talata Mafara,Zamfara,2017,3,2828,5,0.8,0.4
Tsafe,Zamfara,2017,1,2764,5,0.8,0.4
Tsafe,Zamfara,2017,2,2797,5,0.8,0.4
Tsafe,Zamfara,2017,3,2828,5,0.8,0.4
Zurmi,Zamfara,2017,1,2764,5,0.8,0.4
Zurmi,Zamfara,2017,2,2797,5,0.8,0.4
Zurmi,Zamfara,2017,3,2828,5,0.8,0.4
Michika,Adamawa,2018,1,3161,5,0.8,0.4
Michika,Adamawa,2018,2,3189,5,0.8,0.4
Michika,Adamawa,2018,3,3219,5,0.8,0.4
Michika,Adamawa,2018,4,3249,5,0.8,0.4
Mubi North,Adamawa,2018,1,3161,5,0.8,0.4
Mubi North,Adamawa,2018,2,3189,5,0.8,0.4
Mubi North,Adamawa,2018,3,3219,5,0.8,0.4
Mubi North,Adamawa,2018,4,3249,5,0.8,0.4
Mubi South,Adamawa,2018,1,3161,5,0.8,0.4
Mubi South,Adamawa,2018,2,3189,5,0.8,0.4
Mubi South,Adamawa,2018,3,3219,5,0.8,0.4
Mubi South,Adamawa,2018,4,3249,5,0.8,0.4
Bama,Borno,2018,1,3161,5,0.6,0
Bama,Borno,2018,2,3189,5,0.6,0
Bama,Borno,2018,3,3219,5,0.6,0
Bama,Borno,2018,4,3249,5,0.6,0
Damboa,Borno,2018,1,3161,5,0.6,0
Damboa,Borno,2018,2,3189,5,0.6,0
Damboa,Borno,2018,3,3219,5,0.6,0
Damboa,Borno,2018,4,3249,5,0.6,0
Dikwa,Borno,2018,1,3161,5,0.6,0
Dikwa,Borno,2018,2,3189,5,0.6,0
Dikwa,Borno,2018,3,3219,5,0.6,0
Dikwa,Borno,2018,4,3249,5,0.6,0
Guzamala,Borno,2018,1,3161,5,0.6,0
Guzamala,Borno,2018,2,3189,5,0.6,0
Guzamala,Borno,2018,3,3219,5,0.6,0
Guzamala,Borno,2018,4,3249,5,0.6,0
Jere,Borno,2018,1,3161,5,0.6,0
Jere,Borno,2018,2,3189,5,0.6,0
Jere,Borno,2018,3,3219,5,0.6,0
Jere,Borno,2018,4,3249,5,0.6,0
Kukawa,Borno,2018,1,3161,5,0.6,0
Kukawa,Borno,2018,2,3189,5,0.6,0
Kukawa,Borno,2018,3,3219,5,0.6,0
Kukawa,Borno,2018,4,3249,5,0.6,0
Mafa,Borno,2018,1,3161,5,0.6,0
Mafa,Borno,2018,2,3189,5,0.6,0
Mafa,Borno,2018,3,3219,5,0.6,0
Mafa,Borno,2018,4,3249,5,0.6,0
Maiduguri,Borno,2018,1,3161,5,0.6,0
Maiduguri,Borno,2018,2,3189,5,0.6,0
Maiduguri,Borno,2018,3,3219,5,0.6,0
Maiduguri,Borno,2018,4,3249,5,0.6,0
Mobbar,Borno,2018,1,3161,5,0.6,0
Mobbar,Borno,2018,2,3189,5,0.6,0
Mobbar,Borno,2018,3,3219,5,0.6,0
Mobbar,Borno,2018,4,3249,5,0.6,0
Babura,Jigawa,2018,1,3129,5,0.6,0
Babura,Jigawa,2018,2,3160,5,0.6,0
Babura,Jigawa,2018,3,3188,5,0.6,0
Babura,Jigawa,2018,4,3216,5,0.6,0
Garki,Jigawa,2018,1,3129,5,0.6,0
Garki,Jigawa,2018,2,3160,5,0.6,0
Garki,Jigawa,2018,3,3188,5,0.6,0
Garki,Jigawa,2018,4,3216,5,0.6,0
Kazaure,Jigawa,2018,1,3129,5,0.6,0
Kazaure,Jigawa,2018,2,3160,5,0.6,0
Kazaure,Jigawa,2018,3,3188,5,0.6,0
Kazaure,Jigawa,2018,4,3216,5,0.6,0
Roni,Jigawa,2018,1,3129,5,0.6,0
Roni,Jigawa,2018,2,3160,5,0.6,0
Roni,Jigawa,2018,3,3188,5,0.6,0
Roni,Jigawa,2018,4,3216,5,0.6,0
Taura,Jigawa,2018,1,3129,5,0.6,0
Taura,Jigawa,2018,2,3160,5,0.6,0
