06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
06/17 18:08:07 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:13 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:19 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:25 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:30 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:35 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:41 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:46 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:53 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:58 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:04 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:09 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:09:14 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
