"","row.names.itn_dis_2.","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19","year","LGA_nu","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","round","peak","simday"
"76","38.1","Ibesikpo Asutan","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2024,"Ibesikpo Asutan",0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,2,"june",1622
"77","39","Ibiono Ibom","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Ibiono Ibom",0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,1,"june",527
"78","39.1","Ibiono Ibom","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Ibiono Ibom",0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,2,"june",1622
"79","40","Ika","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Ika",0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,1,"june",527
"80","40.1","Ika","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Ika",0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,2,"june",1622
"81","41","Ikono","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Ikono",0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,1,"june",527
"82","41.1","Ikono","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Ikono",0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,2,"june",1622
"83","42","Ikot Abasi","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2021,"Ikot Abasi",0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,1,"june",527
"84","42.1","Ikot Abasi","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2024,"Ikot Abasi",0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,2,"june",1622
"85","43","Ikot Ekpene","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Ikot Ekpene",0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,1,"june",527
"86","43.1","Ikot Ekpene","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Ikot Ekpene",0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,2,"june",1622
"87","44","Ini","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Ini",0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,1,"june",527
"88","44.1","Ini","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Ini",0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,2,"june",1622
"89","45","Mkpat Enin","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Mkpat Enin",0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,1,"june",527
"90","45.1","Mkpat Enin","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Mkpat Enin",0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,2,"june",1622
"91","46","Nsit Atai","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Nsit Atai",0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,1,"june",527
"92","46.1","Nsit Atai","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Nsit Atai",0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,2,"june",1622
"93","47","Nsit Ibom","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Nsit Ibom",0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,1,"june",527
"94","47.1","Nsit Ibom","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Nsit Ibom",0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,2,"june",1622
"95","48","Nsit Ubium","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Nsit Ubium",0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,1,"june",527
"96","48.1","Nsit Ubium","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Nsit Ubium",0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,2,"june",1622
"97","49","Awka South","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Awka South",0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,1,"june",162
"98","49.1","Awka South","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Awka South",0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,2,"june",1257
"99","50","Obot Akara","Ngor-Okpala",1,NA,1,NA,NA,NA,1,NA,2021,"Obot Akara",0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,1,"june",527
"100","50.1","Obot Akara","Ngor-Okpala",1,NA,1,NA,NA,NA,1,NA,2024,"Obot Akara",0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,2,"june",1622
"101","51","Okobo","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Okobo",0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,1,"june",527
"102","51.1","Okobo","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Okobo",0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,2,"june",1622
"103","52","Onna","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Onna",0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,1,"june",527
"104","52.1","Onna","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Onna",0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,2,"june",1622
"105","53","Oruk Anam","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2021,"Oruk Anam",0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,1,"june",527
"106","53.1","Oruk Anam","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2024,"Oruk Anam",0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,2,"june",1622
"107","54","Ukanafun","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Ukanafun",0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,1,"june",527
"108","54.1","Ukanafun","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Ukanafun",0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,2,"june",1622
"109","55","Uruan","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Uruan",0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,1,"june",527
"110","55.1","Uruan","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Uruan",0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,2,"june",1622
"111","56","Urue-Offong/Oruko","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Urue-Offong-Oruko",0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,1,"june",527
"112","56.1","Urue-Offong/Oruko","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Urue-Offong-Oruko",0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,2,"june",1622
"113","57","Ayamelum","Uzo-Uwani",1,NA,1,NA,NA,NA,NA,NA,2020,"Ayamelum",0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,1,"june",162
"114","57.1","Ayamelum","Uzo-Uwani",1,NA,1,NA,NA,NA,NA,NA,2023,"Ayamelum",0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,2,"june",1257
"115","58","Uyo","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2021,"Uyo",0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,1,"june",527
"116","58.1","Uyo","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2024,"Uyo",0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,2,"june",1622
"117","59","Aguata","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2020,"Aguata",0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,1,"june",162
"118","59.1","Aguata","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2023,"Aguata",0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,2,"june",1257
"119","60","Anambra East","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Anambra East",0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,1,"june",162
"120","60.1","Anambra East","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Anambra East",0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,2,"june",1257
"121","61","Anambra West","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Anambra West",0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,1,"june",162
"122","61.1","Anambra West","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Anambra West",0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,2,"june",1257
"123","62","Anaocha","Oru West",1,NA,1,NA,NA,NA,NA,NA,2020,"Anaocha",0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,1,"june",162
"124","62.1","Anaocha","Oru West",1,NA,1,NA,NA,NA,NA,NA,2023,"Anaocha",0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,2,"june",1257
"125","63","Dunukofia","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Dunukofia",0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,1,"june",162
"126","63.1","Dunukofia","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Dunukofia",0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,2,"june",1257
"127","64","Ekwusigo","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2020,"Ekwusigo",0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,1,"june",162
"128","64.1","Ekwusigo","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2023,"Ekwusigo",0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,2,"june",1257
"129","65","Idemili North","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Idemili North",0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,1,"june",162
"130","65.1","Idemili North","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Idemili North",0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,2,"june",1257
"131","66","Idemili South","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2020,"Idemili South",0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,1,"june",162
"132","66.1","Idemili South","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2023,"Idemili South",0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,2,"june",1257
"133","67","Ihiala","Oru West",1,NA,1,NA,NA,NA,NA,NA,2020,"Ihiala",0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,1,"june",162
"134","67.1","Ihiala","Oru West",1,NA,1,NA,NA,NA,NA,NA,2023,"Ihiala",0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,2,"june",1257
"135","68","Njikoka","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Njikoka",0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,1,"june",162
"136","68.1","Njikoka","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Njikoka",0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,2,"june",1257
"137","69","Nnewi North","Oru West",1,NA,1,NA,NA,NA,NA,NA,2020,"Nnewi North",0.252890955,0.225946586,0.152765099,0.217649894,0.308642745,0.38462961,1,"june",162
"138","69.1","Nnewi North","Oru West",1,NA,1,NA,NA,NA,NA,NA,2023,"Nnewi North",0.252890955,0.225946586,0.152765099,0.217649894,0.308642745,0.38462961,2,"june",1257
"139","70","Nnewi South","Oru West",NA,NA,1,NA,NA,NA,NA,NA,2020,"Nnewi South",0.384363006,0.428571429,0.244666354,0.251257319,0.303374646,0.380306319,1,"june",162
