,LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
70,Atakumosa West,Akinyele,,0.154926235,0.154926235,0,-1,2018
71,Atiba,Akinyele,,0.154926235,0.154926235,0,-1,2018
72,Atigbo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
73,Augie,Birnin Kebbi,,0.538461538,0.538461538,0,-1,2018
74,Auyo,Taura,,0.75,0.75,0,-1,2018
75,Awe,Keana,,0.177187213,0.177187213,0,-1,2018
76,Awgu,Oru West,,0.411077428,0.411077428,0,-1,2018
77,Awka North,Uzo-Uwani,,0.666666667,0.666666667,0,-1,2018
78,Awka South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
79,Ayamelum,Uzo-Uwani,,0.76666668,0.76666668,0,-1,2018
80,Babura,Babura,,0.495944351,0.495944351,0,-1,2018
81,Badagry,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
82,Bade,Taura,,0.047619048,0.047619048,0,-1,2018
83,Bagudo,Birnin Kebbi,,0.345276873,0.345276873,0,-1,2018
84,Bagwai,Babura,,0.2,0.2,0,-1,2018
85,Bakassi,Obubra,,0.41009749,0.41009749,0,-1,2018
86,Bakori,Gwarzo,,0.172172547,0.172172547,0,-1,2018
87,Bakura,Darazo,,0.114371076,0.114371076,0,-1,2018
88,Balanga,Alkaleri,,0.214165347,0.214165347,0,-1,2018
89,Bali,Keana,,0.32893977,0.32893977,0,-1,2018
90,Bama,Darazo,,0.114371076,0.114371076,0,-1,2018
91,Barikin Ladi,Soba,,0.02049469,0.02049469,0,-1,2018
92,Baruten,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
93,Bassa1,Keana,,0.2,0.2,0,-1,2018
94,Bassa2,Soba,,0.02049469,0.02049469,0,-1,2018
95,Batagarawa,Rimi,,0.373076926,0.373076926,0,-1,2018
96,Batsari,Rimi,,0.333333333,0.333333333,0,-1,2018
97,Bauchi,Alkaleri,,0.027077492,0.027077492,0,-1,2018
98,Baure,Babura,,0.357142857,0.357142857,0,-1,2018
99,Bayo,Alkaleri,,0.5,0.5,0,-1,2018
100,Bebeji,Gwarzo,,0.172172547,0.172172547,0,-1,2018
101,Bekwara,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
102,Bende,Ngor-Okpala,,0.175925804,0.175925804,0,-1,2018
103,Biase,Ngor-Okpala,,0.588028311,0.588028311,0,-1,2018
104,Bichi,Gwarzo,,0.172172547,0.172172547,0,-1,2018
105,Bida,Oke-Ero,,0.5,0.5,0,-1,2018
106,Billiri,Alkaleri,,0.333333333,0.333333333,0,-1,2018
107,Bindawa,Rimi,,0.1,0.1,0,-1,2018
108,Binji,Gawabawa,,0.25,0.25,0,-1,2018
109,Biriniwa,Taura,,0.166666667,0.166666667,0,-1,2018
110,Birni Kudu,Takali,,0.223983083,0.223983083,0,-1,2018
111,Birnin Kebbi,Birnin Kebbi,,0.572939706,0.572939706,0,-1,2018
112,Birnin Magaji,Rimi,,0.209995572,0.209995572,0,-1,2018
