,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
118,Yola South,Alkaleri,july,216,2020,2,-1,1,0.6,15
119,Yola South,Alkaleri,july,246,2020,3,-1,1,0.6,15
120,Yola South,Alkaleri,july,276,2020,4,-1,1,0.6,15
121,Abak,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
122,Abak,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
123,Abak,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
124,Abak,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
125,Awka North,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
126,Awka North,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
127,Awka North,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
128,Awka North,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
129,Eket,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
130,Eket,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
131,Eket,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
132,Eket,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
133,Esit Eket,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
134,Esit Eket,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
135,Esit Eket,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
136,Esit Eket,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
137,Essien Udim,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
138,Essien Udim,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
139,Essien Udim,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
140,Essien Udim,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
141,Etim Ekpo,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
142,Etim Ekpo,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
143,Etim Ekpo,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
144,Etim Ekpo,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
145,Etinan,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
146,Etinan,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
147,Etinan,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
148,Etinan,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
149,Ibesikpo Asutan,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
150,Ibesikpo Asutan,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
151,Ibesikpo Asutan,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
152,Ibesikpo Asutan,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
153,Ibiono Ibom,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
154,Ibiono Ibom,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
155,Ibiono Ibom,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
156,Ibiono Ibom,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
157,Ika,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
158,Ika,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
159,Ika,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
160,Ika,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
161,Ikono,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
162,Ikono,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
163,Ikono,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
164,Ikono,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
165,Ikot Abasi,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
166,Ikot Abasi,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
167,Ikot Abasi,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
168,Ikot Abasi,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
169,Ikot Ekpene,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
170,Ikot Ekpene,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
171,Ikot Ekpene,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
172,Ikot Ekpene,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
173,Ini,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
174,Ini,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
175,Ini,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
176,Ini,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
177,Mkpat Enin,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
178,Mkpat Enin,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
179,Mkpat Enin,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
180,Mkpat Enin,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
181,Nsit Atai,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
182,Nsit Atai,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
183,Nsit Atai,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
184,Nsit Atai,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
185,Nsit Ibom,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
186,Nsit Ibom,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
187,Nsit Ibom,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
188,Nsit Ibom,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
189,Nsit Ubium,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
190,Nsit Ubium,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
191,Nsit Ubium,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
192,Nsit Ubium,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
193,Awka South,Uzo-Uwani,june,162,2020,1,-1,1,0.6,15
194,Awka South,Uzo-Uwani,june,192,2020,2,-1,1,0.6,15
195,Awka South,Uzo-Uwani,june,222,2020,3,-1,1,0.6,15
196,Awka South,Uzo-Uwani,june,252,2020,4,-1,1,0.6,15
197,Obot Akara,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
198,Obot Akara,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
199,Obot Akara,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
200,Obot Akara,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
201,Okobo,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
202,Okobo,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
203,Okobo,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
204,Okobo,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
205,Onna,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
206,Onna,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
207,Onna,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
208,Onna,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
209,Oruk Anam,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
210,Oruk Anam,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
211,Oruk Anam,Nsit Ubium,june,222,2020,3,-1,1,0.6,15
212,Oruk Anam,Nsit Ubium,june,252,2020,4,-1,1,0.6,15
213,Ukanafun,Nsit Ubium,june,162,2020,1,-1,1,0.6,15
214,Ukanafun,Nsit Ubium,june,192,2020,2,-1,1,0.6,15
