LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Dala,Alkaleri,0.667566692,0.667566692,71,365,2020,1,0.397532037
Dala,Alkaleri,0.697598729,0.697598729,436,295,2021,2,0.427564074
Damaturu,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Damaturu,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Damban,Darazo,0.267249278,0.267249278,71,365,2020,1,0.384749278
Damban,Darazo,0.284498556,0.284498556,436,295,2021,2,0.401998556
Dambatta,Babura,0.299213603,0.299213603,71,365,2020,1,0.416713604
Dambatta,Babura,0.348427206,0.348427206,436,295,2021,2,0.465927206
Damboa,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Damboa,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Dan Musa,Rimi,0.174951221,0.174951221,71,365,2020,1,0.384954542
Dan Musa,Rimi,0.192405764,0.192405764,436,295,2021,2,0.402409085
Dandi,Birnin Kebbi,0.309552182,0.309552182,71,365,2020,1,0.415223109
Dandi,Birnin Kebbi,0.357275291,0.357275291,436,295,2021,2,0.462946218
Dandume,Giwa,0.125598633,0.125598633,71,365,2020,1,0.395217384
Dandume,Giwa,0.153316016,0.153316016,436,295,2021,2,0.422934767
Dange-Shnsi,Gawabawa,0.10295843,0.10295843,71,365,2020,1,0.37670843
Dange-Shnsi,Gawabawa,0.112166859,0.112166859,436,295,2021,2,0.385916859
Danja,Giwa,0.125598633,0.125598633,71,365,2020,1,0.395217384
Danja,Giwa,0.153316016,0.153316016,436,295,2021,2,0.422934767
Darazo,Darazo,0.138113737,0.138113737,71,365,2020,1,0.384749278
Darazo,Darazo,0.155363015,0.155363015,436,295,2021,2,0.401998556
Dass,Alkaleri,0.205627702,0.205627702,71,365,2020,1,0.397532037
Dass,Alkaleri,0.235659739,0.235659739,436,295,2021,2,0.427564074
Daura,Babura,0.200886434,0.200886434,71,365,2020,1,0.416713604
Daura,Babura,0.250100037,0.250100037,436,295,2021,2,0.465927206
Dawakin Kudu,Gwarzo,0.231592509,0.231592509,71,365,2020,1,0.394547054
Dawakin Kudu,Gwarzo,0.258639563,0.258639563,436,295,2021,2,0.421594108
Dawakin Tofa,Taura,0.159197511,0.159197511,71,365,2020,1,0.390333875
Dawakin Tofa,Taura,0.182031386,0.182031386,436,295,2021,2,0.413167749
Degema,Ahoada West,0.201385565,0.201385565,71,365,2020,1,0.381385565
Degema,Ahoada West,0.215271129,0.215271129,436,295,2021,2,0.395271129
Dekina,Owan East,0.174540106,0.174540106,71,365,2020,1,0.399316784
Dekina,Owan East,0.206356889,0.206356889,436,295,2021,2,0.431133567
Demsa,Alkaleri,0.556522174,0.556522174,71,365,2020,1,0.397532037
Demsa,Alkaleri,0.586554211,0.586554211,436,295,2021,2,0.427564074
Dikwa,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Dikwa,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Doguwa,Giwa,0.125543471,0.125543471,71,365,2020,1,0.395217384
Doguwa,Giwa,0.153260855,0.153260855,436,295,2021,2,0.422934767
Doma,Keana,0.150311957,0.150311957,71,365,2020,1,0.384921548
Doma,Keana,0.167733505,0.167733505,436,295,2021,2,0.402343095
Donga,Keana,0.231111253,0.231111253,71,365,2020,1,0.384921548
Donga,Keana,0.2485328,0.2485328,436,295,2021,2,0.402343095
Dukku,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Dukku,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Dunukofia,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Dunukofia,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Dutse,Takali,0.139968424,0.139968424,71,365,2020,1,0.396102395
Dutse,Takali,0.168570818,0.168570818,436,295,2021,2,0.424704789
Dutsi,Rimi,0.190531466,0.190531466,71,365,2020,1,0.384954542
Dutsi,Rimi,0.207986009,0.207986009,436,295,2021,2,0.402409085
Dutsin-Ma,Rimi,0.174951221,0.174951221,71,365,2020,1,0.384954542
Dutsin-Ma,Rimi,0.192405764,0.192405764,436,295,2021,2,0.402409085
Eastern Obolo,Nsit Ubium,0.484299807,0.484299807,71,365,2020,1,0.401799807
Eastern Obolo,Nsit Ubium,0.518599614,0.518599614,436,295,2021,2,0.436099614
Ebonyi,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Ebonyi,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Edati,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Edati,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Ede North,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Ede North,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Ede South,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Ede South,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Edu,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Edu,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Efon-Alayee,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Efon-Alayee,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Egbado North,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Egbado North,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
