,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
31,Awka South,Uzo-Uwani,2020,Awka South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.431794981,0.74281757,0.65
32,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.436497382,0.743147601,0.65
33,Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.454034567,0.744268911,0.65
34,Anambra East,Uzo-Uwani,2020,Anambra East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.375672105,0.737607983,0.65
35,Anambra West,Uzo-Uwani,2020,Anambra West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.39176502,0.739382126,0.65
36,Anaocha,Oru West,2020,Anaocha,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.420247823,0.741948071,0.65
37,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.421451191,0.742042811,0.65
38,Ekwusigo,Oru West,2020,Ekwusigo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.255572543,0.70945305,0.65
39,Idemili North,Uzo-Uwani,2020,Idemili North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.422797782,0.742147653,0.65
40,Idemili South,Oru West,2020,Idemili South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.377378695,0.737809061,0.65
41,Ihiala,Oru West,2020,Ihiala,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.199598953,0.675748907,0.65
42,Njikoka,Uzo-Uwani,2020,Njikoka,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.436915256,0.743176293,0.65
43,Nnewi North,Oru West,2020,Nnewi North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.308642745,0.726310499,0.65
44,Nnewi South,Oru West,2020,Nnewi South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.303374646,0.725045144,0.65
45,Ogbaru,Ahoada West,2020,Ogbaru,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.230996863,0.697383872,0.65
46,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.382531956,0.738396974,0.65
47,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.368656397,0.736746223,0.65
48,Orumba North,Oru West,2020,Orumba North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.403508225,0.74052015,0.65
49,Orumba South,Oru West,2020,Orumba South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.438379079,0.743276001,0.65
50,Oyi,Uzo-Uwani,2020,Oyi,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.387377598,0.738924512,0.65
51,Ukum,Keana,2020,Ukum,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.383970395,0.446657171,0.53
52,Kolokuma/Opokuma,Ahoada West,2020,Kolokuma-Opokuma,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.224180225,0.693359192,0.65
53,Nembe,Ahoada West,2020,Nembe,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.273335383,0.716248429,0.65
54,Ogbia,Ahoada West,2020,Ogbia,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.381331283,0.738262526,0.65
55,Sagbama,Ahoada West,2020,Sagbama,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.219154854,0.690172734,0.65
56,Yenegoa,Isoko South,2020,Yenegoa,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.260617689,0.711526996,0.65
57,Ado,Akinyele,2020,Ado,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.357778894,0.425122422,0.53
58,Agatu,Keana,2020,Agatu,0.8,0.833333333,0.8,0.8,1,august,223,Standard 2020,0.440507142,0.492360644,0.53
59,Apa,Keana,2020,Apa,0.842105263,0.8,0.8,0.8,1,august,223,Standard 2020,0.437711079,0.490137805,0.53
60,Buruku,Keana,2020,Buruku,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.37690999,0.440865552,0.53
61,Gboko,Keana,2020,Gboko,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.325574075,0.398561371,0.53
62,Guma,Keana,2020,Guma,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.365014826,0.431083741,0.53
63,Gwer East,Oke-Ero,2020,Gwer East,0.888888889,0.916666667,0.8,0.8,1,july,186,Standard 2020,0.369333536,0.43463817,0.53
64,Gwer West,Keana,2020,Gwer West,0.8,0.8,0.866666667,0.8,1,august,223,Standard 2020,0.423749809,0.478971197,0.53
65,Katsina-Ala,Keana,2020,Katsina-Ala,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.338062239,0.408859386,0.53
66,Konshisha,Oke-Ero,2020,Konshisha,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.393916167,0.45479219,0.53
67,Logo,Keana,2020,Logo,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.41751013,0.473946946,0.53
68,Makurdi,Keana,2020,Makurdi,0.805491132,0.8,0.8,0.8,1,august,223,Standard 2020,0.369068798,0.434420372,0.53
69,Obi1,Keana,2020,Obi1,0.8,0.8,0.8,0.8,1,august,223,Standard 2020,0.390472194,0.451978665,0.53
70,Ogbadibo,Owan East,2020,Ogbadibo,0.8,0.8,0.8,0.8,1,march,131,Standard 2020,0.336392711,0.407482111,0.53
71,Ohimini,Akinyele,2020,Ohimini,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.349595567,0.418374369,0.53
72,Oju,Oke-Ero,2020,Oju,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.409720848,0.467648858,0.53
