,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
220,Owerri West,Ngor-Okpala,2020,Owerri West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.204213478,0.679467215,0.65
221,Unuimo,Ngor-Okpala,2020,Unuimo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.474438578,0.745384628,0.65
222,Auyo,Taura,2021,Auyo,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.676553245,0.750685407,0.857079262
223,Babura,Babura,2021,Babura,0.874582296,0.842755015,0.8,0.861709269,1,may,496,PBO(2021),0.754462934,0.751464979,0.903511062
224,Biriniwa,Taura,2021,Biriniwa,0.8,0.8,0.947368421,0.8,1,july,551,PBO(2021),0.694642094,0.750898789,0.869616984
225,Malam Madori,Taura,2021,Malam Madori,0.857142857,0.818181818,0.875,0.931034483,1,july,551,PBO(2021),0.663624026,0.750518096,0.847355412
226,Birni Kudu,Takali,2021,Birni Kudu,0.879221521,0.8,0.840102739,0.8898771,1,september,615,PBO(2021),0.79905925,0.75178119,0.922695814
227,Buji,Takali,2021,Buji,0.8,0.8,0.8,0.86602248,1,september,615,PBO(2021),0.759566013,0.751505098,0.905939135
228,Jahun,Taura,2021,Jahun,0.906724843,0.88129703,0.8,0.931820208,1,july,551,PBO(2021),0.743526887,0.751375143,0.898083766
229,Dutse,Takali,2021,Dutse,0.8,0.8758553,0.8,0.8,1,september,615,PBO(2021),0.790579855,0.751726658,0.919382366
230,Gagarawa,Taura,2021,Gagarawa,0.923076923,0.972222222,0.871794872,0.942028986,1,july,551,PBO(2021),0.716266925,0.751125931,0.883116947
231,Kafin Hausa,Taura,2021,Kafin Hausa,0.950194866,0.840231475,0.908210855,0.972138948,1,july,551,PBO(2021),0.673182764,0.750643042,0.854607934
232,Garki,Babura,2021,Garki,0.944444444,0.878787879,0.952380952,0.932432432,1,may,496,PBO(2021),0.74078424,0.751351753,0.896673119
233,Gumel,Babura,2021,Gumel,0.813953488,0.814814815,0.9,0.983050847,1,may,496,PBO(2021),0.765232277,0.751548364,0.908560313
234,Guri,Taura,2021,Guri,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.666612333,0.750557938,0.849662142
235,Gwaram,Takali,2021,Gwaram,0.836572687,0.813620788,0.8,0.915806931,1,september,615,PBO(2021),0.770852463,0.751589995,0.911084643
236,Gwiwa,Babura,2021,Gwiwa,0.942307692,0.903225806,0.838709677,0.951612903,1,may,496,PBO(2021),0.668371704,0.750581059,0.85100333
237,Hadejia,Taura,2021,Hadejia,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.636447966,0.750120016,0.82462414
238,Kaugama,Taura,2021,Kaugama,0.87755102,0.888888889,0.921052632,0.8,1,july,551,PBO(2021),0.649987707,0.750326737,0.836355656
239,Kazaure,Babura,2021,Kazaure,0.867924528,0.8,0.8,0.949367089,1,may,496,PBO(2021),0.72677407,0.751226535,0.889141293
240,Kiri Kasamma,Taura,2021,Kiri Kasamma,0.95426831,0.931417983,0.902249808,0.953359679,1,july,551,PBO(2021),0.673959786,0.750652885,0.855181572
242,Miga,Taura,2021,Miga,0.8,0.916666667,0.962962963,0.97826087,1,july,551,PBO(2021),0.71898178,0.751152503,0.884705609
243,Ringim,Taura,2021,Ringim,0.828571429,0.95,0.846153846,0.970149254,1,july,551,PBO(2021),0.733954558,0.751291935,0.89307077
244,Roni,Babura,2021,Roni,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.684763375,0.750785097,0.862918381
245,Taura,Taura,2021,Taura,0.822222222,0.8,0.8,0.841269841,1,july,551,PBO(2021),0.802187286,0.751800708,0.923881864
246,Yankwashi,Babura,2021,Yankwashi,0.906122861,0.8,0.818889593,0.939150636,1,may,496,PBO(2021),0.686545172,0.750806097,0.864152546
247,Kiyawa,Takali,2020,Kiyawa,0.836363636,0.8,0.8,0.823529412,1,september,250,PBO(2021),0.77870611,0.751646116,0.914490448
248,Dutsi,Rimi,2021,Dutsi,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.62280068,0.749892964,0.811924626
256,Ogori/Mangongo,Owan East,2020,Ogori-Mangongo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.310733482,0.726793178,0.65
295,Yagba West,Oke-Ero,2020,Yagba West,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.304086126,0.72522026,0.65
300,Ekiti,Oke-Ero,2020,Ekiti,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.316166435,0.9,0.61
305,Bindawa,Rimi,2021,Bindawa,0.8,0.916666667,0.807692308,0.805970149,1,march,496,PBO(2021),0.7272811,0.75123124,0.889423658
315,Daura,Babura,2021,Daura,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.575080323,0.748918986,0.75969419
316,Bakori,Gwarzo,2021,Bakori,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.670473637,0.750608361,0.852589426
317,Batagarawa,Rimi,2021,Batagarawa,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.663607785,0.750517877,0.847342775
318,Batsari,Rimi,2021,Batsari,0.847826087,0.8,0.8,0.8,1,march,496,PBO(2021),0.697059776,0.750925622,0.871203872
319,Charanchi,Rimi,2021,Charanchi,0.861111111,0.818181818,0.8,0.803030303,1,march,496,PBO(2021),0.738728442,0.751333985,0.895602343
320,Dan Musa,Rimi,2021,Dan Musa,0.954545455,0.818181818,0.826923077,0.873239437,1,march,496,PBO(2021),0.814381216,0.751873872,0.928326675
321,Dandume,Giwa,2021,Dandume,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.480345251,0.745674804,0.65
322,Danja,Giwa,2021,Danja,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.615786128,0.749768295,0.805035477
323,Dutsin-Ma,Rimi,2021,Dutsin-Ma,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.731600297,0.751270782,0.891798731
324,Faskari,Giwa,2021,Faskari,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.713932669,0.751102753,0.881732715
325,Funtua,Gwarzo,2021,Funtua,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.500280747,0.746560342,0.647463373
326,Asa,Oke-Ero,2020,Asa,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.293917451,0.9,0.61
327,Ingawa,Rimi,2021,Ingawa,0.931034483,0.833333333,0.8,0.818181818,1,march,496,PBO(2021),0.687125681,0.750812891,0.864552136
328,Kafur,Gwarzo,2021,Kafur,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.742026184,0.751362388,0.897314414
329,Kankara,Rimi,2021,Kankara,0.918032787,0.857142857,0.844444444,0.911392405,1,march,496,PBO(2021),0.803891608,0.751811211,0.924520058
330,Kankia,Rimi,2021,Kankia,0.85,0.821428571,0.833333333,0.835820896,1,march,496,PBO(2021),0.757287742,0.751487324,0.904863131
331,Katsina,Rimi,2021,Katsina,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.71205914,0.751083925,0.880609312
332,Kurfi,Rimi,2021,Kurfi,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.682045441,0.750752634,0.861013305
333,Kusada,Rimi,2021,Kusada,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.768769267,0.75157471,0.910157594
334,Malumfashi,Gwarzo,2021,Malumfashi,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.793678153,0.751746863,0.920609989
335,Mani,Rimi,2021,Mani,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.663582347,0.750517535,0.847322981
336,Matazuu,Rimi,2021,Matazuu,0.961538462,0.923076923,0.941176471,0.984615385,1,march,496,PBO(2021),0.801649222,0.751797373,0.923679212
337,Musawa,Gwarzo,2021,Musawa,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.831548285,0.751969493,0.93412969
338,Rimi,Rimi,2021,Rimi,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.681368316,0.750744464,0.860534422
339,Sabuwa,Giwa,2021,Sabuwa,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.595830662,0.749380719,0.784000715
340,Safana,Babura,2021,Safana,0.952380952,0.852941176,0.882352941,0.942028986,1,may,496,PBO(2021),0.597825124,0.749421794,0.786202556
341,Sandamu,Rimi,2021,Sandamu,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.756649451,0.751482305,0.904559365
342,Iseyin,Akinyele,2020,Iseyin,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.381804807,0.738315731,0.65
343,Adavi,Owan East,2020,Adavi,0.830655145,0.8,0.8,0.8,1,march,131,PBO(2021),0.308698703,0.726323559,0.65
344,Ajaokuta,Owan East,2020,Ajaokuta,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.321205627,0.729055954,0.65
345,Ankpa,Owan East,2020,Ankpa,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.382494781,0.738392834,0.65
346,Bassa1,Keana,2020,Bassa1,0.9,0.8,0.8,0.846153846,1,august,223,PBO(2021),0.406315085,0.74077469,0.65
347,Dekina,Owan East,2020,Dekina,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.371777405,0.737136714,0.65
348,Edu,Oke-Ero,2020,Edu,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.339359862,0.9,0.61
349,Ibaji,Uzo-Uwani,2020,Ibaji,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.335530068,0.731776216,0.65
350,Idah,Uzo-Uwani,2020,Idah,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.382023573,0.738340231,0.65
351,Igalamela-Odolu,Uzo-Uwani,2020,Igalamela-Odolu,0.845747123,0.8,0.8,0.8,1,june,162,PBO(2021),0.344682632,0.733316763,0.65
352,Ijumu,Oke-Ero,2020,Ijumu,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.312708323,0.727239315,0.65
353,Kabba/Bunu,Oke-Ero,2020,Kabba-Bunu,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.319779497,0.728762304,0.65
354,Kogi,Keana,2020,Kogi,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.368216183,0.736690199,0.65
355,Lokoja,Keana,2020,Lokoja,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.314676325,0.727674684,0.65
356,Mopa-Muro,Oke-Ero,2020,Mopa-Muro,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.291856976,0.722013254,0.65
357,Ofu,Owan East,2020,Ofu,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.33495597,0.731674733,0.65
358,Okehi,Owan East,2020,Okehi,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.293031638,0.722340278,0.65
359,Okene,Owan East,2020,Okene,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.275677686,0.717045537,0.65
360,Olamabolo,Owan East,2020,Olamabolo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.317039805,0.728185686,0.65
361,Omala,Keana,2020,Omala,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.455368605,0.74434768,0.65
362,Yagba East,Oke-Ero,2020,Yagba East,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.291276571,0.721850099,0.65
363,Ifelodun1,Oke-Ero,2020,Ifelodun1,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.357982328,0.9,0.61
364,Ilorin East,Oke-Ero,2020,Ilorin East,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.350824888,0.9,0.61
365,Ilorin South,Oke-Ero,2020,Ilorin South,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.316790933,0.9,0.61
366,Ilorin West,Owan East,2020,Ilorin West,0.8,0.8,0.8,0.8,1,march,131,NewGen(2021),0.300629985,0.9,0.61
367,Irepodun1,Owan East,2020,Irepodun1,0.8,0.8,0.8,0.8,1,march,131,NewGen(2021),0.354587436,0.9,0.61
368,Itesiwaju,Akinyele,2020,Itesiwaju,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.428195908,0.742555826,0.65
369,Isin,Oke-Ero,2020,Isin,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.349688854,0.9,0.61
370,Kaiama,Oke-Ero,2020,Kaiama,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.409404988,0.9,0.61
371,Moro,Oke-Ero,2020,Moro,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.336971467,0.9,0.61
372,Offa,Akinyele,2020,Offa,0.8,0.8,0.8,0.8,1,may,131,NewGen(2021),0.350724749,0.9,0.61
373,Oke-Ero,Oke-Ero,2020,Oke-Ero,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.328086235,0.9,0.61
374,Kajola,Akinyele,2020,Kajola,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.406200649,0.740764438,0.65
375,Oyun,Oke-Ero,2020,Oyun,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.379244204,0.9,0.61
376,Pategi,Oke-Ero,2020,Pategi,0.8,0.8,0.8,0.8,1,july,186,NewGen(2021),0.318277299,0.9,0.61
377,Agege,Uzo-Uwani,2020,Agege,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.445938468,0.743771706,0.65
378,Ajeromi-Ifelodun,Uzo-Uwani,2020,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.442448497,0.743546776,0.65
379,Alimosho,Uzo-Uwani,2020,Alimosho,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.431973509,0.742830344,0.65
380,Apapa,Isoko South,2020,Apapa,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.464571223,0.74486815,0.65
381,Epe,Uzo-Uwani,2020,Epe,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.40174632,0.740357052,0.65
382,Ifako-Ijaye,Uzo-Uwani,2020,Ifako-Ijaye,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.390672088,0.739269859,0.65
383,Ikeja,Uzo-Uwani,2020,Ikeja,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.481253048,0.745718207,0.65
384,Mushin,Isoko South,2020,Mushin,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.475938767,0.745459626,0.65
385,Ojo,Isoko South,2020,Ojo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.435361631,0.7430691,0.65
386,Oshodi-Isolo,Uzo-Uwani,2020,Oshodi-Isolo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.465655625,0.744926945,0.65
387,Surulere1,Oke-Ero,2020,Surulere1,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.464358896,0.744856578,0.65
404,Lagelu,Akinyele,2020,Lagelu,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.345490307,0.733446008,0.65
407,Abeokuta South,Uzo-Uwani,2021,Abeokuta South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.443245868,0.74359875,0.65
408,Ijebu North,Owan East,2021,Ijebu North,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.308615406,0.726304115,0.65
411,Ado-Odo/Ota,Uzo-Uwani,2021,Ado-Odo-Ota,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.405185074,0.740672987,0.65
412,Ijebu North East,Oke-Ero,2021,Ijebu North East,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.396632199,0.739868623,0.65
417,Abeokuta North,Owan East,2021,Abeokuta North,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.429058332,0.742619287,0.65
418,Egbado South,Uzo-Uwani,2021,Egbado South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.38366582,0.738522561,0.65
419,Ewekoro,Uzo-Uwani,2021,Ewekoro,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.487001134,0.745985924,0.65
420,Ifo,Uzo-Uwani,2021,Ifo,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.430900956,0.742753307,0.65
421,Ijebu East,Oke-Ero,2021,Ijebu East,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.42630383,0.742414929,0.65
422,Ijebu ode,Owan East,2021,Ijebu ode,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.370794776,0.737015026,0.65
423,Ikenne,Owan East,2021,Ikenne,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.382682373,0.738413711,0.65
424,Obafemi-Owode,Owan East,2021,Obafemi-Owode,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.396257357,0.739831921,0.65
425,Odeda,Oke-Ero,2021,Odeda,0.823529412,0.8,0.8,0.8,1,july,551,PBO(2021),0.380143878,0.738128067,0.65
426,Odogbolu,Owan East,2021,Odogbolu,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.402893026,0.740463496,0.65
427,Ogun waterside,Owan East,2021,Ogun waterside,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.440646451,0.743428018,0.65
428,Remo North,Owan East,2021,Remo North,0.8,0.8,0.8,0.8,1,march,496,PBO(2021),0.322328246,0.729284044,0.65
429,Shagamu,Uzo-Uwani,2021,Shagamu,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.440001033,0.743385043,0.65
430,Akoko North East,Oke-Ero,2020,Akoko North East,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.346553372,0.733614536,0.65
431,Akoko North West,Oke-Ero,2020,Akoko North West,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.316763911,0.728126692,0.65
432,Akoko South East,Oke-Ero,2020,Akoko South East,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.347034531,0.733690227,0.65
433,Akoko South West,Oke-Ero,2020,Akoko South West,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.330802879,0.73092257,0.65
434,Akure North,Owan East,2020,Akure North,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.337034585,0.732039367,0.65
435,Ifedayo,Oke-Ero,2020,Ifedayo,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.271238016,0.715516421,0.65
436,Akure South,Owan East,2020,Akure South,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.299585483,0.724089439,0.65
437,Ese-Odo,Owan East,2020,Ese-Odo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.298999586,0.72393812,0.65
438,Idanre,Akinyele,2020,Idanre,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.311424686,0.726950397,0.65
439,Ifedore,Oke-Ero,2020,Ifedore,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.373640917,0.737364382,0.65
440,Ile-Oluji-Okeigbo,Akinyele,2020,Ile-Oluji-Okeigbo,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.384384096,0.738601432,0.65
441,Irele,Akinyele,2020,Irele,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.393822894,0.739590471,0.65
442,Odigbo,Akinyele,2020,Odigbo,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.423307719,0.742187036,0.65
443,Ifelodun2,Akinyele,2020,Ifelodun2,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.400279219,0.740219247,0.65
444,Okitipupa,Owan East,2020,Okitipupa,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.400233097,0.740214885,0.65
445,Ondo East,Akinyele,2020,Ondo East,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.359070133,0.735470693,0.65
446,Ondo West,Akinyele,2020,Ondo West,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.391888362,0.739394724,0.65
447,Ose,Owan East,2020,Ose,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.341879574,0.732859996,0.65
448,Owo,Owan East,2020,Owo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.289251141,0.721272468,0.65
449,Aiyedade,Akinyele,2020,Aiyedade,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.401428384,0.740327343,0.65
450,Aiyedire,Akinyele,2020,Aiyedire,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.440828641,0.743440107,0.65
451,Atakumosa East,Oke-Ero,2020,Atakumosa East,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.438640296,0.743293664,0.65
452,Orolu,Oke-Ero,2020,Orolu,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.499090523,0.746511232,0.65
453,Atakumosa West,Akinyele,2020,Atakumosa West,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.441512439,0.743485314,0.65
454,Boluwaduro,Akinyele,2020,Boluwaduro,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.300398529,0.724297832,0.65
455,Boripe,Akinyele,2020,Boripe,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.354570478,0.73482966,0.65
456,Ede North,Akinyele,2020,Ede North,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.389785625,0.739177967,0.65
457,Ede South,Akinyele,2020,Ede South,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.412666127,0.741327563,0.65
458,Egbedore,Akinyele,2020,Egbedore,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.43475278,0.743026704,0.65
459,Ejigbo,Akinyele,2020,Ejigbo,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.431935286,0.742827611,0.65
460,Ife Central,Akinyele,2020,Ife Central,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.443838578,0.743637159,0.65
461,Ife East,Akinyele,2020,Ife East,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.454795344,0.744313938,0.65
462,Ife North,Akinyele,2020,Ife North,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.417284269,0.741710446,0.65
463,Ife South,Akinyele,2020,Ife South,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.40603638,0.740749702,0.65
464,Ila,Oke-Ero,2020,Ila,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.32967771,0.730713208,0.65
465,Ilesha East,Owan East,2020,Ilesha East,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.40077994,0.740266485,0.65
466,Ilesha West,Akinyele,2020,Ilesha West,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.387460247,0.738933305,0.65
467,Irepodun2,Akinyele,2020,Irepodun2,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.48248331,0.745776531,0.65
468,Irewole,Akinyele,2020,Irewole,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.390385171,0.739240199,0.65
469,Isokan,Akinyele,2020,Isokan,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.367314771,0.736574739,0.65
470,Iwo,Akinyele,2020,Iwo,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.456747451,0.744428187,0.65
471,Osogbo,Owan East,2020,Osogbo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.402576327,0.740434208,0.65
472,Obokun,Akinyele,2020,Obokun,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.323000927,0.72941944,0.65
473,Odo-Otin,Oke-Ero,2020,Odo-Otin,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.424052511,0.742244242,0.65
474,Ola-oluwa,Akinyele,2020,Ola-oluwa,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.43559805,0.743085504,0.65
475,Olorunda,Akinyele,2020,Olorunda,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.431272633,0.742780083,0.65
476,Oriade,Oke-Ero,2020,Oriade,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.408517869,0.740970008,0.65
477,Ibadan South East,Akinyele,2020,Ibadan South East,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.271498263,0.715608205,0.65
478,Afijio,Akinyele,2020,Afijio,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.464150913,0.744845222,0.65
479,Akinyele,Akinyele,2020,Akinyele,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.353306712,0.734644463,0.65
480,Atiba,Akinyele,2020,Atiba,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.383570526,0.738512057,0.65
481,Egbeda,Akinyele,2020,Egbeda,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.298595531,0.7238332,0.65
482,Ibadan North,Owan East,2020,Ibadan North,0.8,0.8,0.8,0.8,1,march,131,Dual Al+PBO 2020,0.309361845,0.726477733,0.65
483,Ibadan North East,Owan East,2020,Ibadan North East,0.8,0.8,0.8,0.8,1,march,131,Dual Al+PBO 2020,0.294659555,0.722786553,0.65
484,Ibadan North West,Owan East,2020,Ibadan North West,0.8,0.8,0.8,0.8,1,march,131,Dual Al+PBO 2020,0.316280901,0.728022995,0.65
485,Ibarapa Central,Akinyele,2020,Ibarapa Central,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.381160727,0.738243305,0.65
486,Ibarapa East,Oke-Ero,2020,Ibarapa East,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.343403438,0.73310991,0.65
487,Ibarapa North,Oke-Ero,2020,Ibarapa North,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.369500036,0.73685293,0.65
488,Ido,Akinyele,2020,Ido,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.349706785,0.734104055,0.65
489,Irepo,Oke-Ero,2020,Irepo,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.40196685,0.740377609,0.65
490,Ogo Oluwa,Oke-Ero,2020,Ogo Oluwa,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.439422178,0.743346299,0.65
491,Olorunsogo,Oke-Ero,2020,Olorunsogo,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.414397427,0.741472937,0.65
492,Oluyole,Oke-Ero,2020,Oluyole,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.288412035,0.721029342,0.65
493,Ona-Ara,Akinyele,2020,Ona-Ara,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.28722207,0.720680649,0.65
494,Orelope,Oke-Ero,2020,Orelope,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.392367103,0.739443491,0.65
495,Ori Ire,Oke-Ero,2020,Ori Ire,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.343662506,0.733152018,0.65
496,Oyo West,Akinyele,2020,Oyo West,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.423437594,0.742197038,0.65
497,Saki East,Oke-Ero,2020,Saki East,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.45017239,0.744035901,0.65
498,Saki West,Akinyele,2020,Saki West,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.443453887,0.743612252,0.65
499,Surulere2,Oke-Ero,2020,Surulere2,0.8,0.8,0.8,0.8,1,july,186,Dual Al+PBO 2020,0.412184156,0.741286694,0.65
500,Abua/Odual,Ahoada West,2020,Abua-Odual,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.255950957,0.709612874,0.65
501,Ahoada East,Ahoada West,2020,Ahoada East,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.212067193,0.685335866,0.65
