,State,time2,PfPr_microscopy,ci_l_micro,ci_u_micro,num_state,PfPr_RDT,ci_l_RDT,ci_u_RDT,num_state_RDT,month
32,Kaduna,10-Oct,0,0,0,1,0,0,0,1,10
33,Kaduna,10-Nov,0.268912583,0.100817865,0.4370073,120,0.219719971,0.022859266,0.416580676,122,11
34,Kaduna,10-Dec,0.28813681,0.274551173,0.301722448,84,0.585839239,0.20459229,0.967086188,84,12
35,Kano,10-Oct,0.520553767,0.385312775,0.655794759,87,0.484500442,0.340008437,0.628992446,87,10
36,Kano,10-Nov,0.38949533,0.225498846,0.553491814,231,0.387824203,0.241436109,0.534212298,230,11
37,Kano,10-Dec,0.103448276,0.103448276,0.103448276,52,0,0,0,52,12
38,Katsina,10-Oct,0.563326218,0.37598218,0.750670255,473,0.685829544,0.576765421,0.794893666,473,10
39,Kebbi,10-Nov,0.779748704,0.75905252,0.800444888,114,0.719577416,0.657488864,0.781665969,114,11
40,Kebbi,10-Dec,0.56,0.56,0.56,39,0.72,0.72,0.72,39,12
41,Kogi,10-Nov,0.407682643,0.24047845,0.574886835,89,0.413728565,0.294822908,0.532634222,89,11
42,Kogi,10-Dec,0.5,0.5,0.5,3,0.5,0.5,0.5,3,12
43,Kwara,10-Oct,0.438103971,-0.009214473,0.885422415,111,0.506900234,0.364208371,0.649592096,108,10
44,Kwara,10-Nov,0.733333333,0.733333333,0.733333333,16,0.866666667,0.866666667,0.866666667,16,11
45,Lagos,10-Oct,0,0,0,4,0.17579951,-0.059666593,0.411265612,4,10
46,Lagos,10-Nov,0.127748389,0.015945902,0.239550875,76,0.289614386,0.037607023,0.541621749,75,11
47,Lagos,10-Dec,0,0,0,4,0,0,0,4,12
48,Nasarawa,10-Nov,0.345186615,0.23946896,0.45090427,113,0.45143216,0.185805584,0.717058736,113,11
49,Niger,10-Nov,0.377321606,0.009925394,0.744717818,56,0.250784705,-0.025590073,0.527159483,57,11
50,Niger,10-Dec,0.772659864,0.509389357,1.035930371,134,0.546708064,0.346122796,0.747293332,135,12
51,Ogun,10-Oct,0.686197228,0.499851224,0.872543232,117,0.780893142,0.571331343,0.990454941,117,10
52,Ondo,10-Oct,0.647402532,0.58392309,0.710881974,54,0.77832982,0.767995958,0.788663683,54,10
53,Ondo,10-Nov,0.538071044,0.212040631,0.864101458,46,0.518650509,0.279676677,0.75762434,46,11
54,Osun,10-Nov,0.625531255,0.603237497,0.647825014,140,0.853056814,0.742254516,0.963859111,140,11
55,Oyo,10-Oct,0,0,0,1,0,0,0,1,10
56,Oyo,10-Nov,0.458760344,0.344571483,0.572949205,84,0.418829812,0.244697475,0.592962149,83,11
57,Oyo,10-Dec,0.502760333,0.207352253,0.798168414,119,0.623981474,0.242041482,1.005921467,121,12
58,Plateau,10-Oct,0.26783453,-0.026484119,0.562153178,68,0.372892886,0.058371868,0.687413905,68,10
59,Rivers,10-Nov,0.193839447,0.077103531,0.310575362,167,0.713099541,0.622659253,0.803539828,169,11
60,Sokoto,10-Oct,0.44177111,0.308823579,0.574718641,43,0.774573334,0.736588325,0.812558342,43,10
61,Sokoto,10-Nov,0.344335007,0.175313134,0.513356879,75,0.792653857,0.592442348,0.992865366,75,11
62,Taraba,10-Oct,0,0,0,1,0,0,0,1,10
63,Taraba,10-Nov,0.401706459,0.315552285,0.487860632,15,0.562389042,0.441773199,0.683004885,15,11
64,Taraba,10-Dec,0.091446845,0.023246279,0.159647411,53,0.160988455,0.052416454,0.269560456,53,12
65,Yobe,10-Oct,0.386693409,0.157267858,0.616118959,140,0.714168844,0.446420833,0.981916855,140,10
66,Zamfara,10-Oct,0.65190433,0.436883164,0.866925496,165,0.67783715,0.402410283,0.953264018,165,10
