adm1,LGA,year,llins_yn,llins_num,llin_month
Ondo,Ese-Odo,2017,1,113702,11
Akwa Ibom,Esit Eket,2014,1,,12
Akwa Ibom,Esit Eket,2018,1,51627,
Akwa lbom,Essien Udim,2010,,,
Akwa Ibom,Essien Udim,2014,1,,12
Akwa Ibom,Essien Udim,2018,1,153738,
Rivers,Etche,2014,1,,10
Delta,Ethiope East,2018,1,142331,
Delta,Ethiope East,2019,1,142331,6
Delta,Ethiope West,2018,1,138369,
Delta,Ethiope West,2019,1,138369,6
Akwa Ibom,Etim Ekpo,2014,1,,12
Akwa Ibom,Etim Ekpo,2018,1,87011,
Akwa Ibom,Etinan,2014,1,,12
Akwa Ibom,Etinan,2018,1,136734,
Edo ,Etsako Central,2017,1,59868,8
Edo ,Etsako East,2017,1,100867,8
Edo ,Etsako West,2017,1,135081,8
Cross River,Etung,2015,1,,9
Cross River,Etung,2018,1,65250,
Ogun,Ewekoro,2014,1,,3
Ogun,Ewekoro,2018,1,48112,5
Imo,Ezinihitte,2017,1,103919,11
Ebonyi,Ezza North,2015,1,,9
Ebonyi,Ezza South,2015,1,,9
Kano,Fagge,2015,1,,3
Kano,Fagge,2019,1,,10
Kebbi,Fakai,2015,1,,1
Kebbi,Fakai,2018,1,94108,
Katsina,Faskari,2015,1,,1
Katsina,Faskari,2018,1,173298,10
Yobe,Fika,2018,1,202500,
Yobe,Fika,2019,1,202500,6
Adamawa,Fufore,2017,1,172556,9
Gombe,Funakaye,2014,1,,10
Gombe,Funakaye,2018,1,219463,12
Yobe,Fune,2018,1,226666,
Yobe,Fune,2019,1,226666,6
Katsina,Funtua,2015,1,,1
Katsina,Funtua,2018,1,184489,10
Kano,Gabasawa,2015,1,,3
Kano,Gabasawa,2019,1,,10
Sokoto,Gada,2013,1,,12
Sokoto,Gada,2017,1,190491,
Jigawa,Gagarawa,2014,1,,10
Jigawa,Gagarawa,2018,1,70111,8
Bauchi,Gamawa,2010,,,
Bauchi,Gamawa,2014,1,,10
Bauchi,Gamawa,2018,1,236300,
Adamawa,Ganaye,2010,,,
Adamawa,Ganaye,2017,1,124419,9
Bauchi,Ganjuwa,2014,1,,10
Bauchi,Ganjuwa,2018,1,231150,
Jigawa,Garki,2014,1,,10
Jigawa,Garki,2018,1,125022,8
Kano,Garko,2010,,,
Kano,Garko,2015,1,,3
Kano,Garko,2019,1,,10
Kano,Garum Mallam,2015,1,,3
Kano,Garum Mallam,2019,1,,10
Taraba,Gashaka,2018,1,74922,
Taraba,Gashaka,2019,1,74922,8
Taraba,Gassol,2018,1,217984,
