"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"116","Ogbadibo","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"117","Ohimini","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"118","Oju","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"119","Okpokwu","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"120","Oturkpo","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"121","Tarka","Keana",NA,NA,NA,NA,1,NA,NA,NA
"122","Ushongo","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"123","Vandeikya","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"124","Askira/Uba","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"125","Enugu East","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"126","Bayo","Alkaleri",NA,NA,NA,NA,NA,NA,NA,NA
"127","Biu","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"128","Chibok","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"129","Damboa","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"130","Biase","Ngor-Okpala",NA,NA,NA,1,NA,NA,1,NA
"131","Dikwa","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"132","Gubio","Gawabawa",NA,NA,NA,NA,NA,NA,NA,NA
"133","Jere","Gawabawa",NA,NA,NA,NA,NA,NA,NA,NA
"134","Guzamala","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"135","Hawul","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"136","Kwaya Kusar","Alkaleri",NA,NA,NA,NA,NA,NA,NA,NA
"137","Enugu North","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"138","Kaga","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"139","Mafa","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"140","Obudu","Obubra",NA,NA,NA,1,NA,NA,1,NA
"141","Konduga","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"142","Bomadi","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"143","Magumeri","Gawabawa",NA,NA,NA,NA,NA,NA,NA,NA
"144","Maiduguri","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"145","Shani","Alkaleri",NA,NA,NA,NA,NA,NA,NA,NA
"146","Abi","Obubra",NA,NA,NA,1,NA,NA,1,NA
"147","Marte","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"148","Nganzai","Gawabawa",NA,NA,NA,NA,NA,NA,NA,NA
"149","Bekwara","Oke-Ero",NA,NA,NA,1,NA,NA,1,NA
