"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"721","Baruten","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"722","Borgu","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"723","Bagudo","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"724","Dandi","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"725","Arewa-Dandi","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"726","Gudu","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"727","Tangaza","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"728","Gada","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"729","Sabon Birni","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"730","kaita","Rimi",NA,NA,NA,1,NA,NA,1,NA
"731","Jibia","Rimi",NA,NA,NA,1,NA,NA,1,NA
"732","Mashi","Rimi",NA,NA,NA,1,NA,NA,1,NA
"733","Mai'Adua","Rimi",NA,NA,NA,1,NA,NA,1,NA
"734","Zango","Babura",NA,NA,NA,1,NA,NA,1,NA
"735","Baure","Babura",NA,NA,NA,1,NA,NA,1,NA
"736","Sule-Tankarkar","Babura",NA,NA,1,NA,NA,NA,1,NA
"737","Maigatari","Babura",NA,NA,1,NA,NA,NA,1,NA
"738","Ussa","Oru West",NA,NA,NA,NA,NA,NA,1,1
"739","Machina","Taura",NA,NA,NA,NA,NA,NA,1,1
"740","Yusufari","Taura",NA,NA,NA,NA,NA,NA,1,1
"741","Shomolu","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"742","Yunusari","Babura",NA,NA,NA,NA,NA,NA,1,1
"743","Monguno","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"744","Mobbar","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"745","Ngala","Taura",NA,NA,NA,NA,NA,NA,NA,NA
"746","Abadam","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"747","Kukawa","Babura",NA,NA,NA,NA,NA,NA,NA,NA
"748","Kala/Balge","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"749","Bama","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"750","Gwoza","Darazo",NA,NA,NA,NA,NA,NA,NA,NA
"751","Madagali","Darazo",1,NA,NA,NA,NA,1,NA,NA
"752","Michika","Darazo",1,NA,NA,NA,NA,1,NA,NA
"753","Mubi North","Darazo",1,NA,NA,NA,NA,1,NA,NA
"754","Maiha","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"755","Fufore","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"756","Jada","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA
"757","Ganaye","Alkaleri",1,NA,NA,NA,NA,1,NA,NA
"758","Toungo","Keana",NA,NA,NA,NA,NA,1,NA,NA
"759","Kurmi","Oru West",NA,NA,NA,NA,NA,NA,1,1
"760","Gashaka","Oru West",NA,NA,NA,NA,NA,NA,1,1
"761","Sardauna","Oru West",NA,NA,NA,NA,NA,NA,1,1
"762","Takum","Keana",NA,NA,NA,NA,NA,NA,1,1
"763","Kwande","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"764","Obanliku","Obubra",NA,NA,NA,1,NA,NA,1,NA
"765","Boki","Obubra",NA,NA,NA,1,NA,NA,1,NA
"766","Etung","Obubra",NA,NA,NA,1,NA,NA,1,NA
"767","Akamkpa","Ngor-Okpala",NA,NA,NA,1,NA,NA,1,NA
"768","Bakassi","Obubra",NA,NA,NA,1,NA,NA,1,NA
"769","Akpabuyo","Nsit Ubium",NA,NA,NA,1,NA,NA,1,NA
"770","Eti-Osa","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"771","Ikorodu","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"772","Kosofe","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"773","Lagos Island","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"774","Lagos Mainland","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
