LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Bade,Bade,Taura,0.736842105,0.694444444,0.795454545,0.759493671,0.715785679,0.673687029
Bagudo,Bagudo,Birnin Kebbi,0.896493581,0.744287257,0.655809425,0.832315501,0.544171429,0.570435833
Bagwai,Bagwai,Babura,0.907407407,0.697674419,0.710526316,0.838235294,0.804608217,0.712788613
Bakassi,Bakassi,Obubra,0.647208055,0.594090851,0.548608298,0.560815073,0.269329192,0.352578982
Bakori,Bakori,Gwarzo,0.66,0.756097561,0.71875,0.739726027,0.670473637,0.649992258
Bakura,Bakura,Darazo,0.568458239,0.1242193,0.220476209,0.732518499,0.73158069,0.681339741
Balanga,Balanga,Alkaleri,0.556849082,0.508376924,0.564286353,0.803248637,0.625491041,0.623897182
Bali,Bali,Keana,0.268987822,0.124883102,0.042301812,0.188030929,0.504206097,0.541470027
Bama,Bama,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.707957691,0.669778823
Barikin Ladi,Barikin Ladi,Soba,0.626139982,0.515566576,0.431801862,0.486391795,0.436851373,0.489453402
Baruten,Baruten,Oke-Ero,0.353383442,0.230601131,0.234270389,0.336931011,0.347941602,0.417009995
Bassa1,Bassa1,Keana,0.9,0.75,0.770833333,0.846153846,0.406315085,0.464886674
Bassa2,Bassa2,Soba,0.251903919,0.182899621,0.132601355,0.218721077,0.472509448,0.517430069
Batagarawa,Batagarawa,Rimi,0.754530143,0.524184174,0.475913102,0.694047638,0.663607785,0.646174875
Batsari,Batsari,Rimi,0.847826087,0.608695652,0.44,0.767123288,0.697059776,0.664209538
Bauchi,Bauchi,Alkaleri,0.449957029,0.254519356,0.275214477,0.412964953,0.627087591,0.624866967
Baure,Baure,Babura,0.372093023,0.515151515,0.566666667,0.430379747,0.697826557,0.664606296
Bayo,Bayo,Alkaleri,0.324324324,0.565217391,0.448979592,0.479452055,0.570036309,0.588279066
Bebeji,Bebeji,Gwarzo,0.763157895,0.7,0.575757576,0.666666667,0.827726878,0.721458816
Bekwara,Bekwara,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.383264622,0.4460788
Bende,Bende,Ngor-Okpala,0.254506108,0.25399127,0.099431805,0.181414612,0.451630723,0.501154968
Biase,Biase,Ngor-Okpala,0.482671224,0.526268077,0.476156082,0.550827005,0.42094549,0.476715539
Bichi,Bichi,Gwarzo,0.705952781,0.606857993,0.508646207,0.693592607,0.768444039,0.698007406
Bida,Bida,Oke-Ero,0.391304348,0.181818182,0.155555556,0.340909091,0.354220152,0.422188464
Billiri,Billiri,Alkaleri,0.531522209,0.380907069,0.33393797,0.705255164,0.209402585,0.305232023
Bindawa,Bindawa,Rimi,0.794871795,0.916666667,0.807692308,0.805970149,0.7272811,0.679287322
