LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Shomolu,587636.65,45788,360,0.0094344,0.520017201,0.53,0,-1,2018
Silame,148818.07,10220,451,0.0529548,0.697024733,0.53,0,-1,2018
Soba,418132.9,71587,16951,0.2841468,0.596311426,0.53,0,-1,2018
Sokoto North,331982.72,19326,473,0.02937,0.702320289,0.53,0,-1,2018
Sokoto South,277900.76,45768,991,0.0259836,0.71480524,0.53,0,-1,2018
Song,271556.03,43082,6903,0.1922748,0.575879905,0.53,0,-1,2018
Southern Ijaw,450129.09,4716,472,0.120102,0.377856327,0.53,0,-1,2018
Suleja,323489.96,31819,7419,0.2797956,0.59158217,0.53,0,-1,2018
Sule-Tankarkar,184391.81,33236,3898,0.1407384,0.690626067,0.53,0,-1,2018
Sumaila,374504.95,59881,11399,0.2284332,0.665925938,0.53,0,-1,2018
Suru,382544.9,11392,2012,0.211938,0.612737045,0.53,0,-1,2018
Surulere1,735470.67,79480,1450,0.0218928,0.511114818,0.53,0,-1,2018
Surulere2,212201.69,6944,692,0.1195848,0.469643564,0.53,0,-1,2018
Tafa,124784.81,23243,7917,0.4087428,0.570554,0.53,0,-1,2018
Tafawa-Balewa,328583.28,40200,1957,0.0584184,0.561175608,0.53,0,-1,2018
Tai,175946.53,2289,216,0.1132368,0.381917564,0.53,0,-1,2018
Takali,299329.64,39350,7343,0.2239284,0.709085745,0.53,0,-1,2018
Takum,190739.02,8487,1886,0.2666664,0.466829983,0.53,0,-1,2018
Talata Mafara,314017.78,36370,7806,0.2575524,0.679747419,0.53,0,-1,2018
Tambuwal,320697.82,16679,396,0.0284904,0.699284483,0.53,0,-1,2018
Tangaza,162327.15,18449,1837,0.1194864,0.692206336,0.53,0,-1,2018
Tarauni,326826.1,64960,6249,0.1154376,0.625743826,0.53,0,-1,2018
Tarka,113339.44,3931,1373,0.41913,0.410062837,0.53,0,-1,2018
Tarmua,116660.54,9601,1727,0.2158524,0.686058597,0.53,0,-1,2018
Taura,185677.04,36211,2948,0.0976944,0.711846173,0.53,0,-1,2018
Tofa,144294.42,21836,5342,0.2935704,0.720682508,0.53,0,-1,2018
Toro,523378.07,75782,3036,0.0480744,0.623800515,0.53,0,-1,2018
Toto,169775.33,15457,2064,0.1602384,0.452417095,0.53,0,-1,2018
Toungo,73336.771,12385,2086,0.202116,0.446472042,0.53,0,-1,2018
Tsafe,388196.01,63311,8096,0.1534524,0.690350267,0.53,0,-1,2018
Tsanyawa,232798.66,19908,5245,0.3161544,0.673850382,0.53,0,-1,2018
Tudun Wada,342143.75,40592,6064,0.1792668,0.696527424,0.53,0,-1,2018
Tureta,97479.272,6905,605,0.1051416,0.70782607,0.53,0,-1,2018
Udenu,254449.84,9564,39,0.0048936,0.444547985,0.53,0,-1,2018
Udi,333630.9,4941,297,0.0721308,0.443030522,0.53,0,-1,2018
Udu,209212.38,11861,1339,0.1354692,0.24889334,0.53,0,-1,2018
Udung Uko,79578.249,958,495,0.6200412,0.322887578,0.53,0,-1,2018
Ughelli North,468481.58,37983,2063,0.0651768,0.288820013,0.53,0,-1,2018
Ughelli South,311679.91,18033,1762,0.117252,0.258365504,0.53,0,-1,2018
Ugwunagbo,113741.77,2037,54,0.031812,0.386810187,0.53,0,-1,2018
Uhunmwonde,166325.56,4147,643,0.1860624,0.450623986,0.53,0,-1,2018
Ukanafun,189741.8,2214,1122,0.60813,0.41101835,0.53,0,-1,2018
Ukum,309290.31,4076,1738,0.5116776,0.446657171,0.53,0,-1,2018
Ukwa East,81040.567,1319,224,0.2037912,0.380519132,0.53,0,-1,2018
Ukwa West,121915.36,2041,80,0.0470352,0.373187786,0.53,0,-1,2018
Ukwuani,175689.89,5982,1661,0.3331992,0.406905033,0.53,0,-1,2018
Umuahia North,303786.83,10282,350,0.040848,0.501112024,0.53,0,-1,2018
Umuahia South,190771.96,3431,108,0.0377736,0.528927156,0.53,0,-1,2018
Umu-Neochi,225682.8,3294,190,0.0692172,0.489251418,0.53,0,-1,2018
Ungogo,545761.37,67780,10197,0.1805316,0.650525031,0.53,0,-1,2018
Unuimo,208272.57,4280,355,0.0995328,0.518917277,0.53,0,-1,2018
Uruan,176697.83,11639,1094,0.1127928,0.460591042,0.53,0,-1,2018
Urue-Offong-Oruko,106286.06,1763,1033,0.7031196,0.30126919,0.53,0,-1,2018
Ushongo,268529.23,8432,2930,0.4169832,0.405123965,0.53,0,-1,2018
Ussa,129673.9,2233,527,0.283206,0.46526634,0.53,0,-1,2018
Uvwie,279422.67,15048,1039,0.0828552,0.245801456,0.53,0,-1,2018
Uyo,462391.18,11132,1376,0.1483296,0.459725229,0.53,0,-1,2018
Uzo-Uwani,124480,1655,139,0.1007856,0.463605313,0.53,0,-1,2018
Vandeikya,328096.1,14225,4081,0.3442668,0.446888644,0.53,0,-1,2018
Wamako,256093.74,37463,314,0.0100584,0.709862406,0.53,0,-1,2018
Wamba,103929.41,18849,2416,0.1538124,0.474808309,0.53,0,-1,2018
Warawa,190141.05,22456,3141,0.1678488,0.713851327,0.53,0,-1,2018
Warji,171350.59,22599,2800,0.1486788,0.655190649,0.53,0,-1,2018
Warri North,200367.33,1095,808,0.88548,0.317614669,0.53,0,-1,2018
Warri South,442788.44,15552,1227,0.0946764,0.261546529,0.53,0,-1,2018
Warri South West,170277.2,4459,1760,0.4736484,0.247431724,0.53,0,-1,2018
Wasagu-Danko,174843.54,32474,2162,0.0798912,0.610059384,0.53,0,-1,2018
Wase,222634.75,427,49,0.1377048,0.542214526,0.53,0,-1,2018
Wudil,273412.93,49258,11887,0.2895852,0.696329773,0.53,0,-1,2018
Wukari,340395.92,16027,2178,0.1630752,0.460148695,0.53,0,-1,2018
Wurno,231410.97,10975,1471,0.1608384,0.700606421,0.53,0,-1,2018
Wushishi,122154.51,12635,3653,0.3469416,0.586509958,0.53,0,-1,2018
Yabo,163978.19,11974,187,0.0187404,0.687948856,0.53,0,-1,2018
Yagba East,212471.16,3507,1268,0.4338756,0.370406416,0.53,0,-1,2018
Yagba West,199820.39,6681,2213,0.3974856,0.380889805,0.53,0,-1,2018
Yakurr,276844.9,22295,5528,0.2975376,0.470109825,0.53,0,-1,2018
Yala,297128.07,11000,4436,0.4839276,0.497455497,0.53,0,-1,2018
Yamaltu-Deba,372493.51,54374,4508,0.0994884,0.568738538,0.53,0,-1,2018
Yankwashi,134947.27,22037,6727,0.3663108,0.658693878,0.53,0,-1,2018
Yauri,143924.4,26387,1050,0.0477504,0.620072014,0.53,0,-1,2018
Yenegoa,497945.97,16687,764,0.0549408,0.34556186,0.53,0,-1,2018
Yola North,279377.3,42335,6033,0.1710072,0.596198663,0.53,0,-1,2018
Yola South,274247.68,49088,6133,0.1499268,0.589972357,0.53,0,-1,2018
Yorro,126000.01,3944,1114,0.3389448,0.55120021,0.53,0,-1,2018
Yunusari,190124.17,4450,946,0.2551008,0.689290824,0.53,0,-1,2018
Yusufari,167858.57,12069,2145,0.2132736,0.682638557,0.53,0,-1,2018
Zaki,285968.18,17112,2345,0.1644456,0.69149605,0.53,0,-1,2018
Zango,220626.52,19393,1994,0.1233852,0.609533872,0.53,0,-1,2018
Zango-Kataf,451067.97,25136,7829,0.3737592,0.442972479,0.53,0,-1,2018
Zaria,581992.74,114879,19251,0.2010912,0.6133025,0.53,0,-1,2018
Zing,179484.84,7796,1954,0.3007692,0.637049113,0.53,0,-1,2018
Zurmi,428807.97,19573,6181,0.3789504,0.702961675,0.53,0,-1,2018
Zuru,238795.04,21976,993,0.0542232,0.611940869,0.53,0,-1,2018
