LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Balanga,310181.17,41317,3441,0.0999396,0.623897182,0.53,0,-1,2018
Bali,294439.24,9715,2170,0.2680392,0.541470027,0.53,0,-1,2018
Bama,403262.38,818,68,0.099756,0.669778823,0.53,0,-1,2018
Barikin Ladi,241293.42,12097,745,0.0739032,0.489453402,0.53,0,-1,2018
Baruten,298638.45,5192,1570,0.3628656,0.417009995,0.53,0,-1,2018
Bassa1,199596.54,3248,238,0.0879312,0.464886674,0.53,0,-1,2018
Bassa2,257252.35,15722,1169,0.0892248,0.517430069,0.53,0,-1,2018
Batagarawa,263159.82,32210,3459,0.1288668,0.646174875,0.53,0,-1,2018
Batsari,297952.66,14540,2840,0.2343876,0.664209538,0.53,0,-1,2018
Bauchi,737575.27,111222,13027,0.1405512,0.624866967,0.53,0,-1,2018
Baure,281480.84,34201,2596,0.0910848,0.664606296,0.53,0,-1,2018
Bayo,117964.84,15640,3077,0.2360868,0.588279066,0.53,0,-1,2018
Bebeji,278831.31,36998,4317,0.1400184,0.721458816,0.53,0,-1,2018
Bekwara,149128.44,8181,2705,0.3967728,0.4460788,0.53,0,-1,2018
Bende,264482.87,5722,429,0.0899688,0.501154968,0.53,0,-1,2018
Biase,238419.2,9270,4046,0.5237544,0.476715539,0.53,0,-1,2018
Bichi,409108.8,54679,10017,0.2198352,0.698007406,0.53,0,-1,2018
Bida,281075.01,22148,4390,0.2378544,0.422188464,0.53,0,-1,2018
Billiri,294996.74,23232,3803,0.1964364,0.305232023,0.53,0,-1,2018
Bindawa,217223.23,17699,3009,0.204012,0.679287322,0.53,0,-1,2018
Binji,149743.39,6944,221,0.0381912,0.721642545,0.53,0,-1,2018
Biriniwa,441617.29,18675,3574,0.2296548,0.662953681,0.53,0,-1,2018
Birni Kudu,200575.51,84202,17656,0.2516232,0.710618621,0.53,0,-1,2018
Birnin Kebbi,387185.3,47533,4099,0.103482,0.688032578,0.53,0,-1,2018
Birnin Magaji,260665.78,15066,3958,0.3152532,0.708478232,0.53,0,-1,2018
Birnin-Gwari,359809.29,51925,13694,0.3164724,0.598687691,0.53,0,-1,2018
Biu,262988.5,66010,14503,0.2636508,0.630783932,0.53,0,-1,2018
Bodinga,250087.01,10335,308,0.0357624,0.727651305,0.53,0,-1,2018
Bogoro,125787.05,13301,3318,0.299346,0.594258836,0.53,0,-1,2018
Boki,262176.14,10207,4051,0.4762608,0.487034109,0.53,0,-1,2018
Bokkos,245681.02,3661,545,0.1786392,0.5419051,0.53,0,-1,2018
Boluwaduro,103284.76,1639,499,0.3653448,0.377867037,0.53,0,-1,2018
Bomadi,126443.02,5869,693,0.1416936,0.29598519,0.53,0,-1,2018
Bonny,321667.72,3079,88,0.0342972,0.310050826,0.53,0,-1,2018
Borgu,256854.12,28130,8548,0.36465,0.406785099,0.53,0,-1,2018
Boripe,203078.78,5560,1212,0.2615832,0.422477334,0.53,0,-1,2018
Bosso,220101.57,28596,7038,0.2953416,0.500669413,0.53,0,-1,2018
Brass,260778.17,5271,207,0.0471252,0.352505409,0.53,0,-1,2018
Buji,137218.96,23604,5175,0.2630916,0.694143703,0.53,0,-1,2018
Bukkuyum,308844.42,14243,2907,0.24492,0.665017493,0.53,0,-1,2018
Bungudu,376388.49,45684,10393,0.2729976,0.706022165,0.53,0,-1,2018
Bunkure,252303.37,31242,6238,0.2396004,0.698564959,0.53,0,-1,2018
Bunza,175202.72,12810,1456,0.1363932,0.650932828,0.53,0,-1,2018
Bursari,164893.86,10932,2294,0.2518116,0.663861803,0.53,0,-1,2018
Buruku,290457.43,5077,1669,0.3944844,0.440865552,0.53,0,-1,2018
Burutu,305973.9,3405,792,0.2791188,0.305581011,0.53,0,-1,2018
Bwari,458634.13,69461,3086,0.0533136,0.580366866,0.53,0,-1,2018
Calabar South,270052.37,18561,6540,0.4228224,0.4935513,0.53,0,-1,2018
Calabar-Municipal,252806.11,21492,4723,0.2637072,0.509382696,0.53,0,-1,2018
Chanchaga,300862.78,85406,14529,0.2041404,0.454714405,0.53,0,-1,2018
Charanchi,196203.23,10268,2153,0.2516172,0.684701159,0.53,0,-1,2018
Chibok,98587.828,12117,3068,0.3038376,0.639928775,0.53,0,-1,2018
Chikun,525036.45,62157,7060,0.1362996,0.59294545,0.53,0,-1,2018
Dala,618282.11,58157,9597,0.1980228,0.59673093,0.53,0,-1,2018
Damaturu,132995.2,23410,5107,0.261786,0.672754775,0.53,0,-1,2018
Damban,225423.41,25021,2419,0.1160148,0.714922519,0.53,0,-1,2018
Dambatta,307043.83,50621,11189,0.265242,0.689430592,0.53,0,-1,2018
Damboa,345887.12,22257,1972,0.1063212,0.663306114,0.53,0,-1,2018
Dan Musa,162096.18,18326,3591,0.2351412,0.7165261,0.53,0,-1,2018
