LGA,MapA_mix,llin_type,smc_LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Alkaleri,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Alkaleri,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Bauchi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Bauchi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Bauchi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Bauchi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Bogoro,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Bogoro,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Bogoro,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Bogoro,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Damban,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Damban,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Damban,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Damban,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Darazo,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Darazo,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Darazo,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Darazo,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Dass,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Dass,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Dass,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Dass,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Gamawa,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,223,2020,1,-1,0.8,0.2,5
Gamawa,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,253,2020,2,-1,0.8,0.2,5
Gamawa,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,283,2020,3,-1,0.8,0.2,5
Gamawa,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,313,2020,4,-1,0.8,0.2,5
Ganjuwa,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Ganjuwa,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Ganjuwa,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Ganjuwa,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Giade,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Giade,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Giade,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Giade,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Itas-Gadau,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,186,2020,1,-1,0.8,0.2,5
Itas-Gadau,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,216,2020,2,-1,0.8,0.2,5
Itas-Gadau,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,246,2020,3,-1,0.8,0.2,5
Itas-Gadau,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,276,2020,4,-1,0.8,0.2,5
Jama'are,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,186,2020,1,-1,0.8,0.2,5
Jama'are,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,216,2020,2,-1,0.8,0.2,5
Jama'are,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,246,2020,3,-1,0.8,0.2,5
Jama'are,CM+IPTp+IRS+SMC,itn_pbo,smc,Taura,july,276,2020,4,-1,0.8,0.2,5
Katagum,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,223,2020,1,-1,0.8,0.2,5
Katagum,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,253,2020,2,-1,0.8,0.2,5
Katagum,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,283,2020,3,-1,0.8,0.2,5
Katagum,CM+IPTp+IRS+SMC,itn_pbo,smc,Gwarzo,august,313,2020,4,-1,0.8,0.2,5
Kirfi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Kirfi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Kirfi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Kirfi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
