,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
68,Esit Eket,Nsit Ubium,2024,Esit Eket,0.8,0.8,0.8,0.8,0.346897657,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
69,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.8,0.8,0.8,0.8,0.435041855,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
70,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.8,0.8,0.8,0.8,0.435041855,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
71,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.8,0.8,0.8,0.8,0.399175674,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
72,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.8,0.8,0.8,0.8,0.399175674,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
73,Etinan,Nsit Ubium,2021,Etinan,0.8,0.8,0.8,0.8,0.35413511,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
74,Etinan,Nsit Ubium,2024,Etinan,0.8,0.8,0.8,0.8,0.35413511,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
75,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.8,0.8,0.8,0.8,0.430871605,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
76,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.8,0.8,0.8,0.8,0.430871605,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
77,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.8,0.8,0.8,0.8,0.446021174,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
78,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.8,0.8,0.8,0.8,0.446021174,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
79,Ika,Ngor-Okpala,2021,Ika,0.8,0.8,0.8,0.8,0.36230356,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
80,Ika,Ngor-Okpala,2024,Ika,0.8,0.8,0.8,0.8,0.36230356,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
81,Ikono,Ngor-Okpala,2021,Ikono,0.8,0.8,0.8,0.8,0.419053252,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
82,Ikono,Ngor-Okpala,2024,Ikono,0.8,0.8,0.8,0.8,0.419053252,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
83,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.8,0.8,0.8,0.8,0.293529351,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
84,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.8,0.8,0.8,0.8,0.293529351,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
85,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.8,0.8,0.8,0.8,0.424084125,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
86,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.8,0.8,0.8,0.8,0.424084125,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
87,Ini,Ngor-Okpala,2021,Ini,0.8,0.8,0.8,0.8,0.45642023,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
88,Ini,Ngor-Okpala,2024,Ini,0.8,0.8,0.8,0.8,0.45642023,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
89,Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.8,0.8,0.8,0.8,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
90,Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.8,0.8,0.8,0.8,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
91,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.8,0.8,0.8,0.8,0.331769618,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
92,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.8,0.8,0.8,0.8,0.331769618,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
93,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.8,0.8,0.8,0.8,0.425264532,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
94,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.8,0.8,0.8,0.8,0.425264532,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
95,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.8,0.8,0.8,0.8,0.334843575,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
96,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.8,0.8,0.8,0.8,0.334843575,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
97,Awka South,Uzo-Uwani,2020,Awka South,0.8,0.8,0.8,0.8,0.485419293,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
98,Awka South,Uzo-Uwani,2023,Awka South,0.8,0.8,0.8,0.8,0.485419293,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
99,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.8,0.8,0.8,0.8,0.440171735,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
100,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.8,0.8,0.8,0.8,0.440171735,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
101,Okobo,Nsit Ubium,2021,Okobo,0.8,0.8,0.8,0.8,0.352520839,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
102,Okobo,Nsit Ubium,2024,Okobo,0.8,0.8,0.8,0.8,0.352520839,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
103,Onna,Nsit Ubium,2021,Onna,0.8,0.8,0.8,0.8,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
104,Onna,Nsit Ubium,2024,Onna,0.8,0.8,0.8,0.8,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
105,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.8,0.8,0.8,0.8,0.387796568,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
106,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.8,0.8,0.8,0.8,0.387796568,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
