,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
70,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.435041855,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
71,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.399175674,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
72,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,0.399175674,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
73,Etinan,Nsit Ubium,2021,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.35413511,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
74,Etinan,Nsit Ubium,2024,Etinan,0.276923077,0.2,0.243082888,0.171428572,0.35413511,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
75,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.430871605,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
76,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,0.430871605,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
77,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.446021174,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
78,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.446021174,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
79,Ika,Ngor-Okpala,2021,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.36230356,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
80,Ika,Ngor-Okpala,2024,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.36230356,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
81,Ikono,Ngor-Okpala,2021,Ikono,0.2,0.141176471,0.35,0.223728814,0.419053252,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
82,Ikono,Ngor-Okpala,2024,Ikono,0.2,0.141176471,0.35,0.223728814,0.419053252,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
83,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.293529351,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
84,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.293529351,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
85,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.424084125,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
86,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.424084125,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
87,Ini,Ngor-Okpala,2021,Ini,0.83076923,0.428571428,0.64,0.612244898,0.45642023,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
88,Ini,Ngor-Okpala,2024,Ini,0.83076923,0.428571428,0.64,0.612244898,0.45642023,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
89,Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,0.7188,0.863,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
90,Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,0.7188,0.863,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
91,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.331769618,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
92,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.331769618,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
93,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.425264532,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
94,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.425264532,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
95,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.334843575,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
96,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.334843575,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
97,Awka South,Uzo-Uwani,2020,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.485419293,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
98,Awka South,Uzo-Uwani,2023,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.485419293,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
