adm1,LGA,smc_map_B,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Bauchi,Dass,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Dass,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Dass,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Gamawa,SMC,Gwarzo,august,223,2020,1,-1,0.96,0.24,5
Bauchi,Gamawa,SMC,Gwarzo,august,253,2020,2,-1,0.96,0.24,5
Bauchi,Gamawa,SMC,Gwarzo,august,283,2020,3,-1,0.96,0.24,5
Bauchi,Gamawa,SMC,Gwarzo,august,313,2020,4,-1,0.96,0.24,5
Bauchi,Ganjuwa,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Ganjuwa,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Ganjuwa,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Ganjuwa,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Giade,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Giade,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Giade,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Giade,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Itas-Gadau,SMC,Taura,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Itas-Gadau,SMC,Taura,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Itas-Gadau,SMC,Taura,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Itas-Gadau,SMC,Taura,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Jama'are,SMC,Taura,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Jama'are,SMC,Taura,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Jama'are,SMC,Taura,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Jama'are,SMC,Taura,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Katagum,SMC,Gwarzo,august,223,2020,1,-1,0.96,0.24,5
Bauchi,Katagum,SMC,Gwarzo,august,253,2020,2,-1,0.96,0.24,5
Bauchi,Katagum,SMC,Gwarzo,august,283,2020,3,-1,0.96,0.24,5
Bauchi,Katagum,SMC,Gwarzo,august,313,2020,4,-1,0.96,0.24,5
Bauchi,Kirfi,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Kirfi,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Kirfi,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Kirfi,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Misau,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Misau,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Misau,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Misau,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Ningi,SMC,Takali,september,250,2020,1,-1,0.96,0.24,5
Bauchi,Ningi,SMC,Takali,september,280,2020,2,-1,0.96,0.24,5
