,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial ,round,peak,simday,MapB_mix,llin_MapB
107,Nnewi South,Oru West,2020,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.303374646,0.380306319,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
108,Nnewi South,Oru West,2023,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.303374646,0.380306319,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
109,Ogbaru,Ahoada West,2020,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.230996863,0.322021221,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
110,Ogbaru,Ahoada West,2023,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.230996863,0.322021221,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
111,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.382531956,0.445478249,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
112,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.382531956,0.445478249,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
113,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.368656397,0.434081069,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
114,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.368656397,0.434081069,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
115,Orumba North,Oru West,2020,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.403508225,0.462606614,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
116,Orumba North,Oru West,2023,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.403508225,0.462606614,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
117,Orumba South,Oru West,2020,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.438379079,0.490669288,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
118,Orumba South,Oru West,2023,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.438379079,0.490669288,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
119,Oyi,Uzo-Uwani,2020,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.387377598,0.449447388,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
120,Oyi,Uzo-Uwani,2023,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.387377598,0.449447388,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
121,Ukum,Keana,2020,Ukum,0.402895063,0.341754412,0.408776947,0.277550274,0.383970395,0.446657171,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
122,Ukum,Keana,2023,Ukum,0.402895063,0.341754412,0.408776947,0.277550274,0.383970395,0.446657171,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
123,Kolokuma-Opokuma,Ahoada West,2020,Kolokuma/Opokuma,0.236773625,0.146298451,0.199398894,0.25380437,0.224180225,0.31668418,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
124,Kolokuma-Opokuma,Ahoada West,2023,Kolokuma/Opokuma,0.236773625,0.146298451,0.199398894,0.25380437,0.224180225,0.31668418,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
125,Nembe,Ahoada West,2020,Nembe,0.615384615,0.555555556,0.35,0.528301887,0.273335383,0.35581817,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
126,Nembe,Ahoada West,2023,Nembe,0.615384615,0.555555556,0.35,0.528301887,0.273335383,0.35581817,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
127,Ogbia,Ahoada West,2020,Ogbia,0.279080839,0.195282068,0.099086898,0.168082691,0.381331283,0.44449378,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
