LGA,mapB_mix,repDS,peak,simday,year,coverage,initial_killing,box_duration,decay_time_constant
Jaba,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Jada,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Jahun,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Jakusko,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Jalingo,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Jama'are,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Jega,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
Jema'a,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Jere,CM+IPTp+IRS+SMC,Gawabawa,august,950,2022,0.6,0.7,180,90
Jibia,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Jos East,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Kabo,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Kachia,CM+IPTp+IRS+SMC,Ngor-Okpala,june,887,2022,0.6,0.7,180,90
Kaduna South,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Kafin Hausa,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Kafur,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Kagarko,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Kaiama,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
kaita,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Kaltungo,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Kankara,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Kankia,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
