LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.383194312,0.446021174,0.53,1,june,527
Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.816968054,0.676951712,0.41733333,0.621642197,0.383194312,0.446021174,0.53,2,june,1622
Ika,Ngor-Okpala,2021,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.281330517,0.36230356,0.53,1,june,527
Ika,Ngor-Okpala,2024,Ika,0.365309446,0.31976846,0.263166845,0.320293091,0.281330517,0.36230356,0.53,2,june,1622
Ikono,Ngor-Okpala,2021,Ikono,0.2,0.141176471,0.35,0.223728814,0.3504186,0.419053252,0.53,1,june,527
Ikono,Ngor-Okpala,2024,Ikono,0.2,0.141176471,0.35,0.223728814,0.3504186,0.419053252,0.53,2,june,1622
Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.194063012,0.293529351,0.53,1,june,527
Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.417391304,0.553846154,0.36,0.147692308,0.194063012,0.293529351,0.53,2,june,1622
Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.356519334,0.424084125,0.53,1,june,527
Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.067265388,0.31976846,0.240576152,0.140252752,0.356519334,0.424084125,0.53,2,june,1622
Ini,Ngor-Okpala,2021,Ini,0.83076923,0.428571428,0.64,0.612244898,0.395911217,0.45642023,0.53,1,june,527
Ini,Ngor-Okpala,2024,Ini,0.83076923,0.428571428,0.64,0.612244898,0.395911217,0.45642023,0.53,2,june,1622
Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,0.225930858,0.318051677,0.53,1,june,527
Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.723412334,0.455210249,0.403579848,0.45631469,0.225930858,0.318051677,0.53,2,june,1622
Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.243345201,0.331769618,0.53,1,june,527
Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.401357616,0.353031661,0.243082888,0.273386149,0.243345201,0.331769618,0.53,2,june,1622
Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.357951303,0.425264532,0.53,1,june,527
Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.24,0.092307692,0.243082888,0.203076923,0.357951303,0.425264532,0.53,2,june,1622
Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.247213687,0.334843575,0.53,1,june,527
Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.352941176,0.654545454,0.163636363,0.351724138,0.247213687,0.334843575,0.53,2,june,1622
Awka South,Uzo-Uwani,2020,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.431794981,0.485419293,0.53,1,june,162
Awka South,Uzo-Uwani,2023,Awka South,0.138461538,0.268927518,0.192060578,0.066666667,0.431794981,0.485419293,0.53,2,june,1257
Obot Akara,Ngor-Okpala,2021,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.376065149,0.440171735,0.53,1,june,527
Obot Akara,Ngor-Okpala,2024,Obot Akara,0.423529411,0.533333333,0.276923077,0.357894737,0.376065149,0.440171735,0.53,2,june,1622
Okobo,Nsit Ubium,2021,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.269257198,0.352520839,0.53,1,june,527
Okobo,Nsit Ubium,2024,Okobo,0.36,0.266666666,0.545454546,0.349090909,0.269257198,0.352520839,0.53,2,june,1622
Onna,Nsit Ubium,2021,Onna,0.498435284,0.494188372,0.263743315,0.492723245,0.191877243,0.291878138,0.53,1,june,527
Onna,Nsit Ubium,2024,Onna,0.498435284,0.494188372,0.263743315,0.492723245,0.191877243,0.291878138,0.53,2,june,1622
Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.312496984,0.387796568,0.53,1,june,527
Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.41438846,0.517894756,0.286956455,0.341290256,0.312496984,0.387796568,0.53,2,june,1622
Ukanafun,Nsit Ubium,2021,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,0.340679142,0.41101835,0.53,1,june,527
Ukanafun,Nsit Ubium,2024,Ukanafun,0.318543152,0.342115739,0.123103775,0.167608732,0.340679142,0.41101835,0.53,2,june,1622
Uruan,Nsit Ubium,2021,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.401030149,0.460591042,0.53,1,june,527
Uruan,Nsit Ubium,2024,Uruan,0.402768228,0.363157944,0.259105852,0.312128183,0.401030149,0.460591042,0.53,2,june,1622
