LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Chibok,Darazo,,0.114371076,0.114371076,0,-1,2018
Chikun,Soba,,0.02049469,0.02049469,0,-1,2018
Dala,Alkaleri,,0.850046207,0.850046207,0,-1,2018
Damaturu,Darazo,,0.114371076,0.114371076,0,-1,2018
Damban,Darazo,,0.333333333,0.333333333,0,-1,2018
Dambatta,Babura,,0.333333333,0.333333333,0,-1,2018
Damboa,Darazo,,0.114371076,0.114371076,0,-1,2018
Dan Musa,Rimi,,0.209995572,0.209995572,0,-1,2018
Dandi,Birnin Kebbi,,0.34910543,0.34910543,0,-1,2018
Dandume,Giwa,,0.130508332,0.130508332,0,-1,2018
Dange-Shnsi,Gawabawa,,0.125,0.125,0,-1,2018
Danja,Giwa,,0.130508332,0.130508332,0,-1,2018
Darazo,Darazo,,0.161152612,0.161152612,0,-1,2018
Dass,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Daura,Babura,,0.202230441,0.202230441,0,-1,2018
Dawakin Kudu,Gwarzo,,0.272727273,0.272727273,0,-1,2018
Dawakin Tofa,Taura,,0.181818182,0.181818182,0,-1,2018
Degema,Ahoada West,,0.25,0.25,0,-1,2018
Dekina,Owan East,,0.190297763,0.190297763,0,-1,2018
Demsa,Alkaleri,,0.701986849,0.701986849,0,-1,2018
Dikwa,Darazo,,0.114371076,0.114371076,0,-1,2018
Doguwa,Giwa,,0.130434783,0.130434783,0,-1,2018
Doma,Keana,,0.177187213,0.177187213,0,-1,2018
Donga,Keana,,0.284919607,0.284919607,0,-1,2018
Dukku,Darazo,,0.114371076,0.114371076,0,-1,2018
Dunukofia,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Dutse,Takali,,0.148488039,0.148488039,0,-1,2018
Dutsi,Rimi,,0.230769231,0.230769231,0,-1,2018
Dutsin-Ma,Rimi,,0.209995572,0.209995572,0,-1,2018
Eastern Obolo,Nsit Ubium,,0.6,0.6,0,-1,2018
Ebonyi,Owan East,,0.278942779,0.278942779,0,-1,2018
Edati,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ede North,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ede South,Akinyele,,0.154926235,0.154926235,0,-1,2018
Edu,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Efon-Alayee,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Egbado North,Owan East,,0.278942779,0.278942779,0,-1,2018
Egbado South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Egbeda,Akinyele,,0.107316809,0.107316809,0,-1,2018
Egbedore,Akinyele,,0.54187193,0.54187193,0,-1,2018
Egor,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ehime-Mbano,Ngor-Okpala,,0.591374486,0.591374486,0,-1,2018
Ejigbo,Akinyele,,0.215907256,0.215907256,0,-1,2018
Ekeremor,Ahoada West,,0.205928424,0.205928424,0,-1,2018
Eket,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
Ekiti,Oke-Ero,,0.744393955,0.744393955,0,-1,2018
Ekiti East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ekiti South West,Oke-Ero,,0.462500057,0.462500057,0,-1,2018
Ekiti West,Oke-Ero,,0.162213602,0.162213602,0,-1,2018
Ekwusigo,Oru West,,0.75,0.75,0,-1,2018
Eleme,Ahoada West,,0.151693513,0.151693513,0,-1,2018
Emohua,Ahoada West,,0.166666667,0.166666667,0,-1,2018
Emure,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Enugu East,Uzo-Uwani,,0.767123269,0.767123269,0,-1,2018
Enugu North,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Enugu South,Uzo-Uwani,,0.514893508,0.514893508,0,-1,2018
