,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
116,Akwa Ibom,Oron,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Oron,0.8,0.8,0.8,0.8,0.308094501,0.384179387,0.53,2,june,1622
117,Akwa Ibom,Oruk Anam,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Oruk Anam,0.8,0.8,0.8,0.8,0.312496984,0.387796568,0.53,1,june,527
118,Akwa Ibom,Oruk Anam,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Oruk Anam,0.8,0.8,0.8,0.8,0.312496984,0.387796568,0.53,2,june,1622
119,Akwa Ibom,Udung Uko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Udung Uko,0.8,0.8,0.8,0.8,0.232099503,0.322887578,0.53,1,june,527
120,Akwa Ibom,Udung Uko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Udung Uko,0.8,0.8,0.8,0.8,0.232099503,0.322887578,0.53,2,june,1622
123,Akwa Ibom,Uruan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Uruan,0.8,0.8,0.8,0.8,0.401030149,0.460591042,0.53,1,june,527
124,Akwa Ibom,Uruan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Uruan,0.8,0.8,0.8,0.8,0.401030149,0.460591042,0.53,2,june,1622
125,Akwa Ibom,Urue-Offong-Oruko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Urue-Offong/Oruko,0.8,0.8,0.8,0.8,0.204236897,0.30126919,0.53,1,june,527
126,Akwa Ibom,Urue-Offong-Oruko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Urue-Offong/Oruko,0.8,0.8,0.8,0.8,0.204236897,0.30126919,0.53,2,june,1622
127,Akwa Ibom,Uyo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Uyo,0.8,0.8,0.8,0.8,0.399966547,0.459725229,0.53,1,june,527
128,Akwa Ibom,Uyo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Uyo,0.8,0.8,0.8,0.8,0.399966547,0.459725229,0.53,2,june,1622
129,Anambra,Aguata,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.503044714,0.53,1,june,162
130,Anambra,Aguata,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.503044714,0.53,2,june,1257
131,Anambra,Anambra East,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Anambra East,0.8,0.8,0.8,0.8,0.375672105,0.439848897,0.53,1,june,162
132,Anambra,Anambra East,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Anambra East,0.8,0.8,0.8,0.8,0.375672105,0.439848897,0.53,2,june,1257
133,Anambra,Anambra West,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Anambra West,0.8,0.8,0.8,0.8,0.39176502,0.453035277,0.53,1,june,162
134,Anambra,Anambra West,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Anambra West,0.8,0.8,0.8,0.8,0.39176502,0.453035277,0.53,2,june,1257
135,Anambra,Anaocha,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Anaocha,0.8,0.8,0.8,0.8,0.420247823,0.476153753,0.53,1,june,162
136,Anambra,Anaocha,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Anaocha,0.8,0.8,0.8,0.8,0.420247823,0.476153753,0.53,2,june,1257
137,Anambra,Awka North,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Awka North,0.8,0.8,0.8,0.8,0.388205397,0.450124783,0.53,1,june,162
138,Anambra,Awka North,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Awka North,0.8,0.8,0.8,0.8,0.388205397,0.450124783,0.53,2,june,1257
139,Anambra,Awka South,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Awka South,0.8,0.8,0.8,0.8,0.431794981,0.485419293,0.53,1,june,162
140,Anambra,Awka South,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Awka South,0.8,0.8,0.8,0.8,0.431794981,0.485419293,0.53,2,june,1257
141,Anambra,Ayamelum,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Ayamelum,0.8,0.8,0.8,0.8,0.436497382,0.489171465,0.53,1,june,162
142,Anambra,Ayamelum,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Ayamelum,0.8,0.8,0.8,0.8,0.436497382,0.489171465,0.53,2,june,1257
143,Anambra,Dunukofia,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.477122595,0.53,1,june,162
144,Anambra,Dunukofia,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Dunukofia,0.8,0.8,0.8,0.8,0.421451191,0.477122595,0.53,2,june,1257
145,Anambra,Ekwusigo,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.341515837,0.53,1,june,162
146,Anambra,Ekwusigo,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Ekwusigo,0.8,0.8,0.8,0.8,0.255572543,0.341515837,0.53,2,june,1257
147,Anambra,Idemili North,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Idemili North,0.8,0.8,0.8,0.8,0.422797782,0.478205882,0.53,1,june,162
148,Anambra,Idemili North,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Idemili North,0.8,0.8,0.8,0.8,0.422797782,0.478205882,0.53,2,june,1257
149,Anambra,Idemili South,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Idemili South,0.8,0.8,0.8,0.8,0.377378695,0.441250403,0.53,1,june,162
150,Anambra,Idemili South,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Idemili South,0.8,0.8,0.8,0.8,0.377378695,0.441250403,0.53,2,june,1257
151,Anambra,Ihiala,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Ihiala,0.8,0.8,0.8,0.8,0.199598953,0.297729955,0.53,1,june,162
152,Anambra,Ihiala,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Ihiala,0.8,0.8,0.8,0.8,0.199598953,0.297729955,0.53,2,june,1257
153,Anambra,Njikoka,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Njikoka,0.8,0.8,0.8,0.8,0.436915256,0.489504274,0.53,1,june,162
154,Anambra,Njikoka,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Njikoka,0.8,0.8,0.8,0.8,0.436915256,0.489504274,0.53,2,june,1257
157,Anambra,Nnewi South,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Nnewi South,0.8,0.8,0.8,0.8,0.303374646,0.380306319,0.53,1,june,162
158,Anambra,Nnewi South,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Nnewi South,0.8,0.8,0.8,0.8,0.303374646,0.380306319,0.53,2,june,1257
159,Anambra,Ogbaru,CM+IPTp+LLINs+IPTi,itn ,Ahoada West,2020,Ogbaru,0.8,0.8,0.8,0.8,0.230996863,0.322021221,0.53,1,may,131
160,Anambra,Ogbaru,CM+IPTp+LLINs+IPTi,itn ,Ahoada West,2023,Ogbaru,0.8,0.8,0.8,0.8,0.230996863,0.322021221,0.53,2,may,1226
161,Anambra,Onitsha North,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Onitsha North,0.8,0.8,0.8,0.8,0.382531956,0.445478249,0.53,1,june,162
