,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
57,Yola North,Alkaleri,2020,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
58,Yola North,Alkaleri,2023,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
59,Yola South,Alkaleri,2020,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.7188,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
60,Yola South,Alkaleri,2023,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.7188,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
61,Abak,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.425644469,1,june,527,CM+IPTp+LLINs+IPTi,itn
62,Abak,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.425644469,2,june,1622,CM+IPTp+LLINs+IPTi,itn
63,Awka North,Uzo-Uwani,2020,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.450124783,1,june,162,CM+IPTp+LLINs+IPTi,itn
64,Awka North,Uzo-Uwani,2023,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.450124783,2,june,1257,CM+IPTp+LLINs+IPTi,itn
65,Eket,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.328021397,1,june,527,CM+IPTp+LLINs+IPTi,itn
66,Eket,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.328021397,2,june,1622,CM+IPTp+LLINs+IPTi,itn
67,Esit Eket,Nsit Ubium,2021,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.346897657,1,june,527,CM+IPTp+LLINs+IPTi,itn
68,Esit Eket,Nsit Ubium,2024,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.346897657,2,june,1622,CM+IPTp+LLINs+IPTi,itn
69,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.435041855,1,june,527,CM+IPTp+LLINs+IPTi,itn
70,Essien Udim,Ngor-Okpala,2024,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.435041855,2,june,1622,CM+IPTp+LLINs+IPTi,itn
71,Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.399175674,1,june,527,CM+IPTp+LLINs+IPTi,itn
72,Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.399175674,2,june,1622,CM+IPTp+LLINs+IPTi,itn
73,Etinan,Nsit Ubium,2021,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.35413511,1,june,527,CM+IPTp+LLINs+IPTi,itn
74,Etinan,Nsit Ubium,2024,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.35413511,2,june,1622,CM+IPTp+LLINs+IPTi,itn
75,Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.430871605,1,june,527,CM+IPTp+LLINs+IPTi,itn
76,Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.430871605,2,june,1622,CM+IPTp+LLINs+IPTi,itn
77,Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.446021174,1,june,527,CM+IPTp+LLINs+IPTi,itn
78,Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.446021174,2,june,1622,CM+IPTp+LLINs+IPTi,itn
79,Ika,Ngor-Okpala,2021,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.36230356,1,june,527,CM+IPTp+LLINs+IPTi,itn
80,Ika,Ngor-Okpala,2024,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.36230356,2,june,1622,CM+IPTp+LLINs+IPTi,itn
81,Ikono,Ngor-Okpala,2021,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.419053252,1,june,527,CM+IPTp+LLINs+IPTi,itn
82,Ikono,Ngor-Okpala,2024,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.419053252,2,june,1622,CM+IPTp+LLINs+IPTi,itn
83,Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.293529351,1,june,527,CM+IPTp+LLINs+IPTi,itn
84,Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.293529351,2,june,1622,CM+IPTp+LLINs+IPTi,itn
85,Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.424084125,1,june,527,CM+IPTp+LLINs+IPTi,itn
86,Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.424084125,2,june,1622,CM+IPTp+LLINs+IPTi,itn
87,Ini,Ngor-Okpala,2021,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.45642023,1,june,527,CM+IPTp+LLINs+IPTi,itn
88,Ini,Ngor-Okpala,2024,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.45642023,2,june,1622,CM+IPTp+LLINs+IPTi,itn
89,Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
90,Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
91,Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.331769618,1,june,527,CM+IPTp+LLINs+IPTi,itn
92,Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.331769618,2,june,1622,CM+IPTp+LLINs+IPTi,itn
93,Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.425264532,1,june,527,CM+IPTp+LLINs+IPTi,itn
94,Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.425264532,2,june,1622,CM+IPTp+LLINs+IPTi,itn
95,Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.334843575,1,june,527,CM+IPTp+LLINs+IPTi,itn
96,Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.334843575,2,june,1622,CM+IPTp+LLINs+IPTi,itn
97,Awka South,Uzo-Uwani,2020,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.485419293,1,june,162,CM+IPTp+LLINs+IPTi,itn
98,Awka South,Uzo-Uwani,2023,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.485419293,2,june,1257,CM+IPTp+LLINs+IPTi,itn
99,Obot Akara,Ngor-Okpala,2021,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.440171735,1,june,527,CM+IPTp+LLINs+IPTi,itn
100,Obot Akara,Ngor-Okpala,2024,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.440171735,2,june,1622,CM+IPTp+LLINs+IPTi,itn
101,Okobo,Nsit Ubium,2021,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.352520839,1,june,527,CM+IPTp+LLINs+IPTi,itn
102,Okobo,Nsit Ubium,2024,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.352520839,2,june,1622,CM+IPTp+LLINs+IPTi,itn
103,Onna,Nsit Ubium,2021,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
104,Onna,Nsit Ubium,2024,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
105,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.387796568,1,june,527,CM+IPTp+LLINs+IPTi,itn
106,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.387796568,2,june,1622,CM+IPTp+LLINs+IPTi,itn
107,Ukanafun,Nsit Ubium,2021,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
108,Ukanafun,Nsit Ubium,2024,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
109,Uruan,Nsit Ubium,2021,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.460591042,1,june,527,CM+IPTp+LLINs+IPTi,itn
110,Uruan,Nsit Ubium,2024,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.460591042,2,june,1622,CM+IPTp+LLINs+IPTi,itn
111,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.30126919,1,june,527,CM+IPTp+LLINs+IPTi,itn
112,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.30126919,2,june,1622,CM+IPTp+LLINs+IPTi,itn
113,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.489171465,1,june,162,CM+IPTp+LLINs+IPTi,itn
114,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.489171465,2,june,1257,CM+IPTp+LLINs+IPTi,itn
115,Uyo,Nsit Ubium,2021,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.459725229,1,june,527,CM+IPTp+LLINs+IPTi,itn
116,Uyo,Nsit Ubium,2024,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.459725229,2,june,1622,CM+IPTp+LLINs+IPTi,itn
117,Aguata,Oru West,2020,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.503044714,1,june,162,CM+IPTp+LLINs+IPTi,itn
118,Aguata,Oru West,2023,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.503044714,2,june,1257,CM+IPTp+LLINs+IPTi,itn
119,Anambra East,Uzo-Uwani,2020,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.439848897,1,june,162,CM+IPTp+LLINs+IPTi,itn
120,Anambra East,Uzo-Uwani,2023,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.439848897,2,june,1257,CM+IPTp+LLINs+IPTi,itn
121,Anambra West,Uzo-Uwani,2020,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.453035277,1,june,162,CM+IPTp+LLINs+SMC,itn
122,Anambra West,Uzo-Uwani,2023,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.453035277,2,june,1257,CM+IPTp+LLINs+SMC,itn
123,Anaocha,Oru West,2020,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.476153753,1,june,162,CM+IPTp+LLINs+IPTi,itn
124,Anaocha,Oru West,2023,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.476153753,2,june,1257,CM+IPTp+LLINs+IPTi,itn
125,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.477122595,1,june,162,CM+IPTp+LLINs+IPTi,itn
126,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.477122595,2,june,1257,CM+IPTp+LLINs+IPTi,itn
127,Ekwusigo,Oru West,2020,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.341515837,1,june,162,CM+IPTp+LLINs+IPTi,itn
128,Ekwusigo,Oru West,2023,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.341515837,2,june,1257,CM+IPTp+LLINs+IPTi,itn
129,Idemili North,Uzo-Uwani,2020,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.478205882,1,june,162,CM+IPTp+LLINs+IPTi,itn
130,Idemili North,Uzo-Uwani,2023,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.478205882,2,june,1257,CM+IPTp+LLINs+IPTi,itn
131,Idemili South,Oru West,2020,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.441250403,1,june,162,CM+IPTp+LLINs+IPTi,itn
132,Idemili South,Oru West,2023,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.441250403,2,june,1257,CM+IPTp+LLINs+IPTi,itn
133,Ihiala,Oru West,2020,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.297729955,1,june,162,CM+IPTp+LLINs+IPTi,itn
134,Ihiala,Oru West,2023,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.297729955,2,june,1257,CM+IPTp+LLINs+IPTi,itn
135,Njikoka,Uzo-Uwani,2020,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.489504274,1,june,162,CM+IPTp+LLINs+IPTi,itn
136,Njikoka,Uzo-Uwani,2023,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.489504274,2,june,1257,CM+IPTp+LLINs+IPTi,itn
137,Nnewi North,Oru West,2020,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
138,Nnewi North,Oru West,2023,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
139,Nnewi South,Oru West,2020,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.380306319,1,june,162,CM+IPTp+LLINs+IPTi,itn
140,Nnewi South,Oru West,2023,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.380306319,2,june,1257,CM+IPTp+LLINs+IPTi,itn
141,Ogbaru,Ahoada West,2020,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.322021221,1,may,131,CM+IPTp+LLINs+IPTi,itn
142,Ogbaru,Ahoada West,2023,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.322021221,2,may,1226,CM+IPTp+LLINs+IPTi,itn
143,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.445478249,1,june,162,CM+IPTp+LLINs+SMC,itn
144,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.445478249,2,june,1257,CM+IPTp+LLINs+SMC,itn
145,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.434081069,1,june,162,CM+IPTp+LLINs+SMC,itn
146,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.434081069,2,june,1257,CM+IPTp+LLINs+SMC,itn
147,Orumba North,Oru West,2020,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.462606614,1,june,162,CM+IPTp+LLINs+IPTi,itn
148,Orumba North,Oru West,2023,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.462606614,2,june,1257,CM+IPTp+LLINs+IPTi,itn
149,Orumba South,Oru West,2020,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.490669288,1,june,162,CM+IPTp+LLINs+IPTi,itn
150,Orumba South,Oru West,2023,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.490669288,2,june,1257,CM+IPTp+LLINs+IPTi,itn
151,Oyi,Uzo-Uwani,2020,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.449447388,1,june,162,CM+IPTp+LLINs+SMC,itn
152,Oyi,Uzo-Uwani,2023,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.449447388,2,june,1257,CM+IPTp+LLINs+SMC,itn
153,Alkaleri,Alkaleri,2021,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
154,Alkaleri,Alkaleri,2024,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
155,Bauchi,Alkaleri,2021,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
156,Bauchi,Alkaleri,2024,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
157,Bogoro,Alkaleri,2021,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
158,Bogoro,Alkaleri,2024,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
159,Damban,Darazo,2021,Damban,0.320754717,0.325,0.282608696,0.519480519,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
160,Damban,Darazo,2024,Damban,0.320754717,0.325,0.282608696,0.519480519,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
161,Darazo,Darazo,2021,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
162,Darazo,Darazo,2024,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
163,Dass,Alkaleri,2021,Dass,0.861111111,0.461538462,0.363636364,0.773584906,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
