,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
94,Onna,Nsit Ubium,2024,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
95,Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.387796568,1,june,527,CM+IPTp+LLINs+IPTi,itn
96,Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.387796568,2,june,1622,CM+IPTp+LLINs+IPTi,itn
97,Ukanafun,Nsit Ubium,2021,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.7188,1,june,527,CM+IPTp+IRS+IPTi,itn_pbo
98,Ukanafun,Nsit Ubium,2024,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.7188,2,june,1622,CM+IPTp+IRS+IPTi,itn_pbo
99,Uruan,Nsit Ubium,2021,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.460591042,1,june,527,CM+IPTp+LLINs+IPTi,itn
100,Uruan,Nsit Ubium,2024,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.460591042,2,june,1622,CM+IPTp+LLINs+IPTi,itn
101,Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.30126919,1,june,527,CM+IPTp+LLINs+IPTi,itn
102,Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.30126919,2,june,1622,CM+IPTp+LLINs+IPTi,itn
103,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.489171465,1,june,162,CM+IPTp+LLINs+IPTi,itn
104,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.489171465,2,june,1257,CM+IPTp+LLINs+IPTi,itn
105,Uyo,Nsit Ubium,2021,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.459725229,1,june,527,CM+IPTp+LLINs+IPTi,itn
106,Uyo,Nsit Ubium,2024,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.459725229,2,june,1622,CM+IPTp+LLINs+IPTi,itn
107,Aguata,Oru West,2020,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.503044714,1,june,162,CM+IPTp+LLINs+IPTi,itn
108,Aguata,Oru West,2023,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.503044714,2,june,1257,CM+IPTp+LLINs+IPTi,itn
109,Anambra East,Uzo-Uwani,2020,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.439848897,1,june,162,CM+IPTp+LLINs+IPTi,itn
110,Anambra East,Uzo-Uwani,2023,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.439848897,2,june,1257,CM+IPTp+LLINs+IPTi,itn
111,Anambra West,Uzo-Uwani,2020,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.453035277,1,june,162,CM+IPTp+LLINs+SMC,itn
112,Anambra West,Uzo-Uwani,2023,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.453035277,2,june,1257,CM+IPTp+LLINs+SMC,itn
113,Anaocha,Oru West,2020,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.476153753,1,june,162,CM+IPTp+LLINs+IPTi,itn
114,Anaocha,Oru West,2023,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.476153753,2,june,1257,CM+IPTp+LLINs+IPTi,itn
115,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.477122595,1,june,162,CM+IPTp+LLINs+IPTi,itn
116,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.477122595,2,june,1257,CM+IPTp+LLINs+IPTi,itn
117,Ekwusigo,Oru West,2020,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.341515837,1,june,162,CM+IPTp+LLINs+IPTi,itn
118,Ekwusigo,Oru West,2023,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.341515837,2,june,1257,CM+IPTp+LLINs+IPTi,itn
119,Idemili North,Uzo-Uwani,2020,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.478205882,1,june,162,CM+IPTp+LLINs+IPTi,itn
120,Idemili North,Uzo-Uwani,2023,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.478205882,2,june,1257,CM+IPTp+LLINs+IPTi,itn
121,Idemili South,Oru West,2020,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.441250403,1,june,162,CM+IPTp+LLINs+IPTi,itn
122,Idemili South,Oru West,2023,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.441250403,2,june,1257,CM+IPTp+LLINs+IPTi,itn
123,Ihiala,Oru West,2020,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.297729955,1,june,162,CM+IPTp+LLINs+IPTi,itn
124,Ihiala,Oru West,2023,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.297729955,2,june,1257,CM+IPTp+LLINs+IPTi,itn
125,Njikoka,Uzo-Uwani,2020,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.489504274,1,june,162,CM+IPTp+LLINs+IPTi,itn
126,Njikoka,Uzo-Uwani,2023,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.489504274,2,june,1257,CM+IPTp+LLINs+IPTi,itn
127,Nnewi North,Oru West,2020,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.7188,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
128,Nnewi North,Oru West,2023,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.7188,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
129,Nnewi South,Oru West,2020,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.380306319,1,june,162,CM+IPTp+LLINs+IPTi,itn
130,Nnewi South,Oru West,2023,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.380306319,2,june,1257,CM+IPTp+LLINs+IPTi,itn
131,Ogbaru,Ahoada West,2020,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.322021221,1,may,131,CM+IPTp+LLINs+IPTi,itn
132,Ogbaru,Ahoada West,2023,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.322021221,2,may,1226,CM+IPTp+LLINs+IPTi,itn
133,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.445478249,1,june,162,CM+IPTp+LLINs+SMC,itn
134,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.445478249,2,june,1257,CM+IPTp+LLINs+SMC,itn
135,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.434081069,1,june,162,CM+IPTp+LLINs+SMC,itn
136,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.434081069,2,june,1257,CM+IPTp+LLINs+SMC,itn
137,Orumba North,Oru West,2020,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.462606614,1,june,162,CM+IPTp+LLINs+IPTi,itn
138,Orumba North,Oru West,2023,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.462606614,2,june,1257,CM+IPTp+LLINs+IPTi,itn
139,Orumba South,Oru West,2020,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.490669288,1,june,162,CM+IPTp+LLINs+IPTi,itn
140,Orumba South,Oru West,2023,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.490669288,2,june,1257,CM+IPTp+LLINs+IPTi,itn
141,Oyi,Uzo-Uwani,2020,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.449447388,1,june,162,CM+IPTp+LLINs+SMC,itn
142,Oyi,Uzo-Uwani,2023,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.449447388,2,june,1257,CM+IPTp+LLINs+SMC,itn
143,Alkaleri,Alkaleri,2021,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
144,Alkaleri,Alkaleri,2024,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
145,Bauchi,Alkaleri,2021,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
146,Bauchi,Alkaleri,2024,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
147,Bogoro,Alkaleri,2021,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
148,Bogoro,Alkaleri,2024,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
149,Damban,Darazo,2021,Damban,0.320754717,0.325,0.282608696,0.519480519,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
150,Damban,Darazo,2024,Damban,0.320754717,0.325,0.282608696,0.519480519,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
151,Darazo,Darazo,2021,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
152,Darazo,Darazo,2024,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
153,Dass,Alkaleri,2021,Dass,0.861111111,0.461538462,0.363636364,0.773584906,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
154,Dass,Alkaleri,2024,Dass,0.861111111,0.461538462,0.363636364,0.773584906,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
155,Gamawa,Gwarzo,2021,Gamawa,0.484848485,0.25,0.333333333,0.634920635,0.7188,1,august,588,CM+IPTp+IRS+SMC,itn_pbo
156,Gamawa,Gwarzo,2024,Gamawa,0.484848485,0.25,0.333333333,0.634920635,0.7188,2,august,1683,CM+IPTp+IRS+SMC,itn_pbo
157,Jama'are,Taura,2021,Jama'are,0.53934621,0.444648002,0.516734467,0.797350525,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
158,Jama'are,Taura,2024,Jama'are,0.53934621,0.444648002,0.516734467,0.797350525,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
159,Ganjuwa,Darazo,2021,Ganjuwa,0.576367392,0.244194758,0.307748719,0.624384825,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
160,Ganjuwa,Darazo,2024,Ganjuwa,0.576367392,0.244194758,0.307748719,0.624384825,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
161,Giade,Darazo,2021,Giade,0.314285714,0.085714286,0.142857143,0.308823529,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
162,Giade,Darazo,2024,Giade,0.314285714,0.085714286,0.142857143,0.308823529,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
163,Itas-Gadau,Taura,2021,Itas/Gadau,0.704426374,0.610191562,0.629827895,0.915155207,0.7188,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
164,Itas-Gadau,Taura,2024,Itas/Gadau,0.704426374,0.610191562,0.629827895,0.915155207,0.7188,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
165,Katagum,Gwarzo,2021,Katagum,0.515383228,0.391156259,0.432060917,0.764630621,0.7188,1,august,588,CM+IPTp+IRS+SMC,itn_pbo
