,DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
69,Nnewi North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
70,Nnewi South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
71,Ogbaru,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
72,Onitsha North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
73,Onitsha South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
74,Orumba North,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272,0.883149272
75,Orumba South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
76,Oyi,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654,0.895586654
77,Alkaleri,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759,0.750800759
78,Bauchi,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949,0.600089949
79,Bogoro,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
80,Damban,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857
81,Darazo,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907,0.789497907
