,X1,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,adm1,llins1
37,525,Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,1,june,162,Imo,PBO
38,5251,Aboh-Mbaise,Ngor-Okpala,2023,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,2,june,1257,Imo,PBO
39,5252,Aboh-Mbaise,Ngor-Okpala,2026,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,3,june,2352,Imo,PBO
40,5253,Aboh-Mbaise,Ngor-Okpala,2029,Aboh-Mbaise,0.8,0.8,0.8,0.8,0.366998982,0.736534052,0.65,4,june,3447,Imo,PBO
41,1225,Abua-Odual,Ahoada West,2020,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,1,may,131,Rivers,PBO
42,12251,Abua-Odual,Ahoada West,2023,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,2,may,1226,Rivers,PBO
43,12252,Abua-Odual,Ahoada West,2026,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,3,may,2321,Rivers,PBO
44,12253,Abua-Odual,Ahoada West,2029,Abua/Odual,0.8,0.8,0.8,0.8,0.255950957,0.709612874,0.65,4,may,3416,Rivers,PBO
45,499,Abuja Municipal,Keana,2020,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,1,august,223,Federal Capital Territory,Urban areas
46,4991,Abuja Municipal,Keana,2023,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,2,august,1318,Federal Capital Territory,Urban areas
47,4992,Abuja Municipal,Keana,2026,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,3,august,2413,Federal Capital Territory,Urban areas
48,4993,Abuja Municipal,Keana,2029,Abuja Municipal,0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,4,august,3508,Federal Capital Territory,Urban areas
49,861,Adavi,Owan East,2020,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,1,march,70,Kogi,PBO
50,8611,Adavi,Owan East,2023,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,2,march,1165,Kogi,PBO
51,8612,Adavi,Owan East,2026,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,3,march,2260,Kogi,PBO
52,8613,Adavi,Owan East,2029,Adavi,0.830655145,0.8,0.8,0.8,0.308698703,0.726323559,0.65,4,march,3355,Kogi,PBO
53,205,Ado,Akinyele,2020,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,1,may,131,Benue,PBO
54,2051,Ado,Akinyele,2023,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,2,may,1226,Benue,PBO
55,2052,Ado,Akinyele,2026,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,3,may,2321,Benue,PBO
56,2053,Ado,Akinyele,2029,Ado,0.8,0.8,0.8,0.8,0.357778894,0.735289623,0.65,4,may,3416,Benue,PBO
57,69,Ado-Odo-Ota,Uzo-Uwani,2021,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,1,june,527,Ogun,PBO
58,692,Ado-Odo-Ota,Uzo-Uwani,2024,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,2,june,1622,Ogun,PBO
59,694,Ado-Odo-Ota,Uzo-Uwani,2027,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,3,june,2717,Ogun,PBO
60,696,Ado-Odo-Ota,Uzo-Uwani,2030,Ado-Odo/Ota,0.8,0.8,0.8,0.8,0.405185074,0.740672987,0.65,4,june,3812,Ogun,PBO
61,427,Ado Ekiti,Owan East,2020,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,1,march,70,Ekiti,PBO
62,4271,Ado Ekiti,Owan East,2023,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,2,march,1165,Ekiti,PBO
63,4272,Ado Ekiti,Owan East,2026,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,3,march,2260,Ekiti,PBO
64,4273,Ado Ekiti,Owan East,2029,Ado Ekiti,0.8,0.8,0.8,0.8,0.357399296,0.735235955,0.65,4,march,3355,Ekiti,PBO
65,1157,Afijio,Akinyele,2020,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,1,may,131,Oyo,PBO
66,11571,Afijio,Akinyele,2023,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,2,may,1226,Oyo,PBO
67,11572,Afijio,Akinyele,2026,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,3,may,2321,Oyo,PBO
68,11573,Afijio,Akinyele,2029,Afijio,0.8,0.8,0.8,0.8,0.464150913,0.744845222,0.65,4,may,3416,Oyo,PBO
69,367,Afikpo North,Oru West,2020,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,1,june,162,Ebonyi,PBO
70,3671,Afikpo North,Oru West,2023,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,2,june,1257,Ebonyi,PBO
71,3672,Afikpo North,Oru West,2026,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,3,june,2352,Ebonyi,PBO
72,3673,Afikpo North,Oru West,2029,Afikpo North,0.905685179,0.8,0.8,0.8,0.428193447,0.742555644,0.65,4,june,3447,Ebonyi,PBO
73,369,Afikpo South,Ngor-Okpala,2020,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,1,june,162,Ebonyi,PBO
74,3691,Afikpo South,Ngor-Okpala,2023,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,2,june,1257,Ebonyi,PBO
75,3692,Afikpo South,Ngor-Okpala,2026,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,3,june,2352,Ebonyi,PBO
76,3693,Afikpo South,Ngor-Okpala,2029,Afikpo South,0.8,0.8,0.8,0.8,0.44733042,0.743859597,0.65,4,june,3447,Ebonyi,PBO
77,979,Agaie,Oke-Ero,2022,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,1,july,916,Niger,PBO
78,9791,Agaie,Oke-Ero,2025,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,2,july,2011,Niger,PBO
79,9792,Agaie,Oke-Ero,2028,Agaie,0.8,0.8,0.8,0.8,0.469310553,0.745121348,0.65,3,july,3106,Niger,PBO
80,207,Agatu,Keana,2020,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,1,august,223,Benue,PBO
81,2071,Agatu,Keana,2023,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,2,august,1318,Benue,PBO
82,2072,Agatu,Keana,2026,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,3,august,2413,Benue,PBO
83,2073,Agatu,Keana,2029,Agatu,0.8,0.833333333,0.8,0.8,0.440507142,0.743418762,0.65,4,august,3508,Benue,PBO
84,929,Agege,Uzo-Uwani,2020,Agege,0.8,0.8,0.8,0.8,0.445938468,0.49666464,0.53,1,june,162,Lagos,Urban areas
85,9291,Agege,Uzo-Uwani,2023,Agege,0.8,0.8,0.8,0.8,0.445938468,0.49666464,0.53,2,june,1257,Lagos,Urban areas
86,9292,Agege,Uzo-Uwani,2026,Agege,0.8,0.8,0.8,0.8,0.445938468,0.49666464,0.53,3,june,2352,Lagos,Urban areas
87,9293,Agege,Uzo-Uwani,2029,Agege,0.8,0.8,0.8,0.8,0.445938468,0.49666464,0.53,4,june,3447,Lagos,Urban areas
88,117,Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,1,june,162,Anambra,PBO
89,1172,Aguata,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,2,june,1257,Anambra,PBO
90,1174,Aguata,Oru West,2026,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,3,june,2352,Anambra,PBO
91,1176,Aguata,Oru West,2029,Aguata,0.8,0.8,0.8,0.8,0.454034567,0.744268911,0.65,4,june,3447,Anambra,PBO
92,981,Agwara,Birnin Kebbi,2022,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,1,august,953,Niger,PBO
93,9811,Agwara,Birnin Kebbi,2025,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,2,august,2048,Niger,PBO
94,9812,Agwara,Birnin Kebbi,2028,Agwara,0.8,0.8,0.8,0.8,0.513248554,0.747067471,0.670022422,3,august,3143,Niger,PBO
95,485,Ahiazu-Mbaise,Ngor-Okpala,2020,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,1,june,162,Imo,PBO
96,4851,Ahiazu-Mbaise,Ngor-Okpala,2023,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,2,june,1257,Imo,PBO
97,4852,Ahiazu-Mbaise,Ngor-Okpala,2026,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,3,june,2352,Imo,PBO
98,4853,Ahiazu-Mbaise,Ngor-Okpala,2029,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,0.4502266,0.744039224,0.65,4,june,3447,Imo,PBO
99,1237,Ahoada East,Ahoada West,2020,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,1,may,131,Rivers,PBO
100,12371,Ahoada East,Ahoada West,2023,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,2,may,1226,Rivers,PBO
101,12372,Ahoada East,Ahoada West,2026,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,3,may,2321,Rivers,PBO
102,12373,Ahoada East,Ahoada West,2029,Ahoada East,0.8,0.8,0.8,0.8,0.212067193,0.685335866,0.65,4,may,3416,Rivers,PBO
103,1239,Ahoada West,Ahoada West,2020,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,1,may,131,Rivers,PBO
104,12391,Ahoada West,Ahoada West,2023,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,2,may,1226,Rivers,PBO
105,12392,Ahoada West,Ahoada West,2026,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,3,may,2321,Rivers,PBO
106,12393,Ahoada West,Ahoada West,2029,Ahoada West,0.8,0.8,0.8,0.8,0.212747654,0.685818488,0.65,4,may,3416,Rivers,PBO
107,1099,Aiyedade,Akinyele,2020,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,1,may,131,Osun,PBO
108,10991,Aiyedade,Akinyele,2023,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,2,may,1226,Osun,PBO
109,10992,Aiyedade,Akinyele,2026,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,3,may,2321,Osun,PBO
110,10993,Aiyedade,Akinyele,2029,Aiyedade,0.8,0.8,0.8,0.8,0.401428384,0.740327343,0.65,4,may,3416,Osun,PBO
111,1101,Aiyedire,Akinyele,2020,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,1,may,131,Osun,PBO
112,11011,Aiyedire,Akinyele,2023,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,2,may,1226,Osun,PBO
113,11012,Aiyedire,Akinyele,2026,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,3,may,2321,Osun,PBO
114,11013,Aiyedire,Akinyele,2029,Aiyedire,0.8,0.8,0.8,0.8,0.440828641,0.743440107,0.65,4,may,3416,Osun,PBO
115,863,Ajaokuta,Owan East,2020,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,1,march,70,Kogi,PBO
116,8631,Ajaokuta,Owan East,2023,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,2,march,1165,Kogi,PBO
117,8632,Ajaokuta,Owan East,2026,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,3,march,2260,Kogi,PBO
118,8633,Ajaokuta,Owan East,2029,Ajaokuta,0.8,0.8,0.8,0.8,0.321205627,0.729055954,0.65,4,march,3355,Kogi,PBO
119,931,Ajeromi-Ifelodun,Uzo-Uwani,2020,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.493901179,0.53,1,june,162,Lagos,Urban areas
120,9311,Ajeromi-Ifelodun,Uzo-Uwani,2023,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.493901179,0.53,2,june,1257,Lagos,Urban areas
121,9312,Ajeromi-Ifelodun,Uzo-Uwani,2026,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.493901179,0.53,3,june,2352,Lagos,Urban areas
122,9313,Ajeromi-Ifelodun,Uzo-Uwani,2029,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,0.442448497,0.493901179,0.53,4,june,3447,Lagos,Urban areas
123,689,Ajingi,Taura,2022,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,1,july,916,Kano,PBO
124,6891,Ajingi,Taura,2025,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,2,july,2011,Kano,PBO
125,6892,Ajingi,Taura,2028,Ajingi,0.838709677,0.8,0.8,0.980769231,0.772623248,0.751602855,0.91186478,3,july,3106,Kano,PBO
126,71,Akamkpa,Ngor-Okpala,2021,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,1,june,527,Cross River,PBO
127,712,Akamkpa,Ngor-Okpala,2024,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,2,june,1622,Cross River,PBO
128,714,Akamkpa,Ngor-Okpala,2027,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,3,june,2717,Cross River,PBO
129,716,Akamkpa,Ngor-Okpala,2030,Akamkpa,0.8,0.8,0.8,0.8,0.473355826,0.745329937,0.65,4,june,3812,Cross River,PBO
130,1159,Akinyele,Akinyele,2020,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.421435221,0.53,1,may,131,Oyo,Urban areas
131,11591,Akinyele,Akinyele,2023,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.421435221,0.53,2,may,1226,Oyo,Urban areas
132,11592,Akinyele,Akinyele,2026,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.421435221,0.53,3,may,2321,Oyo,Urban areas
133,11593,Akinyele,Akinyele,2029,Akinyele,0.8,0.8,0.8,0.8,0.353306712,0.421435221,0.53,4,may,3416,Oyo,Urban areas
134,73,Akko,Alkaleri,2021,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,1,july,551,Gombe,PBO
135,732,Akko,Alkaleri,2024,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,2,july,1646,Gombe,PBO
136,734,Akko,Alkaleri,2027,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,3,july,2741,Gombe,PBO
137,736,Akko,Alkaleri,2030,Akko,0.8,0.8,0.8,0.8,0.430348191,0.742713325,0.65,4,july,3836,Gombe,PBO
138,389,Akoko-Edo,Owan East,2020,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,1,march,70,Edo,PBO
139,3891,Akoko-Edo,Owan East,2023,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,2,march,1165,Edo,PBO
140,3892,Akoko-Edo,Owan East,2026,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,3,march,2260,Edo,PBO
141,3893,Akoko-Edo,Owan East,2029,Akoko-Edo,0.8,0.8,0.8,0.8,0.304845225,0.725405618,0.65,4,march,3355,Edo,PBO
142,1061,Akoko North East,Oke-Ero,2020,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,1,july,186,Ondo,PBO
143,10611,Akoko North East,Oke-Ero,2023,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,2,july,1281,Ondo,PBO
144,10612,Akoko North East,Oke-Ero,2026,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,3,july,2376,Ondo,PBO
145,10613,Akoko North East,Oke-Ero,2029,Akoko North East,0.8,0.8,0.8,0.8,0.346553372,0.733614536,0.65,4,july,3471,Ondo,PBO
146,1063,Akoko North West,Oke-Ero,2020,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,1,july,186,Ondo,PBO
147,10631,Akoko North West,Oke-Ero,2023,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,2,july,1281,Ondo,PBO
148,10632,Akoko North West,Oke-Ero,2026,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,3,july,2376,Ondo,PBO
149,10633,Akoko North West,Oke-Ero,2029,Akoko North West,0.8,0.8,0.8,0.8,0.316763911,0.728126692,0.65,4,july,3471,Ondo,PBO
150,1065,Akoko South East,Oke-Ero,2020,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,1,july,186,Ondo,PBO
151,10651,Akoko South East,Oke-Ero,2023,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,2,july,1281,Ondo,PBO
152,10652,Akoko South East,Oke-Ero,2026,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,3,july,2376,Ondo,PBO
153,10653,Akoko South East,Oke-Ero,2029,Akoko South East,0.8,0.8,0.8,0.8,0.347034531,0.733690227,0.65,4,july,3471,Ondo,PBO
154,1067,Akoko South West,Oke-Ero,2020,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,1,july,186,Ondo,PBO
155,10671,Akoko South West,Oke-Ero,2023,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,2,july,1281,Ondo,PBO
156,10672,Akoko South West,Oke-Ero,2026,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,3,july,2376,Ondo,PBO
157,10673,Akoko South West,Oke-Ero,2029,Akoko South West,0.8,0.8,0.8,0.8,0.330802879,0.73092257,0.65,4,july,3471,Ondo,PBO
158,75,Akpabuyo,Nsit Ubium,2021,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,1,june,527,Cross River,PBO
159,752,Akpabuyo,Nsit Ubium,2024,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,2,june,1622,Cross River,PBO
160,754,Akpabuyo,Nsit Ubium,2027,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,3,june,2717,Cross River,PBO
161,756,Akpabuyo,Nsit Ubium,2030,Akpabuyo,0.8,0.8,0.8,0.8,0.417147714,0.741699347,0.65,4,june,3812,Cross River,PBO
162,1283,Akuku Toru,Ahoada West,2020,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,1,may,131,Rivers,PBO
163,12831,Akuku Toru,Ahoada West,2023,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,2,may,1226,Rivers,PBO
164,12832,Akuku Toru,Ahoada West,2026,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,3,may,2321,Rivers,PBO
165,12833,Akuku Toru,Ahoada West,2029,Akuku Toru,0.8,0.8,0.8,0.8,0.307675695,0.72608356,0.65,4,may,3416,Rivers,PBO
166,1069,Akure North,Owan East,2020,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,1,march,70,Ondo,PBO
167,10691,Akure North,Owan East,2023,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,2,march,1165,Ondo,PBO
168,10692,Akure North,Owan East,2026,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,3,march,2260,Ondo,PBO
169,10693,Akure North,Owan East,2029,Akure North,0.8,0.8,0.8,0.8,0.337034585,0.732039367,0.65,4,march,3355,Ondo,PBO
170,1073,Akure South,Owan East,2020,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,1,march,70,Ondo,PBO
171,10731,Akure South,Owan East,2023,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,2,march,1165,Ondo,PBO
172,10732,Akure South,Owan East,2026,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,3,march,2260,Ondo,PBO
173,10733,Akure South,Owan East,2029,Akure South,0.8,0.8,0.8,0.8,0.299585483,0.724089439,0.65,4,march,3355,Ondo,PBO
174,77,Akwanga,Oke-Ero,2021,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,1,july,551,Nasarawa,PBO
175,772,Akwanga,Oke-Ero,2024,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,2,july,1646,Nasarawa,PBO
176,774,Akwanga,Oke-Ero,2027,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,3,july,2741,Nasarawa,PBO
177,776,Akwanga,Oke-Ero,2030,Akwanga,0.822883221,0.800838317,0.8,0.8,0.509076895,0.746909746,0.662920161,4,july,3836,Nasarawa,PBO
178,691,Albasu,Takali,2022,Albasu,0.8,0.8,0.8,0.806451613,0.794967768,0.751755177,0.921115182,1,september,980,Kano,PBO
179,6911,Albasu,Takali,2025,Albasu,0.8,0.8,0.8,0.806451613,0.794967768,0.751755177,0.921115182,2,september,2075,Kano,PBO
