"","seasonality","month","cases","sum_est","sum_l_ci","sum_u_ci","X","repDS_pop","incidence","incidence_low","incidence_high","population"
"83","Gawabawa",11,4778.8,4778.8,3624.71411398773,6174.49956175505,7,4220548,119.47,90.6178528496932,154.362489043876,1000
"84","Gawabawa",12,3361.8,3361.8,2499.68310760745,4379.15440163265,7,4220548,84.045,62.4920776901863,109.478860040816,1000
"85","Giwa",1,1240.4,1240.4,573.984875568584,2257.82362090855,8,2653538,31.01,14.3496218892146,56.4455905227139,1000
"86","Giwa",2,1556.6,1556.6,759.8,2719.31209335565,8,2653538,38.915,18.995,67.9828023338913,1000
"87","Giwa",3,1452,1452,748.6,2305.2,8,2653538,36.3,18.715,57.63,1000
"88","Giwa",4,1640.8,1640.8,845.4,2843.6,8,2653538,41.02,21.135,71.09,1000
"89","Giwa",5,1055.6,1055.6,555.075895438808,1658.99954595546,8,2653538,26.39,13.8768973859702,41.4749886488865,1000
"90","Giwa",6,1505,1505,822.949799703712,2447.8,8,2653538,37.625,20.5737449925928,61.195,1000
"91","Giwa",7,1719.2,1719.2,877.546338561882,2905.2,8,2653538,42.98,21.9386584640471,72.63,1000
"92","Giwa",8,2075.4,2075.4,1173,3858.6,8,2653538,51.885,29.325,96.465,1000
"93","Giwa",9,2052.2,2052.2,1156.98847108972,3398.13264213067,8,2653538,51.305,28.9247117772431,84.9533160532667,1000
"94","Giwa",10,2211.4,2211.4,1190.80776429691,3354,8,2653538,55.285,29.7701941074227,83.85,1000
"95","Giwa",11,2009.6,2009.6,1150.4,3716.8,8,2653538,50.24,28.76,92.92,1000
"96","Giwa",12,1572.6,1572.6,822.17511312071,3209.85245521187,8,2653538,39.315,20.5543778280178,80.2463113802967,1000
"97","Gwarzo",1,3233.6,3233.6,2110.86972146611,5090.53825937061,9,5470911,80.84,52.7717430366528,127.263456484265,1000
"98","Gwarzo",2,2928.8,2928.8,2085.28845575024,4156.50987036203,9,5470911,73.22,52.1322113937559,103.912746759051,1000
"99","Gwarzo",3,3842.6,3842.6,2677.97792913087,5969.22146954397,9,5470911,96.065,66.9494482282718,149.230536738599,1000
"100","Gwarzo",4,2877.6,2877.6,2054.42577513255,4260.78520801923,9,5470911,71.94,51.3606443783137,106.519630200481,1000
"101","Gwarzo",5,3316,3316,2375.73523641671,4177.59783139299,9,5470911,82.9,59.3933809104178,104.439945784825,1000
"102","Gwarzo",6,3208.6,3208.6,2132.96268541805,4678.53822951709,9,5470911,80.215,53.3240671354514,116.963455737927,1000
"103","Gwarzo",7,3676.6,3676.6,2712.47271017951,5019.4888667077,9,5470911,91.915,67.8118177544879,125.487221667692,1000
"104","Gwarzo",8,3874.2,3874.2,2779.24380006767,5341.65224995088,9,5470911,96.855,69.4810950016919,133.541306248772,1000
"105","Gwarzo",9,3475.8,3475.8,2299.85981809431,5024.35100267691,9,5470911,86.895,57.4964954523576,125.608775066923,1000
"106","Gwarzo",10,4268,4268,3000.28886435985,6004.44650307838,9,5470911,106.7,75.0072216089963,150.11116257696,1000
"107","Gwarzo",11,3849.8,3849.8,2824.6,4974.08657795263,9,5470911,96.245,70.615,124.352164448816,1000
"108","Gwarzo",12,3786.2,3786.2,2585.08597967365,5374.0664660684,9,5470911,94.655,64.6271494918412,134.35166165171,1000
"109","Isoko South",1,6667.4,6667.4,4930.90590620935,10756.8996698284,10,4792719,166.685,123.272647655234,268.92249174571,1000
"110","Isoko South",2,7562.2,7562.2,5658.03176247282,10454.0309598655,10,4792719,189.055,141.450794061821,261.350773996637,1000
"111","Isoko South",3,8206,8206,5936.6846446732,13095.0098420428,10,4792719,205.15,148.41711611683,327.37524605107,1000
"112","Isoko South",4,8754.4,8754.4,6648,12782.4670414789,10,4792719,218.86,166.2,319.561676036973,1000
"113","Isoko South",5,8982.2,8982.2,6708.25511724498,12763.7115148831,10,4792719,224.555,167.706377931125,319.092787872077,1000
"114","Isoko South",6,9366.8,9366.8,7019,13792.1422516724,10,4792719,234.17,175.475,344.80355629181,1000
"115","Isoko South",7,8548.4,8548.4,6233.08732857681,12130.1947787167,10,4792719,213.71,155.82718321442,303.254869467918,1000
"116","Isoko South",8,8857,8857,6739.31367915737,12410.5976813913,10,4792719,221.425,168.482841978934,310.264942034783,1000
"117","Isoko South",9,8526.8,8526.8,6519.21514478544,11527.461815359,10,4792719,213.17,162.980378619636,288.186545383975,1000
"118","Isoko South",10,8878.2,8878.2,6722.34932069357,12260.1022717409,10,4792719,221.955,168.058733017339,306.502556793522,1000
